AUDIT_PLAN grid=512 residency=4 kappa=1
CG_EDGE	l0.s00.norm	l0.s01.proj	M:N	Rectangular	Rectangular
CG_EDGE	l0.s01.proj	l0.s01.proj.combine	N:1	Rectangular	Unique
CG_EDGE	l0.s00.norm	l0.s02.proj	M:N	Rectangular	Rectangular
CG_EDGE	l0.s02.proj	l0.s02.proj.combine	N:1	Rectangular	Unique
CG_EDGE	l0.s00.norm	l0.s03.proj	M:N	Rectangular	Rectangular
CG_EDGE	l0.s03.proj	l0.s03.proj.combine	N:1	Rectangular	Unique
CG_EDGE	l0.s01.proj.combine	l0.s04.rope	M:N	Rectangular	Rectangular
CG_EDGE	l0.s02.proj.combine	l0.s05.rope	M:N	Rectangular	Rectangular
CG_EDGE	l0.s05.rope	l0.s06.append	1:1	Unique	Unique
CG_EDGE	l0.s03.proj.combine	l0.s07.append	M:N	Rectangular	Rectangular
CG_EDGE	l0.s04.rope	l0.s08.attn	1:1	Unique	Unique
CG_EDGE	l0.s06.append	l0.s08.attn	M:N	Rectangular	Rectangular
CG_EDGE	l0.s07.append	l0.s08.attn	M:N	Rectangular	Rectangular
CG_EDGE	l0.s08.attn	l0.s09.proj	M:N	Rectangular	Rectangular
CG_EDGE	l0.s09.proj	l0.s09.proj.combine	N:1	Rectangular	Unique
CG_EDGE	l0.s09.proj.combine	l0.s09.add	1:1	Unique	Unique
CG_EDGE	l0.s09.add	l0.s10.norm	M:N	Rectangular	Rectangular
CG_EDGE	l0.s10.norm	l0.s11.proj	M:N	Rectangular	Rectangular
CG_EDGE	l0.s11.proj	l0.s11.proj.combine	N:1	Rectangular	Unique
CG_EDGE	l0.s10.norm	l0.s12.proj	M:N	Rectangular	Rectangular
CG_EDGE	l0.s12.proj	l0.s12.proj.combine	N:1	Rectangular	Unique
CG_EDGE	l0.s11.proj.combine	l0.s13.act	M:N	Rectangular	Rectangular
CG_EDGE	l0.s12.proj.combine	l0.s13.act	M:N	Rectangular	Rectangular
CG_EDGE	l0.s13.act	l0.s14.proj	M:N	Rectangular	Rectangular
CG_EDGE	l0.s14.proj	l0.s14.proj.combine	N:1	Rectangular	Unique
CG_EDGE	l0.s14.proj.combine	l0.s14.add	1:1	Unique	Unique
CG_EDGE	l0.s09.add	l0.s14.add	1:1	Unique	Unique
CG_EDGE	l0.s14.add	l1.s15.norm	M:N	Rectangular	Rectangular
CG_EDGE	l1.s15.norm	l1.s16.proj	M:N	Rectangular	Rectangular
CG_EDGE	l1.s16.proj	l1.s16.proj.combine	N:1	Rectangular	Unique
CG_EDGE	l1.s15.norm	l1.s17.proj	M:N	Rectangular	Rectangular
CG_EDGE	l1.s17.proj	l1.s17.proj.combine	N:1	Rectangular	Unique
CG_EDGE	l1.s15.norm	l1.s18.proj	M:N	Rectangular	Rectangular
CG_EDGE	l1.s18.proj	l1.s18.proj.combine	N:1	Rectangular	Unique
CG_EDGE	l1.s16.proj.combine	l1.s19.rope	M:N	Rectangular	Rectangular
CG_EDGE	l1.s17.proj.combine	l1.s20.rope	M:N	Rectangular	Rectangular
CG_EDGE	l1.s20.rope	l1.s21.append	1:1	Unique	Unique
CG_EDGE	l1.s18.proj.combine	l1.s22.append	M:N	Rectangular	Rectangular
CG_EDGE	l1.s19.rope	l1.s23.attn	1:1	Unique	Unique
CG_EDGE	l1.s21.append	l1.s23.attn	M:N	Rectangular	Rectangular
CG_EDGE	l1.s22.append	l1.s23.attn	M:N	Rectangular	Rectangular
CG_EDGE	l1.s23.attn	l1.s24.proj	M:N	Rectangular	Rectangular
CG_EDGE	l1.s24.proj	l1.s24.proj.combine	N:1	Rectangular	Unique
CG_EDGE	l1.s24.proj.combine	l1.s24.add	1:1	Unique	Unique
CG_EDGE	l0.s14.add	l1.s24.add	1:1	Unique	Unique
CG_EDGE	l1.s24.add	l1.s25.norm	M:N	Rectangular	Rectangular
CG_EDGE	l1.s25.norm	l1.s26.proj	M:N	Rectangular	Rectangular
CG_EDGE	l1.s26.proj	l1.s26.proj.combine	N:1	Rectangular	Unique
CG_EDGE	l1.s25.norm	l1.s27.proj	M:N	Rectangular	Rectangular
CG_EDGE	l1.s27.proj	l1.s27.proj.combine	N:1	Rectangular	Unique
CG_EDGE	l1.s26.proj.combine	l1.s28.act	M:N	Rectangular	Rectangular
CG_EDGE	l1.s27.proj.combine	l1.s28.act	M:N	Rectangular	Rectangular
CG_EDGE	l1.s28.act	l1.s29.proj	M:N	Rectangular	Rectangular
CG_EDGE	l1.s29.proj	l1.s29.proj.combine	N:1	Rectangular	Unique
CG_EDGE	l1.s29.proj.combine	l1.s29.add	1:1	Unique	Unique
CG_EDGE	l1.s24.add	l1.s29.add	1:1	Unique	Unique
producer	consumer	direction	oracle	coordinate	expected	actual	equal
0	1	0	General	0	128	128	1
0	1	0	General	2	128	128	1
0	1	0	General	3	128	128	1
0	1	1	General	0	4	4	1
0	1	1	General	64	4	4	1
0	1	1	General	127	4	4	1
1	2	0	Unique	0	1	1	1
1	2	0	Unique	64	1	1	1
1	2	0	Unique	127	1	1	1
1	2	1	General	0	4	4	1
1	2	1	General	16	4	4	1
1	2	1	General	31	4	4	1
0	3	0	General	0	256	256	1
0	3	0	General	2	256	256	1
0	3	0	General	3	256	256	1
0	3	1	General	0	4	4	1
0	3	1	General	128	4	4	1
0	3	1	General	255	4	4	1
3	4	0	Unique	0	1	1	1
3	4	0	Unique	128	1	1	1
3	4	0	Unique	255	1	1	1
3	4	1	General	0	16	16	1
3	4	1	General	8	16	16	1
3	4	1	General	15	16	16	1
0	5	0	General	0	256	256	1
0	5	0	General	2	256	256	1
0	5	0	General	3	256	256	1
0	5	1	General	0	4	4	1
0	5	1	General	128	4	4	1
0	5	1	General	255	4	4	1
5	6	0	Unique	0	1	1	1
5	6	0	Unique	128	1	1	1
5	6	0	Unique	255	1	1	1
5	6	1	General	0	16	16	1
5	6	1	General	8	16	16	1
5	6	1	General	15	16	16	1
2	7	0	General	0	16	16	1
2	7	0	General	16	16	16	1
2	7	0	General	31	16	16	1
2	7	1	General	0	32	32	1
2	7	1	General	8	32	32	1
2	7	1	General	15	32	32	1
4	8	0	General	0	8	8	1
4	8	0	General	8	8	8	1
4	8	0	General	15	8	8	1
4	8	1	General	0	16	16	1
4	8	1	General	4	16	16	1
4	8	1	General	7	16	16	1
8	9	0	Unique	0	1	1	1
8	9	0	Unique	4	1	1	1
8	9	0	Unique	7	1	1	1
8	9	1	Unique	0	1	1	1
8	9	1	Unique	4	1	1	1
8	9	1	Unique	7	1	1	1
6	10	0	General	0	8	8	1
6	10	0	General	8	8	8	1
6	10	0	General	15	8	8	1
6	10	1	General	0	16	16	1
6	10	1	General	4	16	16	1
6	10	1	General	7	16	16	1
7	11	0	Unique	0	1	1	1
7	11	0	Unique	8	1	1	1
7	11	0	Unique	15	1	1	1
7	11	1	Unique	0	1	1	1
7	11	1	Unique	8	1	1	1
7	11	1	Unique	15	1	1	1
9	11	0	General	0	16	16	1
9	11	0	General	4	16	16	1
9	11	0	General	7	16	16	1
9	11	1	General	0	8	8	1
9	11	1	General	8	8	8	1
9	11	1	General	15	8	8	1
10	11	0	General	0	16	16	1
10	11	0	General	4	16	16	1
10	11	0	General	7	16	16	1
10	11	1	General	0	8	8	1
10	11	1	General	8	8	8	1
10	11	1	General	15	8	8	1
11	12	0	General	0	512	512	1
11	12	0	General	8	512	512	1
11	12	0	General	15	512	512	1
11	12	1	General	0	16	16	1
11	12	1	General	256	16	16	1
11	12	1	General	511	16	16	1
12	13	0	Unique	0	1	1	1
12	13	0	Unique	256	1	1	1
12	13	0	Unique	511	1	1	1
12	13	1	General	0	16	16	1
12	13	1	General	16	16	16	1
12	13	1	General	31	16	16	1
13	14	0	General	0	4	4	1
13	14	0	General	16	4	4	1
13	14	0	General	31	4	4	1
13	14	1	General	0	32	32	1
13	14	1	General	2	32	32	1
13	14	1	General	3	32	32	1
14	15	0	General	0	256	256	1
14	15	0	General	2	256	256	1
14	15	0	General	3	256	256	1
14	15	1	General	0	4	4	1
14	15	1	General	128	4	4	1
14	15	1	General	255	4	4	1
15	16	0	Unique	0	1	1	1
15	16	0	Unique	128	1	1	1
15	16	0	Unique	255	1	1	1
15	16	1	General	0	4	4	1
15	16	1	General	32	4	4	1
15	16	1	General	63	4	4	1
14	17	0	General	0	256	256	1
14	17	0	General	2	256	256	1
14	17	0	General	3	256	256	1
14	17	1	General	0	4	4	1
14	17	1	General	128	4	4	1
14	17	1	General	255	4	4	1
17	18	0	Unique	0	1	1	1
17	18	0	Unique	128	1	1	1
17	18	0	Unique	255	1	1	1
17	18	1	General	0	4	4	1
17	18	1	General	32	4	4	1
17	18	1	General	63	4	4	1
16	19	0	General	0	4	4	1
16	19	0	General	32	4	4	1
16	19	0	General	63	4	4	1
16	19	1	General	0	64	64	1
16	19	1	General	2	64	64	1
16	19	1	General	3	64	64	1
18	19	0	General	0	4	4	1
18	19	0	General	32	4	4	1
18	19	0	General	63	4	4	1
18	19	1	General	0	64	64	1
18	19	1	General	2	64	64	1
18	19	1	General	3	64	64	1
13	20	0	Unique	0	1	1	1
13	20	0	Unique	16	1	1	1
13	20	0	Unique	31	1	1	1
13	20	1	Unique	0	1	1	1
13	20	1	Unique	128	0	0	1
13	20	1	Unique	255	0	0	1
19	20	0	General	0	256	256	1
19	20	0	General	2	256	256	1
19	20	0	General	3	256	256	1
19	20	1	General	0	4	4	1
19	20	1	General	128	4	4	1
19	20	1	General	255	4	4	1
