index	candidate	phase
0		bridge_and_plan
1		import
2	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	resource_probe
3	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	instantiate
4	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	cache_hit
5	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	cache_miss
6	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	derive
7	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	task_pricing
8	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	skeleton
9	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	level2
10	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	task_pricing
11	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	skeleton
12	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	level2
13	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	task_pricing
14	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	skeleton
15	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	level2
16	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	task_pricing
17	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	skeleton
18	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	level2
19	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	task_pricing
20	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	skeleton
21	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	level2
22	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	task_pricing
23	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	skeleton
24	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	level2
25	32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	derive_alignment
26	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	resource_probe
27	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	instantiate
28	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	cache_hit
29	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	cache_miss
30	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	derive
31	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	task_pricing
32	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	skeleton
33	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	level2
34	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	task_pricing
35	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	skeleton
36	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	level2
37	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	task_pricing
38	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	skeleton
39	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	level2
40	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	task_pricing
41	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	skeleton
42	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	level2
43	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	task_pricing
44	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	skeleton
45	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	level2
46	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	task_pricing
47	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	skeleton
48	32x16x32s2k1;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	level2
49	32x16x32s2k2;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	resource_probe
50	32x16x32s2k2;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	instantiate
51	32x16x32s2k2;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	cache_hit
52	32x16x32s2k2;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	cache_miss
53	32x16x32s2k2;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	derive
54	32x16x32s2k2;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	task_pricing
55	32x16x32s2k2;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	skeleton
56	32x16x32s2k2;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	level2
57	32x16x32s2k2;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	task_pricing
58	32x16x32s2k2;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	skeleton
59	32x16x32s2k2;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	level2
60	32x16x32s2k2;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	task_pricing
61	32x16x32s2k2;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;32x16x32s2k16;	skeleton
