cell	supported	eliminated_nodes	removed_global_bytes	fixed_upper_ns	traffic_upper_ns	optimistic_upper_ns	cp_ns	queue_lb_ns	floor_ns	upper_share	entire_pair_envelope_cap_ns	entire_pair_envelope_cap_share
gqa2_s4	2	16.0	8192.0	795.82491445376	467.88733279999997	1263.7122472537599	83968	81920.0	83968	0.015049926725106706	3430.27980368	0.04085222708269817
gqa2_s128	2	512.0	262144.0	809.20952995616	493.52835865999987	1302.73788861616	200704	207872.0	207872.0	0.006267019553456743	3487.97211188	0.01677942249018627
mha4_s4	4	64.0	32768.0	1591.64982890752	935.7746655999999	2527.4244945075197	163840	160768.0	163840	0.015426174893234373	6860.55960736	0.04187353275976562
mha4_s128	4	2048.0	1048576.0	1671.95752190336	1089.6208207199998	2761.5783426233597	403456	430080.0	430080.0	0.00642108059575744	7206.71345648	0.01675668121391369
real_s4	4	128.0	65536.0	1634.65794674848	1018.16569592	2652.82364266848	979968	2271232.0	2271232.0	0.0011680108604794578	7045.93942564	0.0031022543824849244
real_s128	4	4096.0	2097152.0	6817.74071750464	4607.35422148	11425.09493898464	2618368	5714944.0	5714944.0	0.001999161310939292	29386.81343752	0.005142099981648114
