wait_index	producer	group
0	0	1
1	0	2
2	0	3
3	0	4
4	2	4294967295
5	4	16
6	6	4294967295
7	7	4294967295
8	8	0
9	8	1
10	8	2
11	8	3
12	8	4
13	8	5
14	8	6
15	8	7
16	8	8
17	8	9
18	8	10
19	8	11
20	8	12
21	8	13
22	8	14
23	8	15
24	8	17
25	8	18
26	8	19
27	9	1
28	9	2
29	9	3
30	9	4
31	9	5
32	9	6
33	9	7
34	9	8
35	9	9
36	9	10
37	9	11
38	9	12
39	9	13
40	9	14
41	9	15
42	9	16
43	9	17
44	9	18
45	9	19
46	9	20
47	9	21
48	9	22
49	9	23
50	9	24
51	9	25
52	9	26
53	9	27
54	9	28
55	9	29
56	9	30
57	9	31
58	10	1
59	10	2
60	10	3
61	10	4
62	11	1
63	11	2
64	11	3
65	11	4
66	11	5
67	11	6
68	11	7
69	11	8
70	11	9
71	11	10
72	11	11
73	11	12
74	11	13
75	11	14
76	11	15
77	11	16
78	11	17
79	11	18
80	11	19
81	11	20
82	11	21
83	11	22
84	11	23
85	11	24
86	11	25
87	11	26
88	11	27
89	11	28
90	11	29
91	11	30
92	11	31
93	11	32
94	11	33
95	11	34
96	11	35
97	11	36
98	11	37
99	11	38
100	11	39
101	11	40
102	11	41
103	11	42
104	11	43
105	11	44
106	11	45
107	11	46
108	11	47
109	11	48
110	11	49
111	11	50
112	11	51
113	11	52
114	11	53
115	11	54
116	11	55
117	11	56
118	11	57
119	11	58
120	11	59
121	11	60
122	11	61
123	11	62
124	11	63
125	12	0
126	12	1
127	12	2
128	12	3
129	12	4
130	12	5
131	12	6
132	12	7
133	12	8
134	12	9
135	12	10
136	12	11
137	12	12
138	12	13
139	12	14
140	12	15
141	12	16
142	12	17
143	12	18
144	12	19
145	12	20
146	12	21
147	12	22
148	12	23
149	12	24
150	12	25
151	12	26
152	12	27
153	12	28
154	12	29
155	12	30
156	12	31
157	12	32
158	12	33
159	12	34
160	12	35
161	12	36
162	12	37
163	12	38
164	12	39
165	12	40
166	12	41
167	12	42
168	12	43
169	12	44
170	12	45
171	12	46
172	12	47
173	12	48
174	12	49
175	12	50
176	12	51
177	12	52
178	12	53
179	12	54
180	12	55
181	12	56
182	12	57
183	12	58
184	12	59
185	12	60
186	12	61
187	12	62
188	12	63
189	13	1
190	13	2
191	13	3
192	13	4
193	14	1
194	14	2
195	14	3
196	14	4
197	14	5
198	14	6
199	14	7
200	14	8
201	14	9
202	14	10
203	14	11
204	14	12
205	14	13
206	14	14
207	14	15
208	14	16
209	14	17
210	14	18
211	14	19
212	14	20
213	14	21
214	14	22
215	14	23
216	14	24
217	14	25
218	14	26
219	14	27
220	14	28
221	14	29
222	14	30
223	14	31
224	15	1
225	15	2
226	15	3
227	15	4
228	17	4294967295
229	19	16
230	21	4294967295
231	22	4294967295
232	23	0
233	23	1
234	23	2
235	23	3
236	23	4
237	23	5
238	23	6
239	23	7
240	23	8
241	23	9
242	23	10
243	23	11
244	23	12
245	23	13
246	23	14
