worker	slot	stage	logical_task	dependency_begin	dependency_count	wait_begin	wait_count
0	0	0	0	0	0	0	0
0	1	2	0	1	1	0	4
0	2	5	0	4	1	4	1
0	3	6	0	5	1	5	0
0	4	8	16	7	3	5	3
0	5	9	0	10	1	8	19
0	6	10	0	11	1	27	31
0	7	11	0	12	1	58	4
0	8	13	0	14	2	62	127
0	9	14	0	16	2	189	4
0	10	15	0	18	1	193	31
0	11	17	0	20	1	224	4
0	12	20	0	23	1	228	1
0	13	21	0	24	1	229	0
0	14	23	16	26	3	229	3
0	15	24	0	29	2	232	19
0	16	25	0	31	1	251	31
0	17	26	0	32	1	282	4
0	18	28	0	34	2	286	127
0	19	29	0	36	2	413	4
1	0	0	1	0	0	417	0
1	1	2	1	1	1	417	4
1	2	5	1	4	1	421	1
1	3	6	1	5	1	422	0
1	4	8	17	7	3	422	3
1	5	9	1	10	1	425	19
1	6	10	1	11	1	444	31
1	7	11	1	12	1	475	4
1	8	13	1	14	2	479	127
1	9	14	1	16	2	606	4
1	10	15	1	18	1	610	31
1	11	17	1	20	1	641	4
1	12	20	1	23	1	645	1
1	13	21	1	24	1	646	0
1	14	23	17	26	3	646	3
1	15	24	1	29	2	649	19
1	16	25	1	31	1	668	31
1	17	26	1	32	1	699	4
1	18	28	1	34	2	703	127
1	19	29	1	36	2	830	4
2	0	0	2	0	0	834	0
2	1	2	2	1	1	834	4
2	2	5	2	4	1	838	1
2	3	6	2	5	1	839	0
2	4	8	18	7	3	839	3
2	5	9	2	10	1	842	19
2	6	10	2	11	1	861	31
2	7	11	2	12	1	892	4
2	8	13	2	14	2	896	127
2	9	14	2	16	2	1023	4
2	10	15	2	18	1	1027	31
2	11	17	2	20	1	1058	4
2	12	20	2	23	1	1062	1
2	13	21	2	24	1	1063	0
2	14	23	18	26	3	1063	3
2	15	24	2	29	2	1066	19
2	16	25	2	31	1	1085	31
2	17	26	2	32	1	1116	4
2	18	28	2	34	2	1120	127
2	19	29	2	36	2	1247	4
3	0	0	3	0	0	1251	0
3	1	2	3	1	1	1251	4
3	2	5	3	4	1	1255	1
3	3	6	3	5	1	1256	0
3	4	8	19	7	3	1256	3
3	5	9	3	10	1	1259	19
3	6	10	3	11	1	1278	31
3	7	11	3	12	1	1309	4
3	8	13	3	14	2	1313	127
3	9	14	3	16	2	1440	4
3	10	15	3	18	1	1444	31
3	11	17	3	20	1	1475	4
3	12	20	3	23	1	1479	1
3	13	21	3	24	1	1480	0
3	14	23	19	26	3	1480	3
3	15	24	3	29	2	1483	19
3	16	25	3	31	1	1502	31
3	17	26	3	32	1	1533	4
3	18	28	3	34	2	1537	127
3	19	29	3	36	2	1664	4
4	0	0	4	0	0	1668	0
4	1	2	4	1	1	1668	4
4	2	5	4	4	1	1672	1
4	3	6	4	5	1	1673	0
4	4	8	12	7	3	1673	3
4	5	9	4	10	1	1676	19
4	6	10	4	11	1	1695	31
4	7	11	4	12	1	1726	4
4	8	13	4	14	2	1730	127
4	9	14	4	16	2	1857	4
4	10	15	4	18	1	1861	31
4	11	17	4	20	1	1892	4
4	12	20	4	23	1	1896	1
4	13	21	4	24	1	1897	0
4	14	23	12	26	3	1897	3
4	15	24	4	29	2	1900	19
4	16	25	4	31	1	1919	31
4	17	26	4	32	1	1950	4
4	18	28	4	34	2	1954	127
4	19	29	4	36	2	2081	4
5	0	2	5	1	1	2085	5
5	1	5	5	4	1	2090	1
5	2	6	5	5	1	2091	0
5	3	8	13	7	3	2091	3
5	4	9	5	10	1	2094	19
5	5	11	5	12	1	2113	5
5	6	14	5	16	2	2118	5
5	7	17	5	20	1	2123	5
5	8	20	5	23	1	2128	1
5	9	21	5	24	1	2129	0
5	10	23	13	26	3	2129	3
