index	stage	logical_task	begin_ns	end_ns	wall_ns	task_fixed_plus_mainloop_ns	publish_ns	wait_hop_ns	barrier_ns	idle_ns	category	name
0	0	0	1790327718013872128	1790327718013877248	5120	5120	0	0	0	0	embed	l0.s00.embed
1	1	0	1790327718013877248	1790327718013884416	7168	5120	1024	1024	0	0	norm	l0.s01.norm
2	2	255	1790327718013884416	1790327718013896704	12288	10240	1024	1024	0	0	proj	l0.s02.proj
3	4	127	1790327718013896704	1790327718013904896	8192	6144	1024	0	0	1024	proj	l0.s03.proj
4	13	255	1790327718013904896	1790327718013943808	38912	10240	2048	26624	0	0	proj	l0.s10.proj
5	16	255	1790327718013943808	1790327718013982720	38912	9216	1024	27648	0	1024	proj	l0.s12.proj
6	16	639	1790327718013982720	1790327718013990912	8192	6144	2048	0	0	0	proj	l0.s12.proj
7	16	1023	1790327718013990912	1790327718013997056	6144	4096	1024	0	0	1024	proj	l0.s12.proj
8	16	1407	1790327718013997056	1790327718014005248	8192	5120	2048	1024	0	0	proj	l0.s12.proj
9	16	1791	1790327718014005248	1790327718014012416	7168	5120	1024	0	1024	0	proj	l0.s12.proj
10	18	127	1790327718014012416	1790327718014022656	10240	8192	1024	0	0	1024	proj	l0.s13.proj
11	18	511	1790327718014022656	1790327718014032896	10240	5120	4096	0	0	1024	proj	l0.s13.proj
12	18	895	1790327718014032896	1790327718014045184	12288	5120	6144	0	1024	0	proj	l0.s13.proj
13	18	1279	1790327718014045184	1790327718014055424	10240	5120	3072	0	0	2048	proj	l0.s13.proj
14	18	1663	1790327718014055424	1790327718014063616	8192	4096	2048	2048	0	0	proj	l0.s13.proj
15	18	2047	1790327718014063616	1790327718014072832	9216	5120	3072	1024	0	0	proj	l0.s13.proj
16	21	255	1790327718014072832	1790327718014143488	70656	28672	1024	40960	0	0	proj	l0.s15.proj
17	24	255	1790327718014143488	1790327718014193664	50176	9216	2048	38912	0	0	proj	l0.s17.proj
18	26	127	1790327718014193664	1790327718014202880	9216	7168	2048	0	0	0	proj	l0.s18.proj
19	35	255	1790327718014202880	1790327718014241792	38912	10240	1024	26624	0	1024	proj	l0.s25.proj
20	38	255	1790327718014241792	1790327718014284800	43008	10240	1024	30720	0	1024	proj	l0.s27.proj
21	38	639	1790327718014284800	1790327718014292992	8192	6144	1024	1024	0	0	proj	l0.s27.proj
22	38	1023	1790327718014292992	1790327718014301184	8192	5120	2048	0	0	1024	proj	l0.s27.proj
23	38	1407	1790327718014301184	1790327718014310400	9216	6144	3072	0	0	0	proj	l0.s27.proj
24	38	1791	1790327718014310400	1790327718014318592	8192	5120	2048	0	0	1024	proj	l0.s27.proj
25	40	127	1790327718014318592	1790327718014324736	6144	4096	2048	0	0	0	proj	l0.s28.proj
26	40	511	1790327718014324736	1790327718014332928	8192	6144	2048	0	0	0	proj	l0.s28.proj
27	40	895	1790327718014332928	1790327718014341120	8192	6144	2048	0	0	0	proj	l0.s28.proj
28	40	1279	1790327718014341120	1790327718014349312	8192	5120	3072	0	0	0	proj	l0.s28.proj
29	40	1663	1790327718014349312	1790327718014358528	9216	5120	4096	0	0	0	proj	l0.s28.proj
30	40	2047	1790327718014358528	1790327718014367744	9216	5120	4096	0	0	0	proj	l0.s28.proj
31	43	255	1790327718014367744	1790327718014443520	75776	30720	3072	41984	0	0	proj	l0.s30.proj
32	46	255	1790327718014443520	1790327718014492672	49152	9216	1024	38912	0	0	proj	l0.s32.proj
33	48	127	1790327718014492672	1790327718014500864	8192	6144	2048	0	0	0	proj	l0.s33.proj
34	57	255	1790327718014500864	1790327718014540800	39936	9216	2048	27648	0	1024	proj	l0.s40.proj
35	60	255	1790327718014540800	1790327718014581760	40960	9216	2048	29696	0	0	proj	l0.s42.proj
36	60	639	1790327718014581760	1790327718014590976	9216	7168	2048	0	0	0	proj	l0.s42.proj
37	60	1023	1790327718014590976	1790327718014599168	8192	6144	2048	0	0	0	proj	l0.s42.proj
38	60	1407	1790327718014599168	1790327718014608384	9216	6144	2048	1024	0	0	proj	l0.s42.proj
39	60	1791	1790327718014608384	1790327718014616576	8192	5120	2048	0	0	1024	proj	l0.s42.proj
40	62	127	1790327718014616576	1790327718014625792	9216	5120	3072	1024	0	0	proj	l0.s43.proj
41	62	511	1790327718014625792	1790327718014635008	9216	5120	3072	0	0	1024	proj	l0.s43.proj
42	62	895	1790327718014635008	1790327718014644224	9216	6144	3072	0	0	0	proj	l0.s43.proj
43	62	1279	1790327718014644224	1790327718014653440	9216	6144	2048	0	0	1024	proj	l0.s43.proj
44	62	1663	1790327718014653440	1790327718014661632	8192	6144	2048	0	0	0	proj	l0.s43.proj
45	62	2047	1790327718014661632	1790327718014670848	9216	6144	3072	0	0	0	proj	l0.s43.proj
46	65	255	1790327718014670848	1790327718014738432	67584	28672	1024	37888	0	0	proj	l0.s45.proj
47	68	255	1790327718014738432	1790327718014788608	50176	9216	1024	38912	0	1024	proj	l0.s47.proj
48	70	127	1790327718014788608	1790327718014797824	9216	6144	2048	0	1024	0	proj	l0.s48.proj
49	79	255	1790327718014797824	1790327718014837760	39936	9216	1024	28672	0	1024	proj	l0.s55.proj
50	82	255	1790327718014837760	1790327718014879744	41984	9216	2048	30720	0	0	proj	l0.s57.proj
51	82	639	1790327718014879744	1790327718014888960	9216	6144	2048	0	0	1024	proj	l0.s57.proj
52	82	1023	1790327718014888960	1790327718014897152	8192	5120	2048	1024	0	0	proj	l0.s57.proj
