config	historical_status	replay_class	exit_code	binary_sha256	log
mha4_32x16x16s2k2	RUNFAIL	numerical_criterion	1	1aa73440eb8f4c23922a8253a4c6a590290a663728737696a39d3ca330743213	logs/mha4_32x16x16s2k2.txt
mha4_32x16x16s2k16	RUNFAIL	numerical_criterion	1	0ae296c1c6d9fb8642f661aedc2139f1f9414b7bb14f91de1c754b0c6c08874f	logs/mha4_32x16x16s2k16.txt
mha4_32x16x16s3k2	RUNFAIL	numerical_criterion	1	d9f8beaf053f9994ae1fc97a298f337a37733e3c288c196193de9acbe40b8aad	logs/mha4_32x16x16s3k2.txt
mha4_32x16x16s3k16	RUNFAIL	numerical_criterion	1	24436fb21a4783580e32d8acdc2a7946efae64fa86e19e69532b747b61d2c8bf	logs/mha4_32x16x16s3k16.txt
mha4_32x16x16s4k2	RUNFAIL	numerical_criterion	1	36befd915f10e48fa110087f72a4eb43f59d41218e83dea3c74292c0c569cf26	logs/mha4_32x16x16s4k2.txt
mha4_32x16x16s4k16	RUNFAIL	numerical_criterion	1	b96992a0772f9f50cb1963562edb2ece2559346aea7fa8aa442fde3309af3541	logs/mha4_32x16x16s4k16.txt
mha4_32x16x16s5k2	RUNFAIL	numerical_criterion	1	f2d8a5c738ca6b705aeeb711611928588a6d7fd26c305c6d21da900ea35d7405	logs/mha4_32x16x16s5k2.txt
mha4_32x16x16s5k16	RUNFAIL	numerical_criterion	1	297f46e430606d3238cd215f21d8e36390525987e173c5a4ccee0d0cb6f070d9	logs/mha4_32x16x16s5k16.txt
mha4_32x16x32s2k2	RUNFAIL	numerical_criterion	1	b037cacc9b2670d5e58bf8497a74bb5c5cd096335abaa8355adcea3dc92974cb	logs/mha4_32x16x32s2k2.txt
mha4_32x16x32s2k16	RUNFAIL	numerical_criterion	1	b82bc4701d81020d0faa3c6f2a0106f3bc09e859911d68ff7f7fe89fd2654836	logs/mha4_32x16x32s2k16.txt
mha4_32x16x32s3k2	RUNFAIL	numerical_criterion	1	06de4df5ab25c389cd320ec38884186aec1ac2a2a942eded3695a56b916bea03	logs/mha4_32x16x32s3k2.txt
mha4_32x16x32s3k16	RUNFAIL	numerical_criterion	1	9584daecc37d490a0102480b95439738ad9f3824ff39cb83e59fd65519844844	logs/mha4_32x16x32s3k16.txt
