worker	producer_slot	consumer_slot	producer_stage	logical_task	event_index	group	fanin	model	seq	dump
1	43	44	13	1	69	0	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
1	44	45	14	1	71	0	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
1	45	46	15	1	73	0	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
1	53	54	23	1	92	0	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
1	54	55	24	1	100	0	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
1	55	56	25	1	102	0	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
1	57	58	27	1	108	0	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
1	58	59	28	1	112	0	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
2	60	61	0	2	31	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
2	66	67	8	2	50	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
2	67	68	9	2	58	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
2	68	69	10	2	60	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
2	70	71	12	2	66	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
2	71	72	13	2	70	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
2	72	73	14	2	72	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
2	73	74	15	2	74	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
2	79	80	23	2	93	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
2	80	81	24	2	101	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
2	81	82	25	2	103	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
2	83	84	27	2	109	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
2	84	85	28	2	113	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
3	86	87	0	3	31	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
3	92	93	8	3	50	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
3	93	94	9	3	58	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
3	94	95	10	3	60	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
3	96	97	12	3	66	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
3	97	98	13	3	70	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
3	98	99	14	3	72	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
3	99	100	15	3	74	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
3	105	106	23	3	93	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
3	106	107	24	3	101	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
3	107	108	25	3	103	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
3	109	110	27	3	109	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
3	110	111	28	3	113	1	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
8	168	169	4	8	39	4	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
8	170	171	19	8	82	4	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
9	172	173	4	9	39	4	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
9	174	175	19	9	82	4	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
