model	placement	kernel	membar_sc_gpu	membar	bar_sync	binary_sha256
gqa2	0	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	2	2	8	d9d47df22867a3a2c7b9464f525c6ea6dd5d362f716773e164bceeb83367140a
gqa2	5	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	2	2	8	f55e1a983eb00f95f26f878d802a4ae1d352447dcf0fdf8304fe99806ffbbb2d
mha4	0	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	2	2	8	9cb41c6d48734067d75b347af712a3b5d2c161ddd8560e513d5c9f83d57de3ea
mha4	5	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	2	2	8	d5f8f470813ddd328f3fa212b6ff70e019f1924b483e4f625f81b89b8db8b3e5
