group	round	sample	l1_ms	l2_ms	status
correct_gqa2_s128_balanced	-	1	0.564320	1.016832	PASS
correct_gqa2_s128_balanced	-	10	0.563104	1.009664	PASS
correct_gqa2_s128_balanced	-	11	0.564352	1.016000	PASS
correct_gqa2_s128_balanced	-	12	0.564928	1.015808	PASS
correct_gqa2_s128_balanced	-	13	0.565440	1.017728	PASS
correct_gqa2_s128_balanced	-	14	0.566432	1.011712	PASS
correct_gqa2_s128_balanced	-	15	0.565472	1.010688	PASS
correct_gqa2_s128_balanced	-	16	0.567456	1.018880	PASS
correct_gqa2_s128_balanced	-	17	0.567232	1.017728	PASS
correct_gqa2_s128_balanced	-	18	0.565344	1.017728	PASS
correct_gqa2_s128_balanced	-	19	0.568288	1.018944	PASS
correct_gqa2_s128_balanced	-	2	0.565216	1.016672	PASS
correct_gqa2_s128_balanced	-	20	0.565408	1.011648	PASS
correct_gqa2_s128_balanced	-	21	0.568576	1.018880	PASS
correct_gqa2_s128_balanced	-	22	0.567264	1.017856	PASS
correct_gqa2_s128_balanced	-	23	0.568352	1.019904	PASS
correct_gqa2_s128_balanced	-	24	0.565248	1.011712	PASS
correct_gqa2_s128_balanced	-	25	0.567520	1.018880	PASS
correct_gqa2_s128_balanced	-	26	0.566272	1.018880	PASS
correct_gqa2_s128_balanced	-	27	0.566272	1.011712	PASS
correct_gqa2_s128_balanced	-	28	0.568512	1.018880	PASS
correct_gqa2_s128_balanced	-	29	0.568320	1.019744	PASS
correct_gqa2_s128_balanced	-	3	0.565408	1.015840	PASS
correct_gqa2_s128_balanced	-	30	0.568448	1.017856	PASS
correct_gqa2_s128_balanced	-	31	0.568224	1.018880	PASS
correct_gqa2_s128_balanced	-	32	0.565440	1.011712	PASS
correct_gqa2_s128_balanced	-	33	0.568512	1.018816	PASS
correct_gqa2_s128_balanced	-	34	0.566464	1.017984	PASS
correct_gqa2_s128_balanced	-	35	0.567488	1.019712	PASS
correct_gqa2_s128_balanced	-	36	0.567296	1.018880	PASS
correct_gqa2_s128_balanced	-	37	0.565248	1.010688	PASS
correct_gqa2_s128_balanced	-	38	0.566272	1.016864	PASS
correct_gqa2_s128_balanced	-	39	0.564416	1.008640	PASS
correct_gqa2_s128_balanced	-	4	0.565984	1.017056	PASS
correct_gqa2_s128_balanced	-	40	0.565440	1.017856	PASS
correct_gqa2_s128_balanced	-	41	0.565248	1.016512	PASS
correct_gqa2_s128_balanced	-	42	0.566464	1.016800	PASS
correct_gqa2_s128_balanced	-	43	0.567520	1.017792	PASS
correct_gqa2_s128_balanced	-	44	0.565248	1.009664	PASS
correct_gqa2_s128_balanced	-	45	0.564224	1.015808	PASS
correct_gqa2_s128_balanced	-	46	0.565440	1.016832	PASS
correct_gqa2_s128_balanced	-	47	0.564096	1.016704	PASS
correct_gqa2_s128_balanced	-	48	0.564256	1.015808	PASS
correct_gqa2_s128_balanced	-	49	0.565472	1.016128	PASS
correct_gqa2_s128_balanced	-	5	0.564256	1.009664	PASS
correct_gqa2_s128_balanced	-	50	0.566144	1.015808	PASS
