model	seq	arm	passes	processes
gqa2	4	legacy_grid_stride	50	50
gqa2	4	balanced	50	50
gqa2	4	rotate	50	50
gqa2	4	eft	50	50
gqa2	4	band	50	50
gqa2	4	wavefront	50	50
mha4	4	legacy_grid_stride	50	50
mha4	4	balanced	50	50
mha4	4	rotate	50	50
mha4	4	eft	50	50
mha4	4	band	50	50
mha4	4	wavefront	50	50
gqa2	128	legacy_grid_stride	50	50
gqa2	128	balanced	50	50
gqa2	128	rotate	50	50
gqa2	128	eft	50	50
gqa2	128	band	50	50
gqa2	128	wavefront	50	50
mha4	128	legacy_grid_stride	50	50
mha4	128	balanced	50	50
mha4	128	rotate	50	50
mha4	128	eft	50	50
mha4	128	band	50	50
mha4	128	wavefront	50	50
real	4	legacy_grid_stride	50	50
real	4	rotate	50	50
real	4	eft	50	50
real	4	band	50	50
real	4	wavefront	50	50
real	128	legacy_grid_stride	50	50
real	128	rotate	50	50
real	128	eft	50	50
real	128	band	50	50
real	128	wavefront	50	50
