gate	model	seq	arm	n	base_median_ms	arm_median_ms	ratio	ci_lo	ci_hi	p_wilcoxon
gate	model	seq	arm	probe	n	l2_median_ms	l1_median_ms
S2-d	gqa2	4	rotate	neither	25	0.058368	0.403456
S2-d	gqa2	4	rotate	nowait	25	0.061184	0.403456
S2-d	gqa2	4	rotate	full	25	0.291744	0.403456
S2-d	gqa2	4	rotate	l1nosync	25	0.291840	0.363552
S2-d	gqa2	4	eft	neither	25	0.237568	0.401344
S2-d	gqa2	4	eft	nowait	25	0.276384	0.401408
S2-d	gqa2	4	eft	full	25	0.292864	0.401408
S2-d	gqa2	4	eft	l1nosync	25	0.292864	0.363520
S2-d	mha4	4	rotate	neither	25	0.135456	0.809216
S2-d	mha4	4	rotate	nowait	25	0.143328	0.808960
S2-d	mha4	4	rotate	full	25	0.579392	0.809184
S2-d	mha4	4	rotate	l1nosync	25	0.579456	0.728928
S2-d	mha4	4	eft	neither	25	0.470016	0.806912
S2-d	mha4	4	eft	nowait	25	0.554080	0.808960
S2-d	mha4	4	eft	full	25	0.588000	0.807936
S2-d	mha4	4	eft	l1nosync	25	0.586752	0.728352
S2-d	gqa2	128	rotate	neither	25	0.157696	0.565248
S2-d	gqa2	128	rotate	nowait	25	0.187392	0.565248
S2-d	gqa2	128	rotate	full	25	0.455680	0.565280
S2-d	gqa2	128	rotate	l1nosync	25	0.455680	0.525216
S2-d	gqa2	128	eft	neither	25	0.380672	0.565344
S2-d	gqa2	128	eft	nowait	25	0.432128	0.565440
S2-d	gqa2	128	eft	full	25	0.456704	0.565248
S2-d	gqa2	128	eft	l1nosync	25	0.456768	0.525312
S2-d	mha4	128	rotate	neither	25	0.266144	1.029920
S2-d	mha4	128	rotate	nowait	25	0.369664	1.131520
S2-d	mha4	128	rotate	full	25	0.911360	1.090272
S2-d	mha4	128	rotate	l1nosync	25	0.855840	0.959488
S2-d	mha4	128	eft	neither	25	0.697536	1.029120
S2-d	mha4	128	eft	nowait	25	0.911040	1.128448
S2-d	mha4	128	eft	full	25	0.878688	1.029120
S2-d	mha4	128	eft	l1nosync	25	0.878592	0.958464
