dtype	model	lane	status	count	total	percent
bf16	mha4	tc	live	174	462	37.6623377
bf16	mha4	cuda	live	0	462	0
bf16	mha4	sfu	live	0	462	0
bf16	mha4	tmem	capability_absent	0	462	0
bf16	mha4	smem	not_calibrated	0	462	0
bf16	mha4	l1_5	capability_absent	0	462	0
bf16	mha4	l2	live	288	462	62.3376623
bf16	mha4	ddr	live	0	462	0
bf16	mha4	net	capability_absent	0	462	0
