slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	prefetch_wait_cycles	prefetch_issued
0	1	0	0	0	1	0	1789827565874356224	10024927239193	1789827565874358272	10024927244143	1789827565874358272	10024927244143	1789827565874368512	10024927271608	1789827565874370560	10024927275542	1789827565874370560	10024927275661	0	0	0	0	3788	1
1	0	64	128	16	1	6144	1789827565874371584	10024927280362	1789827565874372608	10024927283431	1789827565874373632	10024927284303	1789827565874501632	10024927620604	1789827565874504704	10024927629118	1789827565874505728	10024927629403	10024927284313	10024927620514	129591	256	695	0
2	2	0	0	0	1	0	1789827565874513920	10024927652331	1789827565874514944	10024927655127	1789827565874514944	10024927655127	1789827565874515968	10024927657144	1789827565874515968	10024927657174	1789827565874515968	10024927657293	0	0	0	0	279	0
3	2	0	0	0	1	0	1789827565874516992	10024927660088	1789827565874518016	10024927661990	1789827565874518016	10024927661990	1789827565874518016	10024927664086	1789827565874518016	10024927664116	1789827565874518016	10024927664234	0	0	0	0	296	0
4	2	0	0	0	1	0	1789827565874519040	10024927667046	1789827565874520064	10024927669622	1789827565874520064	10024927669622	1789827565874521088	10024927671456	1789827565874521088	10024927671488	1789827565874521088	10024927671606	0	0	0	0	279	0
5	2	0	0	0	1	0	1789827565874522112	10024927674488	1789827565874523136	10024927676639	1789827565874523136	10024927676639	1789827565874524160	10024927678802	1789827565874524160	10024927678832	1789827565874524160	10024927678950	0	0	0	0	280	0
6	2	0	0	0	1	0	1789827565874525184	10024927681747	1789827565874526208	10024927684363	1789827565874526208	10024927684363	1789827565874527232	10024927686149	1789827565874527232	10024927686179	1789827565874527232	10024927686297	0	0	0	0	284	0
7	2	0	0	0	1	0	1789827565874528256	10024927689199	1789827565874529280	10024927691621	1789827565874529280	10024927691621	1789827565874529280	10024927693472	1789827565874529280	10024927693502	1789827565874529280	10024927693620	0	0	0	0	286	0
8	2	0	0	0	1	0	1789827565874530304	10024927696255	1789827565874531328	10024927698849	1789827565874531328	10024927698849	1789827565874532352	10024927700665	1789827565874532352	10024927700695	1789827565874532352	10024927700815	0	0	0	0	279	0
9	2	0	0	0	1	0	1789827565874533376	10024927703740	1789827565874534400	10024927706101	1789827565874534400	10024927706101	1789827565874535424	10024927708401	1789827565874535424	10024927708431	1789827565874535424	10024927708550	0	0	0	0	279	0
10	2	0	0	0	1	0	1789827565874536448	10024927711255	1789827565874537472	10024927713331	1789827565874537472	10024927713331	1789827565874537472	10024927715123	1789827565874537472	10024927715153	1789827565874537472	10024927715274	0	0	0	0	279	0
11	2	0	0	0	1	0	1789827565874538496	10024927718170	1789827565874539520	10024927720576	1789827565874539520	10024927720576	1789827565874540544	10024927722616	1789827565874540544	10024927722646	1789827565874540544	10024927722764	0	0	0	0	284	0
12	2	0	0	0	1	0	1789827565874541568	10024927725509	1789827565874542592	10024927727568	1789827565874542592	10024927727568	1789827565874543616	10024927729409	1789827565874543616	10024927729443	1789827565874543616	10024927729562	0	0	0	0	279	0
