model	seq	arm	key	round	dump	all_nodes	all_run_cycles	all_setup_share	all_wait_share	all_compute_share	all_epilogue_share	all_gemm_wait_share	all_gemm_body_share	all_gemm_head_share	all_simt_wait_share	all_simt_body_share	all_simt_head_share	all_exposed_wait_share	cp_nodes	cp_run_cycles	cp_setup_share	cp_wait_share	cp_compute_share	cp_epilogue_share	cp_gemm_wait_share	cp_gemm_body_share	cp_gemm_head_share	cp_simt_wait_share	cp_simt_body_share	cp_simt_head_share	cp_exposed_wait_share
gqa2	128	selected	32x16x32s2k1_k1_r5	0	docs/experiments/PHASE2/raw/gqa2_s128/phase/selected_r0/dump	6400	146770034	0.07600161079202312	0.1304588373945597	0.7449669596724355	0.048572592140981585	0.1296653716112105	0.4009391045041251	0.16216669950488669	0.0007934657833492088	0.5990608954958748	0.04429374868169616	0.1304588373945597	20	508991	0.06948649386727859	0.1760227587521194	0.6943541241397195	0.06013662324088245	0.17503845844032606	0.5487405474752992	0.2125636799078962	0.0009843003117933323	0.45125945252470084	0.032945572711501774	0.1760227587521194
gqa2	128	selected	32x16x32s2k1_k1_r5	1	docs/experiments/PHASE2/raw/gqa2_s128/phase/selected_r1/dump	6400	146691089	0.07552432854322869	0.13022856487213072	0.7455190683055056	0.04872803827913501	0.12942282404079775	0.4020323006805137	0.16152471265654045	0.0008057408313329789	0.5979676993194862	0.044228180758818965	0.13022856487213072	20	502735	0.07148497717485355	0.17559748177469242	0.6911334997563329	0.061784041294121156	0.17442986861865595	0.5495539399484818	0.21314012352432196	0.0011676131560364805	0.4504460600515182	0.03394233542522403	0.17559748177469242
gqa2	128	selected	32x16x32s2k1_k1_r5	2	docs/experiments/PHASE2/raw/gqa2_s128/phase/selected_r2/dump	6400	146642520	0.07568854517775608	0.1309987103331285	0.7449682329518069	0.04834451153730855	0.13019427789429697	0.40159980884125557	0.16268795026162944	0.0008044324388315204	0.5984001911587444	0.043999305249255126	0.1309987103331285	20	509925	0.07425013482374859	0.17355101240378487	0.6907643280874638	0.0614345246850027	0.17254302103250477	0.5468196303377948	0.2107937441780654	0.0010079913712800902	0.4531803696622052	0.037007403049468056	0.17355101240378487
gqa2	128	selected	32x16x32s2k1_k1_r5	3	docs/experiments/PHASE2/raw/gqa2_s128/phase/selected_r3/dump	6400	146637486	0.07528812925775337	0.12982588913178722	0.7463972820701522	0.04848869954030718	0.1290252480187774	0.4014510927990132	0.16149464673719244	0.0008006411130098071	0.5985489072009867	0.04361937165234816	0.12982588913178722	20	508926	0.07284949088865572	0.17316466441093598	0.6903105756043119	0.06367526909609648	0.17209378180717824	0.5515851027457823	0.21162801664682096	0.0010708826037577172	0.4484148972542177	0.03438613865277074	0.17316466441093595
gqa2	128	selected	32x16x32s2k1_k1_r5	4	docs/experiments/PHASE2/raw/gqa2_s128/phase/selected_r4/dump	6400	146928222	0.07587293202254908	0.13059589055668283	0.7448517276687661	0.04867944975200204	0.12979834466383183	0.40240211305354256	0.16216844984348888	0.0007975458928510004	0.5975978869464574	0.044300372735743034	0.13059589055668283	20	508535	0.07229787526915551	0.176650574690041	0.684037480212768	0.06701406982803544	0.1757165190203231	0.5497753350310205	0.21438642374664477	0.0009340556697179152	0.4502246649689795	0.03456202621255174	0.176650574690041
gqa2	128	selected	32x16x32s2k1_k1_r5	5	docs/experiments/PHASE2/raw/gqa2_s128/phase/selected_r5/dump	6400	146717890	0.07531433964869587	0.13122985888087677	0.7454203437631225	0.048035457707304816	0.13042924076947945	0.4023121311245684	0.16293675570170754	0.0008006181113973217	0.5976878688754316	0.04360744282786509	0.13122985888087677	20	506517	0.07657788386174601	0.1757315154279126	0.6865139768260493	0.06117662388429214	0.1747068706479743	0.5484495090984113	0.21741224874979517	0.0010246447799382844	0.4515504909015887	0.03489715053986342	0.17573151542791257
gqa2	128	selected	32x16x32s2k1_k1_r5	6	docs/experiments/PHASE2/raw/gqa2_s128/phase/selected_r6/dump	6400	146725133	0.07551401572081042	0.12998836402486	0.746207611207277	0.04829000904705263	0.12918100404788865	0.4013812207619536	0.16109987100846587	0.0008073599769713618	0.5986187792380464	0.044402508737204555	0.12998836402486003	20	506945	0.07288167355433035	0.16950359506455334	0.6916115160421742	0.0660032153389421	0.168331870321238	0.548067344583732	0.20937577054710077	0.0011717247433153499	0.45193265541626804	0.03300949807178293	0.16950359506455334
gqa2	128	selected	32x16x32s2k1_k1_r5	7	docs/experiments/PHASE2/raw/gqa2_s128/phase/selected_r7/dump	6400	146550185	0.07525630895655301	0.13000448958832772	0.7458801365552694	0.048859064899849834	0.12920749298269396	0.4013988791621109	0.1617182878343006	0.000796996605633763	0.5986011208378891	0.043542510710580136	0.13000448958832772	20	509780	0.07223704343049943	0.17156616579701048	0.6928400486484366	0.06335674212405351	0.17055200282474792	0.5469339715171251	0.20906861783514458	0.0010141629722625447	0.45306602848287497	0.03473459139236534	0.17156616579701045
gqa2	128	selected	32x16x32s2k1_k1_r5	8	docs/experiments/PHASE2/raw/gqa2_s128/phase/selected_r8/dump	6400	146832234	0.07526973947695981	0.1301493853182129	0.7458837342214653	0.048697140983362	0.12935885726563284	0.40231866253563914	0.1615303421726867	0.0007905280525800622	0.5976813374643608	0.043888782622486015	0.1301493853182129	20	508366	0.0734372479670159	0.171207358477947	0.6934334711605418	0.0619219223944953	0.1699071141657782	0.5459767175617567	0.20960292387767868	0.0013002443121687918	0.4540232824382433	0.0350416825672842	0.171207358477947
gqa2	4	selected	32x16x64s2k1_k1_r1	0	docs/experiments/PHASE2/raw/gqa2_s4/phase/selected_r0/dump	648	8408797	0.14692827047674	0.1758530976547537	0.5788562858634833	0.09836234600502307	0.17548586319779155	0.9197532060769216	0.3011822024006526	0.0003672344569621552	0.08024679392307842	0.021599165730841165	0.1758530976547537	20	203318	0.16377300583322676	0.12663905802732664	0.5989484452925958	0.11063949084685075	0.12437659233319234	0.654698551038275	0.21030602307715007	0.0022624656941343116	0.345301448961725	0.08010604078340335	0.12663905802732667
