cell	kind	nodes	barriers	body_share_of_path	setup_share	wait_share	compute_share	epilogue_share
gqa2_s128	attention	2	4	0.34326343687805877	0.022590688995982097	0.0007268856099543264	0.9734371959385982	0.0032452294554653786
gqa2_s128	elementwise	2	0	0.030253973056498053	0.15351646210792907	0.0	0.8244041820897461	0.022079355802324827
gqa2_s128	gemm	8	0	0.5487405474752992	0.068384269469825	0.3189821842866554	0.5405293157276659	0.0721042305158537
gqa2_s128	kvappend	2	0	0.010416687131992512	0.465296114673708	0.0	0.464164466239155	0.07053941908713693
gqa2_s128	rmsnorm	4	32	0.05369643078168376	0.17760052687424535	0.013684094983718122	0.5038966741063261	0.3048187040357104
gqa2_s128	rope	2	0	0.013628924676467757	0.3799913507279804	0.0	0.49632405939166785	0.12368458988035173
gqa2_s4	attention	2	4	0.10024198546119871	0.16353466463863403	0.005102791815906972	0.8086943722094108	0.02266817133604828
gqa2_s4	elementwise	2	0	0.0769238336005666	0.16969309462915602	0.0	0.8099744245524296	0.020332480818414322
gqa2_s4	gemm	8	0	0.654698551038275	0.13125037562353506	0.18997535909609953	0.5768901376284632	0.10188412765190216
gqa2_s4	kvappend	2	0	0.021522934516373365	0.4993144424131627	0.0	0.42778793418647165	0.07289762340036562
gqa2_s4	rmsnorm	4	32	0.11741705112188788	0.2145938926821095	0.014912243957609015	0.45566120722154735	0.3148326561387341
gqa2_s4	rope	2	0	0.029195644261698423	0.42654986522911054	0.0	0.519878706199461	0.05357142857142857
mha4_s128	attention	4	8	0.33257032580227425	0.02346522977769475	0.0011442181954044461	0.9734144405006538	0.0019761115262469644
mha4_s128	elementwise	4	0	0.030443612190258745	0.16246293166671982	0.0	0.8185644590414847	0.01897260929179554
mha4_s128	gemm	16	0	0.5595534173224066	0.07066436508418414	0.4539455080107214	0.38955787063140274	0.0858322562736917
mha4_s128	kvappend	4	0	0.012740090124197434	0.5453367875647669	0.0	0.3837244742456568	0.07093873818957634
mha4_s128	rmsnorm	8	64	0.05075650352284266	0.20605898328424435	0.01424855601881957	0.5059671805072103	0.27372528018972575
mha4_s128	rope	4	0	0.013936051038020297	0.38820005572582894	0.0	0.5120507105043187	0.09974923376985233
mha4_s4	attention	4	8	0.10008438235569878	0.1607583078591855	0.005127699437925254	0.8183611083719554	0.015752884330933834
mha4_s4	elementwise	4	0	0.07727400579326817	0.16197835179922732	0.0	0.8176186979150036	0.020402950285769023
mha4_s4	gemm	16	0	0.6536622435837335	0.12917471916898177	0.1925919495108105	0.5766019446793091	0.10163138664089866
mha4_s4	kvappend	4	0	0.02143114449121387	0.5142758461892701	0.0	0.4122726226110983	0.07345153119963159
mha4_s4	rmsnorm	8	64	0.11870524897729572	0.2124046475857912	0.014799110390555174	0.459603832803309	0.31319240922034464
mha4_s4	rope	4	0	0.028842974798790028	0.4224978614200171	0.0	0.5230966638152267	0.054405474764756205
