model	seq	variant	baseline	metric	rounds	delta_median	ci_low	ci_high	wilcoxon_p
gqa2	4	shard128	base	l1_ms	25	-6.40000000000085e-05	-0.0010239999999999694	0.00022400000000000198	0.4837711074667894
gqa2	4	shard128	base	l2_ms	25	0.015168000000000015	0.01414399999999999	0.01638400000000001	1.3023559673087328e-05
gqa2	4	shard128	base	ratio	25	0.037330793303951726	0.034839373744272706	0.040882136804451186	1.3070605478013073e-05
gqa2	4	shard128	base	notify_ms	25	0.01555200000000001	0.014336000000000015	0.017344000000000026	1.3047065538460705e-05
gqa2	4	shard128	base	wait_ms	25	-0.0012159999999999949	-0.0031039999999999957	0.0010240000000000249	0.258351986766433
gqa2	4	shard128	base	barrier_ms	25	6.399999999995298e-05	-0.0009600000000000164	0.0010240000000000249	0.7467617629127221
gqa2	4	shard128	base	loop_ms	25	0.0007999999999999674	-0.0007999999999999674	0.0018880000000000008	0.1746698269230324
gqa2	4	shard128	base	gap_ms	25	0.015295999999999976	0.014239999999999975	0.016832000000000014	1.3070605478013073e-05
gqa2	4	shard128	base	closure_us	25	0.0	0.0	0.0	1.0
gqa2	128	shard128	base	l1_ms	25	0.0010240000000000249	0.0	0.0030400000000000427	0.0038554250598552223
gqa2	128	shard128	base	l2_ms	25	0.016383999999999954	0.014175999999999966	0.016544000000000003	1.2988364685685464e-05
gqa2	128	shard128	base	ratio	25	0.02535437691638287	0.02137445887445888	0.028315412186380007	1.3070605478013073e-05
gqa2	128	shard128	base	notify_ms	25	0.014112000000000013	0.011456000000000022	0.015455999999999914	1.3070605478013073e-05
gqa2	128	shard128	base	wait_ms	25	0.0011839999999998518	-0.0012159999999998838	0.0033279999999999976	0.29398621683280113
gqa2	128	shard128	base	barrier_ms	25	-3.2000000000032e-05	-0.0019519999999999538	0.0009919999999999929	0.46752036232340294
gqa2	128	shard128	base	loop_ms	25	-0.00035200000000001896	-0.0028479999999999617	3.2000000000032e-05	0.05375963885592056
gqa2	128	shard128	base	gap_ms	25	0.014463999999999921	0.01235200000000003	0.016384000000000065	1.3058831246722831e-05
gqa2	128	shard128	base	closure_us	25	0.0	0.0	0.0	1.0
mha4	4	shard128	base	l1_ms	25	0.0022719999999999407	0.0009919999999999929	0.0040959999999999885	0.003987235414668967
mha4	4	shard128	base	l2_ms	25	0.02662399999999998	0.025599999999999956	0.02867199999999992	1.3047065538460705e-05
mha4	4	shard128	base	ratio	25	0.030566105333026172	0.026402828190676075	0.032527094026230996	1.3070605478013073e-05
mha4	4	shard128	base	notify_ms	25	0.027648000000000117	0.025344000000000033	0.030432000000000015	1.3070605478013073e-05
mha4	4	shard128	base	wait_ms	25	-0.0009279999999999289	-0.0049279999999999324	0.0018560000000000798	0.2878185902998327
mha4	4	shard128	base	barrier_ms	25	0.0018559999999998578	6.399999999995298e-05	0.005888000000000004	0.008367307824832021
mha4	4	shard128	base	loop_ms	25	-0.0010879999999998669	-0.0021120000000000028	0.0011200000000000099	0.9036224569259752
mha4	4	shard128	base	gap_ms	25	0.025055999999999967	0.02156799999999992	0.02640000000000009	1.3070605478013073e-05
mha4	4	shard128	base	closure_us	25	0.0	0.0	0.0	1.0
mha4	128	shard128	base	l1_ms	25	-0.00038399999999993994	-0.0018880000000001118	0.0009919999999998819	0.4236871474529561
mha4	128	shard128	base	l2_ms	25	0.031743999999999994	0.029887999999999915	0.032704000000000066	1.3011819507012243e-05
mha4	128	shard128	base	ratio	25	0.027253360233834734	0.026100556607356884	0.028963088397416126	1.3070605478013073e-05
mha4	128	shard128	base	notify_ms	25	0.025568000000000035	0.022432000000000007	0.028767999999999905	1.3058831246722831e-05
mha4	128	shard128	base	wait_ms	25	0.0042880000000000695	0.0009280000000000399	0.008256000000000263	0.001972813168607626
mha4	128	shard128	base	barrier_ms	25	3.2000000000032e-05	-0.0028479999999999617	0.0032319999999999016	0.7063989674926869
mha4	128	shard128	base	loop_ms	25	0.0012479999999999158	-0.0010239999999999139	0.0049280000000002655	0.08506184662187471
mha4	128	shard128	base	gap_ms	25	0.030944000000000083	0.029856000000000105	0.033088000000000006	1.3070605478013073e-05
mha4	128	shard128	base	closure_us	25	0.0	0.0	0.0	1.0
