model	seq	variant	metric	rounds	median	ci_low	ci_high
gqa2	4	base	l1_ms	25	0.412512	0.41184	0.412672
gqa2	4	base	l2_ms	25	0.441184	0.44032	0.441344
gqa2	4	base	ratio	25	1.0710955710955712	1.0670802636680883	1.072402774530434
gqa2	4	base	notify_ms	25	0.06131200000000003	0.05955200000000005	0.062304000000000026
gqa2	4	base	wait_ms	25	0.024704000000000004	0.023519999999999985	0.02566400000000002
gqa2	4	base	barrier_ms	25	0.04627199999999998	0.04527999999999999	0.04687999999999998
gqa2	4	base	loop_ms	25	-0.010240000000000027	-0.01206400000000002	-0.009216000000000002
gqa2	4	base	gap_ms	25	0.029280000000000028	0.027679999999999982	0.029855999999999994
gqa2	4	base	closure_us	25	0.0	0.0	0.0
gqa2	4	shard128	l1_ms	25	0.41184	0.411648	0.412768
gqa2	4	shard128	l2_ms	25	0.45568	0.455616	0.456704
gqa2	4	shard128	ratio	25	1.1069651741293531	1.1064356435643565	1.1091682785299806
gqa2	4	shard128	notify_ms	25	0.07680000000000003	0.07475199999999999	0.07696000000000003
gqa2	4	shard128	wait_ms	25	0.02348800000000001	0.022527999999999992	0.024575999999999987
gqa2	4	shard128	barrier_ms	25	0.04608000000000001	0.04524800000000001	0.047104000000000035
gqa2	4	shard128	loop_ms	25	-0.009375999999999995	-0.010560000000000014	-0.008415999999999979
gqa2	4	shard128	gap_ms	25	0.044032000000000016	0.04396800000000001	0.045055999999999985
gqa2	4	shard128	closure_us	25	0.0	0.0	0.0
gqa2	128	base	l1_ms	25	0.571552	0.570592	0.572416
gqa2	128	base	l2_ms	25	0.612352	0.611328	0.613376
gqa2	128	base	ratio	25	1.0714285714285714	1.0710406986508425	1.0721140355799987
gqa2	128	base	notify_ms	25	0.06876800000000005	0.068608	0.07065599999999994
gqa2	128	base	wait_ms	25	0.025791999999999926	0.024480000000000057	0.028415999999999997
gqa2	128	base	barrier_ms	25	0.041119999999999934	0.04009600000000002	0.04198400000000002
gqa2	128	base	loop_ms	25	-0.014143999999999934	-0.014464000000000032	-0.012287999999999966
gqa2	128	base	gap_ms	25	0.040959999999999996	0.04060799999999998	0.041119999999999934
gqa2	128	base	closure_us	25	0.0	0.0	0.0
gqa2	128	shard128	l1_ms	25	0.57344	0.572416	0.573696
gqa2	128	shard128	l2_ms	25	0.627776	0.627712	0.628736
