stage	logical_stage	combine	task_ns	count
0	0	0	17416	128
1	1	0	16286	1024
2	2	0	16852	256
3	3	0	16812	256
4	4	0	1097	4096
5	5	0	1295	1024
6	6	0	853	1024
7	7	0	886	1024
8	8	0	20108	4096
9	9	0	27701.5	1024
10	10	0	15656	128
11	11	0	28780.7	3584
12	12	0	29261.3	3584
13	13	0	31056	128
14	14	0	53031.5	1024
15	15	0	13312	128
16	16	0	15986.5	1024
17	17	0	16346	256
18	18	0	15638	256
19	19	0	1123.25	4096
20	20	0	1050	1024
21	21	0	872	1024
22	22	0	849	1024
23	23	0	166424	4096
24	24	0	29889	1024
25	25	0	16384	128
26	26	0	28423	3584
27	27	0	29634.6	3584
28	28	0	31040	128
29	29	0	53915	1024
30	30	0	13312	128
31	31	0	16186	1024
32	32	0	16492	256
33	33	0	16238	256
34	34	0	1091.5	4096
35	35	0	1303	1024
36	36	0	856	1024
37	37	0	878	1024
38	38	0	20102	4096
39	39	0	211062	1024
40	40	0	16384	128
41	41	0	29849.9	3584
42	42	0	30723.4	3584
43	43	0	30952	128
44	44	0	53061.5	1024
45	45	0	12832	128
46	46	0	15810	1024
47	47	0	15716	256
48	48	0	15792	256
49	49	0	1119.25	4096
50	50	0	1034	1024
51	51	0	852	1024
52	52	0	861	1024
53	53	0	20283.5	4096
54	54	0	28028	1024
55	55	0	15360	128
56	56	0	27894	3584
57	57	0	28044.9	3584
58	58	0	2.33842e+06	128
59	59	0	53290.5	1024
