rank	key	estimated	actual	re_solved	residency	flow_ns	simulated_ns
1	32x32x64s4k1;32x16x32s3k1;32x16x64s3k1;32x64x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=2	2	2	0	2	5.12924e+06	5.12924e+06
2	32x32x64s4k1;32x16x32s3k1;32x16x64s3k1;32x64x64s3k1;32x16x64s3k1;32x256x16s3k1;kappa=1;residency=2	2	2	0	2	5.12924e+06	5.12924e+06
3	32x32x64s4k1;32x16x32s3k1;32x16x64s3k1;32x64x64s3k1;32x16x64s3k1;32x256x16s4k1;kappa=1;residency=2	2	2	0	2	5.12924e+06	5.12924e+06
