class	gemm	op	tile_m	tile_n	tile_k	stages	split_k
0	0	l0.s02.proj	32	32	64	4	1
0	7	l0.s19.proj	32	32	64	4	1
0	14	l0.s36.proj	32	32	64	4	1
0	21	l0.s53.proj	32	32	64	4	1
0	28	l0.s70.proj	32	32	64	4	1
0	35	l0.s87.proj	32	32	64	4	1
0	42	l0.s104.proj	32	32	64	4	1
0	49	l0.s121.proj	32	32	64	4	1
0	56	l0.s138.proj	32	32	64	4	1
0	63	l0.s155.proj	32	32	64	4	1
0	70	l0.s172.proj	32	32	64	4	1
0	77	l0.s189.proj	32	32	64	4	1
0	84	l0.s206.proj	32	32	64	4	1
0	91	l0.s223.proj	32	32	64	4	1
0	98	l0.s240.proj	32	32	64	4	1
0	105	l0.s257.proj	32	32	64	4	1
0	112	l0.s274.proj	32	32	64	4	1
0	119	l0.s291.proj	32	32	64	4	1
0	126	l0.s308.proj	32	32	64	4	1
0	133	l0.s325.proj	32	32	64	4	1
0	140	l0.s342.proj	32	32	64	4	1
0	147	l0.s359.proj	32	32	64	4	1
0	154	l0.s376.proj	32	32	64	4	1
0	161	l0.s393.proj	32	32	64	4	1
0	168	l0.s410.proj	32	32	64	4	1
0	175	l0.s427.proj	32	32	64	4	1
0	182	l0.s444.proj	32	32	64	4	1
0	189	l0.s461.proj	32	32	64	4	1
1	1	l0.s04.proj	32	16	32	3	1
1	2	l0.s06.proj	32	16	32	3	1
1	8	l0.s21.proj	32	16	32	3	1
1	9	l0.s23.proj	32	16	32	3	1
1	15	l0.s38.proj	32	16	32	3	1
1	16	l0.s40.proj	32	16	32	3	1
1	22	l0.s55.proj	32	16	32	3	1
1	23	l0.s57.proj	32	16	32	3	1
1	29	l0.s72.proj	32	16	32	3	1
1	30	l0.s74.proj	32	16	32	3	1
1	36	l0.s89.proj	32	16	32	3	1
1	37	l0.s91.proj	32	16	32	3	1
1	43	l0.s106.proj	32	16	32	3	1
1	44	l0.s108.proj	32	16	32	3	1
1	50	l0.s123.proj	32	16	32	3	1
1	51	l0.s125.proj	32	16	32	3	1
1	57	l0.s140.proj	32	16	32	3	1
1	58	l0.s142.proj	32	16	32	3	1
1	64	l0.s157.proj	32	16	32	3	1
1	65	l0.s159.proj	32	16	32	3	1
1	71	l0.s174.proj	32	16	32	3	1
1	72	l0.s176.proj	32	16	32	3	1
1	78	l0.s191.proj	32	16	32	3	1
1	79	l0.s193.proj	32	16	32	3	1
1	85	l0.s208.proj	32	16	32	3	1
1	86	l0.s210.proj	32	16	32	3	1
