model	seq	k	index	candidate	simulated	predicted_ns	batch_us
gqa2	4	1	0	rotate	1	421518.85283	57.384
gqa2	4	1	1	wavefront	1	421518.85283	57.384
gqa2	4	1	2	legacy_grid_stride	0	551735.307169	57.384
gqa2	4	1	3	band	0	551735.307169	57.384
gqa2	4	1	4	balanced	0	687623.03762	57.384
gqa2	4	2	0	rotate	1	421518.85283	50.442
gqa2	4	2	1	wavefront	1	421518.85283	50.442
gqa2	4	2	2	legacy_grid_stride	0	551735.307169	50.442
gqa2	4	2	3	band	0	551735.307169	50.442
gqa2	4	2	4	balanced	0	687623.03762	50.442
gqa2	4	3	0	rotate	1	421518.85283	73.716
gqa2	4	3	1	wavefront	1	421518.85283	73.716
gqa2	4	3	2	legacy_grid_stride	1	644757.635947	73.716
gqa2	4	3	3	band	1	644757.635947	73.716
gqa2	4	3	4	balanced	0	687623.03762	73.716
gqa2	4	4	0	rotate	1	421518.85283	73.371
gqa2	4	4	1	wavefront	1	421518.85283	73.371
gqa2	4	4	2	legacy_grid_stride	1	644757.635947	73.371
gqa2	4	4	3	band	1	644757.635947	73.371
gqa2	4	4	4	balanced	0	687623.03762	73.371
gqa2	4	5	0	rotate	1	421518.85283	85.302
gqa2	4	5	1	wavefront	1	421518.85283	85.302
gqa2	4	5	2	legacy_grid_stride	1	644757.635947	85.302
gqa2	4	5	3	band	1	644757.635947	85.302
gqa2	4	5	4	balanced	1	859900.666384	85.302
gqa2	128	1	0	rotate	1	450989.049976	689.956
gqa2	128	1	1	wavefront	1	450989.049976	689.956
gqa2	128	1	2	legacy_grid_stride	0	567453.889733	689.956
gqa2	128	1	3	band	0	569094.915389	689.956
gqa2	128	1	4	balanced	0	576730.978041	689.956
gqa2	128	2	0	rotate	1	450989.049976	676.169
gqa2	128	2	1	wavefront	1	450989.049976	676.169
gqa2	128	2	2	legacy_grid_stride	0	567453.889733	676.169
gqa2	128	2	3	band	0	569094.915389	676.169
gqa2	128	2	4	balanced	0	576730.978041	676.169
gqa2	128	3	0	rotate	1	450989.049976	860.068
gqa2	128	3	1	wavefront	1	450989.049976	860.068
gqa2	128	3	2	legacy_grid_stride	1	669681.948161	860.068
gqa2	128	3	3	band	0	569094.915389	860.068
gqa2	128	3	4	balanced	0	576730.978041	860.068
gqa2	128	4	0	rotate	1	450989.049976	1041.39
gqa2	128	4	1	wavefront	1	450989.049976	1041.39
gqa2	128	4	2	legacy_grid_stride	1	669681.948161	1041.39
gqa2	128	4	3	band	1	671322.973816	1041.39
gqa2	128	4	4	balanced	0	576730.978041	1041.39
gqa2	128	5	0	rotate	1	450989.049976	1237.508
gqa2	128	5	1	wavefront	1	450989.049976	1237.508
gqa2	128	5	2	legacy_grid_stride	1	669681.948161	1237.508
gqa2	128	5	3	band	1	671322.973816	1237.508
