model	seq	candidate	prepare_us	coarse_us	full_us	coarse_ns	full_ns	binding_cp_ns	semantic_cp_ns	queue_lb_ns	readiness_us	cached_us
gqa2	4	legacy_grid_stride	35.8	9.412	25.022	551735.307169	644757.635947	551735.307169	344114.592952	551658.384091	5.153	9.769
gqa2	4	rotate	35.8	5.46	19.482	344114.592952	421518.85283	344114.592952	344114.592952	61038.4362679	10.178	7.267
gqa2	4	balanced	35.8	8.999	17.908	687623.03762	859900.666384	687623.03762	344114.592952	392543.105409	5.167	8.508
gqa2	4	band	35.8	5.745	13.867	551735.307169	644757.635947	551735.307169	344114.592952	551658.384091	4.237	7.452
gqa2	4	wavefront	35.8	5.462	14.303	344114.592952	421518.85283	344114.592952	344114.592952	344037.669874	4.801	7.465
gqa2	128	legacy_grid_stride	2885.387	86.587	238.024	567453.889733	669681.948161	567453.889733	350473.567366	564223.120475	62.044	133.369
gqa2	128	rotate	2885.387	68.767	193.175	363321.147629	450989.049976	363321.147629	350473.567366	90438.3797309	60.809	128.998
gqa2	128	balanced	2885.387	73.867	203.361	576730.978041	1036642.04095	576730.978041	350473.567366	156615.410483	70.134	141.848
gqa2	128	band	2885.387	70.131	193.003	569094.915389	671322.973816	569094.915389	350473.567366	562582.09482	60.579	123.028
gqa2	128	wavefront	2885.387	67.88	186.876	363321.147629	450989.049976	363321.147629	350473.567366	360090.37837	59.972	122.257
gqa2	512	legacy_grid_stride	37086.509	390.589	922.335	773890.84963	974504.797782	773890.84963	370165.875228	761172.900802	267.267	616.6
gqa2	512	rotate	37086.509	404.554	875.753	569758.107525	755811.899597	569758.107525	370165.875228	299663.852187	292.387	603.947
gqa2	512	balanced	37086.509	343.876	911.527	1396674.32748	2264009.74493	1396674.32748	370165.875228	436718.012015	244.461	721.11
gqa2	512	band	37086.509	311.508	927.132	819737.003871	1026528.01103	819737.003871	370165.875228	717993.413251	237.541	729.011
gqa2	512	wavefront	37086.509	305.022	804.317	569758.107525	755811.899597	569758.107525	370165.875228	557450.415112	253.243	619.037
mha4	4	legacy_grid_stride	90.812	13.794	39.544	1103470.61434	1293589.18031	1103470.61434	688229.185904	1103316.76818	8.52	18.671
mha4	4	rotate	90.812	10.435	32.93	688229.185904	847111.614075	688229.185904	688229.185904	122076.872536	14.978	15.106
mha4	4	balanced	90.812	13.473	26.926	1366498.90795	1697006.75023	1366498.90795	688229.185904	612921.626319	7.328	15.535
mha4	4	band	90.812	8.796	24.315	1103470.61434	1293589.18031	1103470.61434	688229.185904	1103316.76818	7.52	15.264
mha4	4	wavefront	90.812	9.332	35.26	688229.185904	847111.614075	688229.185904	688229.185904	688075.339749	8.848	15.517
mha4	128	legacy_grid_stride	19612.914	250.286	574.046	1145358.87529	1376596.87347	1145358.87529	700947.134732	1138897.33677	160.284	387.777
mha4	128	rotate	19612.914	233.778	549.531	737093.39108	939211.077099	737093.39108	700947.134732	161361.295738	158.374	371.487
mha4	128	balanced	19612.914	199.996	560.581	2248301.63193	3859320.23628	2248301.63193	700947.134732	322065.88119	153.048	434.166
mha4	128	band	19612.914	182.463	528.86	1148640.9266	1379878.92478	1148640.9266	700947.134732	1135717.84957	145.788	381.232
mha4	128	wavefront	19612.914	194.51	515.924	737093.39108	939211.077099	737093.39108	700947.134732	730631.852563	153.554	367.497
mha4	512	legacy_grid_stride	154516.083	1126.803	2180.452	1589586.08255	2086248.73532	1589586.08255	740331.750455	1564970.69772	600.748	1434.453
mha4	512	rotate	154516.083	1043.224	2034.068	1181320.59834	1648862.93895	1181320.59834	740331.750455	647317.385938	655.301	1444.951
mha4	512	balanced	154516.083	849.57	1982.019	6666403.47098	10078464.5212	6666403.47098	740331.750455	1818741.79726	498.562	1531.787
mha4	512	band	154516.083	858.877	2158.522	1681278.39103	2191530.57361	1681278.39103	740331.750455	1484355.31241	515.885	1749.569
mha4	512	wavefront	154516.083	867.513	1909.023	1181320.59834	1648862.93895	1181320.59834	740331.750455	1156705.21351	542.087	1353.068
real	4	legacy_grid_stride	451.339	41.471	107.998	11674910.8818	11865029.4477	11674910.8818	7995594.84006	11674509.8625	30.506	61.86
real	4	rotate	451.339	28.668	90.485	7995594.84006	8154477.26824	7995594.84006	7995594.84006	2589677.25825	31.496	56.377
real	4	balanced	451.339	32.737	88.117	102295054.394	103686547.267	102295054.394	7995594.84006	17145734.4052	27.709	57.949
real	4	band	451.339	27.33	79.84	11674910.8818	11865029.4477	11674910.8818	7995594.84006	11674509.8625	25.891	53.065
real	4	wavefront	451.339	25.754	80.863	7995594.84006	8154477.26824	7995594.84006	7995594.84006	7995193.82082	27.605	55.579
real	128	legacy_grid_stride	112846.289	1035.635	1947.937	12272063.6249	12806477.9991	12272063.6249	8028739.74807	12257092.2522	542.416	1160.376
real	128	rotate	112846.289	742.537	1589.869	8600097.0229	9105391.08491	8600097.0229	8028739.74807	3543047.54921	528.742	1023.692
real	128	balanced	112846.289	681.026	1596.943	26106495.7047	29008178.745	26106495.7047	8028739.74807	9430676.31424	424.571	1105.125
real	128	band	112846.289	696.367	1784.946	12400389.6768	12934804.051	12400389.6768	8028739.74807	12135182.5028	451.727	1311.391
real	128	wavefront	112846.289	693.315	1483.151	8600097.0229	9105391.08491	8600097.0229	8028739.74807	8585125.65018	436.841	1133.171
