model	seq	k	index	candidate	simulated	predicted_ns	batch_us
gqa2	4	1	0	rotate	1	203289.67595	203.634
gqa2	4	1	1	wavefront	1	203289.67595	203.634
gqa2	4	1	2	legacy_grid_stride	0	290581.654673	203.634
gqa2	4	1	3	band	0	290581.654673	203.634
gqa2	4	1	4	balanced	0	360378.428128	203.634
gqa2	4	2	0	rotate	1	203289.67595	187.49
gqa2	4	2	1	wavefront	1	203289.67595	187.49
gqa2	4	2	2	legacy_grid_stride	0	290581.654673	187.49
gqa2	4	2	3	band	0	290581.654673	187.49
gqa2	4	2	4	balanced	0	360378.428128	187.49
gqa2	4	3	0	rotate	1	203289.67595	279.164
gqa2	4	3	1	wavefront	1	203289.67595	279.164
gqa2	4	3	2	legacy_grid_stride	1	310635.060112	279.164
gqa2	4	3	3	band	1	310635.060112	279.164
gqa2	4	3	4	balanced	0	360378.428128	279.164
gqa2	4	4	0	rotate	1	203289.67595	285.665
gqa2	4	4	1	wavefront	1	203289.67595	285.665
gqa2	4	4	2	legacy_grid_stride	1	310635.060112	285.665
gqa2	4	4	3	band	1	310635.060112	285.665
gqa2	4	4	4	balanced	0	360378.428128	285.665
gqa2	4	5	0	rotate	1	203289.67595	322.988
gqa2	4	5	1	wavefront	1	203289.67595	322.988
gqa2	4	5	2	legacy_grid_stride	1	310635.060112	322.988
gqa2	4	5	3	band	1	310635.060112	322.988
gqa2	4	5	4	balanced	1	380431.833566	322.988
gqa2	128	1	0	rotate	1	206818.447962	990.16
gqa2	128	1	1	wavefront	1	206818.447962	990.16
gqa2	128	1	2	legacy_grid_stride	0	295639.065365	990.16
gqa2	128	1	3	band	0	295639.065365	990.16
gqa2	128	1	4	balanced	0	298786.728541	990.16
gqa2	128	2	0	rotate	1	206818.447962	981.932
gqa2	128	2	1	wavefront	1	206818.447962	981.932
gqa2	128	2	2	legacy_grid_stride	0	295639.065365	981.932
gqa2	128	2	3	band	0	295639.065365	981.932
gqa2	128	2	4	balanced	0	298786.728541	981.932
gqa2	128	3	0	rotate	1	206818.447962	1525.563
gqa2	128	3	1	wavefront	1	206818.447962	1525.563
gqa2	128	3	2	legacy_grid_stride	1	315218.173214	1525.563
gqa2	128	3	3	band	1	315218.173214	1525.563
gqa2	128	3	4	balanced	0	298786.728541	1525.563
gqa2	128	4	0	rotate	1	206818.447962	1521.863
gqa2	128	4	1	wavefront	1	206818.447962	1521.863
gqa2	128	4	2	legacy_grid_stride	1	315218.173214	1521.863
gqa2	128	4	3	band	1	315218.173214	1521.863
gqa2	128	4	4	balanced	0	298786.728541	1521.863
gqa2	128	5	0	rotate	1	206818.447962	1735.515
gqa2	128	5	1	wavefront	1	206818.447962	1735.515
gqa2	128	5	2	legacy_grid_stride	1	315218.173214	1735.515
gqa2	128	5	3	band	1	315218.173214	1735.515
gqa2	128	5	4	balanced	1	322259.55276	1735.515
gqa2	512	1	0	rotate	1	273871.581527	3534.33
gqa2	512	1	1	wavefront	1	273871.581527	3534.33
gqa2	512	1	2	legacy_grid_stride	0	367238.11654	3534.33
gqa2	512	1	3	band	0	367238.11654	3534.33
gqa2	512	1	4	balanced	0	639620.795169	3534.33
gqa2	512	2	0	rotate	1	273871.581527	3505.026
gqa2	512	2	1	wavefront	1	273871.581527	3505.026
gqa2	512	2	2	legacy_grid_stride	0	367238.11654	3505.026
gqa2	512	2	3	band	0	367238.11654	3505.026
gqa2	512	2	4	balanced	0	639620.795169	3505.026
gqa2	512	3	0	rotate	1	273871.581527	5593.217
gqa2	512	3	1	wavefront	1	273871.581527	5593.217
gqa2	512	3	2	legacy_grid_stride	1	381223.375945	5593.217
gqa2	512	3	3	band	1	385769.293555	5593.217
gqa2	512	3	4	balanced	0	639620.795169	5593.217
