producer	first	last
0	4	67
1	4	67
2	4	67
3	4	67
4	68	83
5	68	83
6	68	83
7	68	83
8	68	83
9	68	83
10	68	83
11	68	83
12	68	83
13	68	83
14	68	83
15	68	83
16	68	83
17	68	83
18	68	83
19	68	83
20	68	83
21	68	83
22	68	83
23	68	83
24	68	83
25	68	83
26	68	83
27	68	83
28	68	83
29	68	83
30	68	83
31	68	83
32	68	83
33	68	83
34	68	83
35	68	83
36	84	91
37	84	91
38	84	91
39	84	91
40	84	91
41	84	91
42	84	91
43	84	91
44	84	91
45	84	91
46	84	91
47	84	91
48	84	91
49	84	91
50	84	91
51	84	91
52	100	107
53	100	107
54	100	107
55	100	107
56	100	107
57	100	107
58	100	107
59	100	107
60	100	107
61	100	107
62	100	107
63	100	107
64	100	107
65	100	107
66	100	107
67	100	107
68	108	108
69	109	109
70	110	110
71	111	111
72	112	112
73	113	113
74	114	114
75	115	115
76	116	116
77	117	117
78	118	118
79	119	119
80	120	120
81	121	121
82	122	122
83	123	123
84	92	92
85	93	93
86	94	94
87	95	95
88	96	96
89	97	97
90	98	98
91	99	99
92	108	123
93	108	123
94	108	123
95	108	123
96	108	123
97	108	123
98	108	123
99	108	123
100	108	123
101	108	123
102	108	123
103	108	123
104	108	123
105	108	123
106	108	123
107	108	123
108	124	155
109	124	155
110	124	155
111	124	155
112	124	155
113	124	155
114	124	155
115	124	155
116	124	155
117	124	155
118	124	155
119	124	155
120	124	155
121	124	155
122	124	155
123	124	155
124	156	159
124	292	292
125	156	159
125	293	293
126	156	159
126	294	294
127	156	159
127	295	295
128	156	159
128	296	296
129	156	159
129	297	297
130	156	159
130	298	298
131	156	159
131	299	299
132	156	159
132	300	300
133	156	159
133	301	301
134	156	159
134	302	302
135	156	159
135	303	303
136	156	159
136	304	304
137	156	159
137	305	305
138	156	159
138	306	306
139	156	159
139	307	307
140	156	159
140	308	308
141	156	159
141	309	309
142	156	159
142	310	310
143	156	159
143	311	311
144	156	159
144	312	312
145	156	159
145	313	313
146	156	159
146	314	314
147	156	159
147	315	315
148	156	159
148	316	316
149	156	159
149	317	317
150	156	159
150	318	318
151	156	159
151	319	319
152	156	159
152	320	320
153	156	159
153	321	321
154	156	159
154	322	322
155	156	159
155	323	323
156	160	287
157	160	287
158	160	287
159	160	287
160	288	291
161	288	291
162	288	291
163	288	291
164	288	291
165	288	291
166	288	291
167	288	291
168	288	291
169	288	291
170	288	291
171	288	291
172	288	291
173	288	291
174	288	291
175	288	291
176	288	291
177	288	291
178	288	291
179	288	291
180	288	291
181	288	291
182	288	291
183	288	291
184	288	291
185	288	291
186	288	291
187	288	291
188	288	291
189	288	291
190	288	291
191	288	291
192	288	291
193	288	291
194	288	291
195	288	291
196	288	291
197	288	291
198	288	291
199	288	291
200	288	291
201	288	291
202	288	291
203	288	291
204	288	291
205	288	291
206	288	291
207	288	291
208	288	291
209	288	291
210	288	291
211	288	291
212	288	291
213	288	291
214	288	291
215	288	291
216	288	291
217	288	291
218	288	291
219	288	291
220	288	291
221	288	291
222	288	291
223	288	291
224	288	291
225	288	291
226	288	291
227	288	291
228	288	291
229	288	291
230	288	291
231	288	291
232	288	291
233	288	291
234	288	291
235	288	291
236	288	291
237	288	291
238	288	291
239	288	291
240	288	291
241	288	291
242	288	291
243	288	291
244	288	291
245	288	291
246	288	291
247	288	291
248	288	291
249	288	291
250	288	291
251	288	291
252	288	291
253	288	291
254	288	291
255	288	291
256	288	291
257	288	291
258	288	291
259	288	291
260	288	291
261	288	291
262	288	291
263	288	291
264	288	291
265	288	291
266	288	291
267	288	291
268	288	291
269	288	291
270	288	291
271	288	291
272	288	291
273	288	291
274	288	291
275	288	291
276	288	291
277	288	291
278	288	291
279	288	291
280	288	291
281	288	291
282	288	291
283	288	291
284	288	291
285	288	291
286	288	291
287	288	291
288	292	323
289	292	323
290	292	323
291	292	323
292	324	327
292	448	448
293	324	327
293	449	449
294	324	327
294	450	450
295	324	327
295	451	451
296	324	327
296	452	452
297	324	327
297	453	453
298	324	327
298	454	454
299	324	327
299	455	455
300	324	327
300	456	456
301	324	327
301	457	457
302	324	327
302	458	458
303	324	327
303	459	459
304	324	327
304	460	460
305	324	327
305	461	461
306	324	327
306	462	462
307	324	327
307	463	463
308	324	327
308	464	464
309	324	327
309	465	465
310	324	327
310	466	466
311	324	327
311	467	467
312	324	327
312	468	468
313	324	327
313	469	469
314	324	327
314	470	470
315	324	327
315	471	471
316	324	327
316	472	472
317	324	327
317	473	473
318	324	327
318	474	474
319	324	327
319	475	475
320	324	327
320	476	476
321	324	327
321	477	477
322	324	327
322	478	478
323	324	327
323	479	479
324	328	391
325	328	391
326	328	391
327	328	391
328	392	407
329	392	407
330	392	407
331	392	407
332	392	407
333	392	407
334	392	407
335	392	407
336	392	407
337	392	407
338	392	407
339	392	407
340	392	407
341	392	407
342	392	407
343	392	407
344	392	407
345	392	407
346	392	407
347	392	407
348	392	407
349	392	407
350	392	407
351	392	407
352	392	407
353	392	407
354	392	407
355	392	407
356	392	407
357	392	407
358	392	407
359	392	407
360	408	415
361	408	415
362	408	415
363	408	415
364	408	415
365	408	415
366	408	415
367	408	415
368	408	415
369	408	415
370	408	415
371	408	415
372	408	415
373	408	415
374	408	415
375	408	415
376	424	431
377	424	431
378	424	431
379	424	431
380	424	431
381	424	431
382	424	431
383	424	431
384	424	431
385	424	431
386	424	431
387	424	431
388	424	431
389	424	431
390	424	431
391	424	431
392	432	432
393	433	433
394	434	434
395	435	435
396	436	436
397	437	437
398	438	438
399	439	439
400	440	440
401	441	441
402	442	442
403	443	443
404	444	444
405	445	445
406	446	446
407	447	447
408	416	416
409	417	417
410	418	418
411	419	419
412	420	420
413	421	421
414	422	422
415	423	423
416	432	447
417	432	447
418	432	447
419	432	447
420	432	447
421	432	447
422	432	447
423	432	447
424	432	447
425	432	447
426	432	447
427	432	447
428	432	447
429	432	447
430	432	447
431	432	447
432	448	479
433	448	479
434	448	479
435	448	479
436	448	479
437	448	479
438	448	479
439	448	479
440	448	479
441	448	479
442	448	479
443	448	479
444	448	479
445	448	479
446	448	479
447	448	479
448	480	483
448	616	616
449	480	483
449	617	617
450	480	483
450	618	618
451	480	483
451	619	619
452	480	483
452	620	620
453	480	483
453	621	621
454	480	483
454	622	622
455	480	483
455	623	623
456	480	483
456	624	624
457	480	483
457	625	625
458	480	483
458	626	626
459	480	483
459	627	627
460	480	483
460	628	628
461	480	483
461	629	629
462	480	483
462	630	630
463	480	483
463	631	631
464	480	483
464	632	632
465	480	483
465	633	633
466	480	483
466	634	634
467	480	483
467	635	635
468	480	483
468	636	636
469	480	483
469	637	637
470	480	483
470	638	638
471	480	483
471	639	639
472	480	483
472	640	640
473	480	483
473	641	641
474	480	483
474	642	642
475	480	483
475	643	643
476	480	483
476	644	644
477	480	483
477	645	645
478	480	483
478	646	646
479	480	483
479	647	647
480	484	611
481	484	611
482	484	611
483	484	611
484	612	615
485	612	615
486	612	615
487	612	615
488	612	615
489	612	615
490	612	615
491	612	615
492	612	615
493	612	615
494	612	615
495	612	615
496	612	615
497	612	615
498	612	615
499	612	615
500	612	615
501	612	615
502	612	615
503	612	615
504	612	615
505	612	615
506	612	615
507	612	615
508	612	615
509	612	615
510	612	615
511	612	615
512	612	615
513	612	615
514	612	615
515	612	615
516	612	615
517	612	615
518	612	615
519	612	615
520	612	615
521	612	615
522	612	615
523	612	615
524	612	615
525	612	615
526	612	615
527	612	615
528	612	615
529	612	615
530	612	615
531	612	615
532	612	615
533	612	615
534	612	615
535	612	615
536	612	615
537	612	615
538	612	615
539	612	615
540	612	615
541	612	615
542	612	615
543	612	615
544	612	615
545	612	615
546	612	615
547	612	615
548	612	615
549	612	615
550	612	615
551	612	615
552	612	615
553	612	615
554	612	615
555	612	615
556	612	615
557	612	615
558	612	615
559	612	615
560	612	615
561	612	615
562	612	615
563	612	615
564	612	615
565	612	615
566	612	615
567	612	615
568	612	615
569	612	615
570	612	615
571	612	615
572	612	615
573	612	615
574	612	615
575	612	615
576	612	615
577	612	615
578	612	615
579	612	615
580	612	615
581	612	615
582	612	615
583	612	615
584	612	615
585	612	615
586	612	615
587	612	615
588	612	615
589	612	615
590	612	615
591	612	615
592	612	615
593	612	615
594	612	615
595	612	615
596	612	615
597	612	615
598	612	615
599	612	615
600	612	615
601	612	615
602	612	615
603	612	615
604	612	615
605	612	615
606	612	615
607	612	615
608	612	615
609	612	615
610	612	615
611	612	615
612	616	647
613	616	647
614	616	647
615	616	647
