model	seq	arm	n	p0_median_ms	p5_median_ms	ratio	ci_lo	ci_hi	p_wilcoxon
gqa2	4	neither	25	0.357376	0.060416	0.1690	0.1686	0.1698	1.294e-05
gqa2	4	nowait	25	0.422816	0.062464	0.1485	0.1480	0.1501	1.299e-05
gqa2	4	full	25	0.445600	0.293696	0.6582	0.6568	0.6604	1.300e-05
gqa2	4	l1nosync	25	0.445440	0.292864	0.6583	0.6575	0.6590	1.256e-05
gqa2	128	neither	25	0.522240	0.158720	0.3045	0.3039	0.3052	1.261e-05
gqa2	128	nowait	25	0.592000	0.188512	0.3190	0.3178	0.3198	1.306e-05
gqa2	128	full	25	0.615424	0.456704	0.7421	0.7411	0.7433	1.291e-05
gqa2	128	l1nosync	25	0.615424	0.456704	0.7421	0.7420	0.7433	1.265e-05
mha4	4	neither	25	0.717824	0.135168	0.1891	0.1886	0.1896	1.292e-05
mha4	4	nowait	25	0.842752	0.142336	0.1691	0.1685	0.1695	1.305e-05
mha4	4	full	25	0.888832	0.579392	0.6521	0.6504	0.6536	1.307e-05
mha4	4	l1nosync	25	0.887744	0.578560	0.6520	0.6513	0.6530	1.296e-05
mha4	128	neither	25	1.037312	0.286720	0.2794	0.2787	0.2809	1.307e-05
mha4	128	nowait	25	1.209344	0.371712	0.3070	0.3055	0.3090	1.306e-05
mha4	128	full	25	1.230624	0.916224	0.7461	0.7316	0.7490	1.307e-05
mha4	128	l1nosync	25	1.220608	0.908288	0.7491	0.7461	0.7509	1.307e-05
ALL	ALL	neither	100	-	-	0.2240	0.1891	0.2791	3.942e-18	cells=4
ALL	ALL	nowait	100	-	-	0.2301	0.1693	0.3061	3.953e-18	cells=4
ALL	ALL	full	100	-	-	0.6705	0.6598	0.7392	3.951e-18	cells=4
ALL	ALL	l1nosync	100	-	-	0.6720	0.6583	0.7411	3.936e-18	cells=4
