arm	grid	elements	rounds	passing	mismatching
roles	64	256	50	50	0
roles	64	1024	50	50	0
roles	64	4096	50	50	0
roles	128	256	50	50	0
roles	128	1024	50	50	0
roles	128	4096	50	50	0
roles	256	256	50	50	0
roles	256	1024	50	50	0
roles	256	4096	50	50	0
nofence	64	256	50	0	50
nofence	64	1024	50	0	50
nofence	64	4096	50	0	50
nofence	128	256	50	0	50
nofence	128	1024	50	0	50
nofence	128	4096	50	0	50
nofence	256	256	50	0	50
nofence	256	1024	50	0	50
nofence	256	4096	50	0	50
nobarrier	64	256	50	50	0
nobarrier	64	1024	50	50	0
nobarrier	64	4096	50	50	0
nobarrier	128	256	50	50	0
nobarrier	128	1024	50	50	0
nobarrier	128	4096	50	50	0
nobarrier	256	256	50	50	0
nobarrier	256	1024	50	50	0
nobarrier	256	4096	50	50	0
