class	gemm	op	tile_m	tile_n	tile_k	stages	split_k
0	0	serving.s2	16	32	64	16	1
0	4	serving.s10	16	32	64	16	1
0	8	serving.s18	16	32	64	16	1
0	12	serving.s26	16	32	64	16	1
0	16	serving.s34	16	32	64	16	1
0	20	serving.s42	16	32	64	16	1
0	24	serving.s50	16	32	64	16	1
0	28	serving.s58	16	32	64	16	1
0	32	serving.s66	16	32	64	16	1
0	36	serving.s74	16	32	64	16	1
0	40	serving.s82	16	32	64	16	1
0	44	serving.s90	16	32	64	16	1
0	48	serving.s98	16	32	64	16	1
0	52	serving.s106	16	32	64	16	1
0	56	serving.s114	16	32	64	16	1
0	60	serving.s122	16	32	64	16	1
1	1	serving.s5	16	32	128	4	1
2	2	serving.s7	16	128	64	5	1
2	6	serving.s15	16	128	64	5	1
2	10	serving.s23	16	128	64	5	1
2	14	serving.s31	16	128	64	5	1
2	18	serving.s39	16	128	64	5	1
2	22	serving.s47	16	128	64	5	1
2	26	serving.s55	16	128	64	5	1
2	30	serving.s63	16	128	64	5	1
2	34	serving.s71	16	128	64	5	1
2	38	serving.s79	16	128	64	5	1
2	42	serving.s87	16	128	64	5	1
2	46	serving.s95	16	128	64	5	1
2	50	serving.s103	16	128	64	5	1
2	54	serving.s111	16	128	64	5	1
2	58	serving.s119	16	128	64	5	1
2	62	serving.s127	16	128	64	5	1
3	3	serving.s8	16	32	128	4	1
3	7	serving.s16	16	32	128	4	1
3	11	serving.s24	16	32	128	4	1
3	15	serving.s32	16	32	128	4	1
3	19	serving.s40	16	32	128	4	1
3	23	serving.s48	16	32	128	4	1
3	27	serving.s56	16	32	128	4	1
3	31	serving.s64	16	32	128	4	1
3	35	serving.s72	16	32	128	4	1
3	39	serving.s80	16	32	128	4	1
3	43	serving.s88	16	32	128	4	1
3	47	serving.s96	16	32	128	4	1
3	51	serving.s104	16	32	128	4	1
3	55	serving.s112	16	32	128	4	1
3	59	serving.s120	16	32	128	4	1
3	63	serving.s128	16	32	128	4	1
4	5	serving.s13	16	32	128	4	1
4	9	serving.s21	16	32	128	4	1
4	13	serving.s29	16	32	128	4	1
4	17	serving.s37	16	32	128	4	1
4	21	serving.s45	16	32	128	4	1
4	25	serving.s53	16	32	128	4	1
4	29	serving.s61	16	32	128	4	1
4	33	serving.s69	16	32	128	4	1
4	37	serving.s77	16	32	128	4	1
4	41	serving.s85	16	32	128	4	1
4	45	serving.s93	16	32	128	4	1
4	49	serving.s101	16	32	128	4	1
4	53	serving.s109	16	32	128	4	1
4	57	serving.s117	16	32	128	4	1
4	61	serving.s125	16	32	128	4	1
5	64	serving.s130	16	128	128	2	1
