solver	model	seq	phase	count	total_ms
skeleton	r10_seed_smoke.cu.export	1	cache_hit	41764	0
skeleton	r10_seed_smoke.cu.export	1	cache_miss	441	0
skeleton	r10_seed_smoke.cu.export	1	derive	3	411.234
skeleton	r10_seed_smoke.cu.export	1	flow	138	2038.1
skeleton	r10_seed_smoke.cu.export	1	flow_report	2	83.6739
skeleton	r10_seed_smoke.cu.export	1	incremental_prepare	213	0.783246
skeleton	r10_seed_smoke.cu.export	1	instantiate	3	3.46101
skeleton	r10_seed_smoke.cu.export	1	instantiate_and_derive	210	4279.13
skeleton	r10_seed_smoke.cu.export	1	materialize	2	141.324
skeleton	r10_seed_smoke.cu.export	1	megakernel_compile	1	104414
skeleton	r10_seed_smoke.cu.export	1	piece_pricing_and_release	213	46126.7
skeleton	r10_seed_smoke.cu.export	1	prepare_relations	3	10652
skeleton	r10_seed_smoke.cu.export	1	price_cache_hit	57	0
skeleton	r10_seed_smoke.cu.export	1	release_cache_hit	40291	0
skeleton	r10_seed_smoke.cu.export	1	resource_probe	286	556.662
skeleton	r10_seed_smoke.cu.export	1	search_evaluations	69	0
skeleton	r10_seed_smoke.cu.export	1	search_rounds	1	0
skeleton	r10_seed_smoke.cu.export	1	simulate	6	98.7696
skeleton	r10_seed_smoke.cu.export	1	skeleton	2	2295.47
