family	grid	begin	end	total	bijective	dense	acyclic	resident	level_exact	span_bound	status
wavefront	340	33	33	1	1	1	1	1	1	21	PASS
wavefront	340	34	34	1	1	1	1	1	1	21	PASS
wavefront	340	35	35	1	1	1	1	1	1	21	PASS
wavefront	340	36	36	1	1	1	1	1	1	21	PASS
wavefront	340	37	37	1	1	1	1	1	1	21	PASS
wavefront	340	38	38	1	1	1	1	1	1	21	PASS
wavefront	340	39	39	1	1	1	1	1	1	21	PASS
wavefront	340	40	40	1	1	1	1	1	1	21	PASS
wavefront	340	41	41	1	1	1	1	1	1	21	PASS
wavefront	340	42	42	1	1	1	1	1	1	21	PASS
wavefront	340	43	43	1	1	1	1	1	1	21	PASS
wavefront	340	44	44	1	1	1	1	1	1	21	PASS
wavefront	340	45	45	1	1	1	1	1	1	21	PASS
wavefront	340	46	46	1	1	1	1	1	1	21	PASS
wavefront	340	47	47	1	1	1	1	1	1	21	PASS
wavefront	340	48	48	1	1	1	1	1	1	21	PASS
