model	variant	arm	seq	past	round	pass	l1_ms	l2_ms	l05_ms	reg	ctas_per_sm	grid	block	task_smem	occupancy_smem	static_smem	regs_per_sm	smem_per_sm	threads_per_sm	l1_reg	l05_reg	l1_ctas	l2_ctas	min_blocks	warp_size	l05_spill_stores	l05_spill_loads	l1_spill_stores	l1_spill_loads	l2_spill_stores	l2_spill_loads	f40_ctas	f40_binding
gqa2	occ1	full	4	3	0	1	0.405504	0.440320	0.402432	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	0	1	0.402432	0.436224	0.397312	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	1	1	0.403232	0.438272	0.398336	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	1	1	0.402208	0.435200	0.398240	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	2	1	0.402592	0.438272	0.398336	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	2	1	0.402496	0.437248	0.397312	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	3	1	0.402528	0.438272	0.396320	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	3	1	0.402400	0.437152	0.398336	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	4	1	0.401280	0.435200	0.398112	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	4	1	0.402432	0.436224	0.397312	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	5	1	0.401600	0.436224	0.397312	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	5	1	0.401568	0.435200	0.398592	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	6	1	0.401408	0.436224	0.397120	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	6	1	0.404704	0.439296	0.399360	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	7	1	0.402432	0.437248	0.397312	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	7	1	0.401600	0.436224	0.398336	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	8	1	0.406624	0.437248	0.399360	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	8	1	0.405728	0.440288	0.399360	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	9	1	0.403456	0.437248	0.398176	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	9	1	0.401600	0.436160	0.398080	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	10	1	0.405696	0.438272	0.399360	212	2	256	128	24576	24576	0	65536	102400	1536	208	206	2	2	1	32	0	0	0	0	0	0	2	registers
