model	batch	ttft_s	e2e_s	tpot_s	tokens_per_s	source
llama	1	0.024175202939659357	3.97274966200348	0.0038597990802187883	257.75598442404527	vllm/llama/B1/measurements.json
llama	2	0.024665972916409373	4.863472284050658	0.004730015944412755	421.0983183180134	vllm/llama/B2/measurements.json
llama	4	0.04198740795254707	4.382582632009871	0.004243006084122506	934.6087327785435	vllm/llama/B4/measurements.json
llama	8	0.04437419504392892	4.438678314094432	0.004295507447752202	1845.5944360706194	vllm/llama/B8/measurements.json
llama	16	0.05811895604711026	4.940374171012081	0.004772487991168105	3316.3479997393774	vllm/llama/B16/measurements.json
qwen3	1	0.0351656679995358	4.525899613043293	0.004389769252242187	226.25336122102908	vllm/qwen3/B1/measurements.json
qwen3	2	0.035793218994513154	5.093767000944354	0.004944255896334155	402.0600077742687	vllm/qwen3/B2/measurements.json
qwen3	4	0.06014536297880113	5.248572611017153	0.0050717763910443315	780.4026548860513	vllm/qwen3/B4/measurements.json
qwen3	8	0.063141203019768	5.551038968027569	0.005364513944289151	1475.7597716722269	vllm/qwen3/B8/measurements.json
qwen3	16	0.06565501797012985	6.171229843981564	0.005968303837743338	2654.9003058083063	vllm/qwen3/B16/measurements.json
