placement	simulated	makespan_ns	floor_ns	cp_ns	queue_lb_ns	nodes	grid	kappa	grouping_model	status
legacy_grid_stride	1	3199124.04568	2094976	65592	2094976	102400	128	1	projected_events_and_sigma_lifting	ok
rotate	1	3199124.04568	2094976	65592	2094976	102400	128	1	projected_events_and_sigma_lifting	ok
balanced	1	3114434.37155	2094976	65592	2094976	102400	128	1	projected_events_and_sigma_lifting	ok
eft	1	3199124.04568	2094976	65592	2094976	102400	128	1	projected_events_and_sigma_lifting	ok
wavefront	1	3199124.04568	2094976	65592	2094976	102400	128	1	projected_events_and_sigma_lifting	ok
chain	0	2096000	2096000	65592	2096000	102400	128	1	projected_events_and_sigma_lifting	ok
