runtime_stage	logical_stage	combine	tasks	price_task0_ns	active_ctas_per_sm	pricing
0	0	0	128	3913.29696504	1	derived_access_task_instance
1	1	0	256	36473.9431387	1	derived_access_task_instance
2	1	1	64	3417.34743924	1	whole_stage_divided_by_waves
3	2	0	64	36473.9431387	1	derived_access_task_instance
4	2	1	16	900.649363211	1	whole_stage_divided_by_waves
5	3	0	64	36473.9431387	1	derived_access_task_instance
6	3	1	16	900.649363211	1	whole_stage_divided_by_waves
7	4	0	4096	884.919677234	1	derived_access_task_instance
8	5	0	1024	884.919677234	1	derived_access_task_instance
9	6	0	1024	876.565116562	1	derived_access_task_instance
10	7	0	1024	876.565116562	1	derived_access_task_instance
11	8	0	4096	3529.65295732	1	derived_access_task_instance
12	9	0	256	36473.9431387	1	derived_access_task_instance
13	9	1	64	3417.34743924	1	whole_stage_divided_by_waves
14	10	0	128	3913.29696504	1	derived_access_task_instance
15	11	0	896	36473.9431387	1	derived_access_task_instance
16	11	1	224	11806.341026	1	whole_stage_divided_by_waves
17	12	0	896	36473.9431387	1	derived_access_task_instance
18	12	1	224	11806.341026	1	whole_stage_divided_by_waves
19	13	0	128	7168.95011316	1	derived_access_task_instance
20	14	0	256	116405.195119	1	derived_access_task_instance
21	14	1	64	3417.34743924	1	whole_stage_divided_by_waves
22	15	0	128	3913.29696504	1	derived_access_task_instance
23	16	0	256	36473.9431387	1	derived_access_task_instance
24	16	1	64	3417.34743924	1	whole_stage_divided_by_waves
25	17	0	64	36473.9431387	1	derived_access_task_instance
26	17	1	16	900.649363211	1	whole_stage_divided_by_waves
27	18	0	64	36473.9431387	1	derived_access_task_instance
28	18	1	16	900.649363211	1	whole_stage_divided_by_waves
29	19	0	4096	884.919677234	1	derived_access_task_instance
30	20	0	1024	884.919677234	1	derived_access_task_instance
31	21	0	1024	876.565116562	1	derived_access_task_instance
32	22	0	1024	876.565116562	1	derived_access_task_instance
33	23	0	4096	3529.65295732	1	derived_access_task_instance
34	24	0	256	36473.9431387	1	derived_access_task_instance
35	24	1	64	3417.34743924	1	whole_stage_divided_by_waves
36	25	0	128	3913.29696504	1	derived_access_task_instance
37	26	0	896	36473.9431387	1	derived_access_task_instance
38	26	1	224	11806.341026	1	whole_stage_divided_by_waves
39	27	0	896	36473.9431387	1	derived_access_task_instance
40	27	1	224	11806.341026	1	whole_stage_divided_by_waves
41	28	0	128	7168.95011316	1	derived_access_task_instance
42	29	0	256	116405.195119	1	derived_access_task_instance
43	29	1	64	3417.34743924	1	whole_stage_divided_by_waves
44	30	0	128	3913.29696504	1	derived_access_task_instance
45	31	0	256	36473.9431387	1	derived_access_task_instance
46	31	1	64	3417.34743924	1	whole_stage_divided_by_waves
47	32	0	64	36473.9431387	1	derived_access_task_instance
48	32	1	16	900.649363211	1	whole_stage_divided_by_waves
49	33	0	64	36473.9431387	1	derived_access_task_instance
50	33	1	16	900.649363211	1	whole_stage_divided_by_waves
51	34	0	4096	884.919677234	1	derived_access_task_instance
52	35	0	1024	884.919677234	1	derived_access_task_instance
53	36	0	1024	876.565116562	1	derived_access_task_instance
54	37	0	1024	876.565116562	1	derived_access_task_instance
55	38	0	4096	3529.65295732	1	derived_access_task_instance
56	39	0	256	36473.9431387	1	derived_access_task_instance
57	39	1	64	3417.34743924	1	whole_stage_divided_by_waves
58	40	0	128	3913.29696504	1	derived_access_task_instance
59	41	0	896	36473.9431387	1	derived_access_task_instance
60	41	1	224	11806.341026	1	whole_stage_divided_by_waves
61	42	0	896	36473.9431387	1	derived_access_task_instance
62	42	1	224	11806.341026	1	whole_stage_divided_by_waves
63	43	0	128	7168.95011316	1	derived_access_task_instance
64	44	0	256	116405.195119	1	derived_access_task_instance
65	44	1	64	3417.34743924	1	whole_stage_divided_by_waves
66	45	0	128	3913.29696504	1	derived_access_task_instance
67	46	0	256	36473.9431387	1	derived_access_task_instance
68	46	1	64	3417.34743924	1	whole_stage_divided_by_waves
69	47	0	64	36473.9431387	1	derived_access_task_instance
70	47	1	16	900.649363211	1	whole_stage_divided_by_waves
71	48	0	64	36473.9431387	1	derived_access_task_instance
72	48	1	16	900.649363211	1	whole_stage_divided_by_waves
73	49	0	4096	884.919677234	1	derived_access_task_instance
74	50	0	1024	884.919677234	1	derived_access_task_instance
75	51	0	1024	876.565116562	1	derived_access_task_instance
76	52	0	1024	876.565116562	1	derived_access_task_instance
77	53	0	4096	3529.65295732	1	derived_access_task_instance
78	54	0	256	36473.9431387	1	derived_access_task_instance
79	54	1	64	3417.34743924	1	whole_stage_divided_by_waves
80	55	0	128	3913.29696504	1	derived_access_task_instance
81	56	0	896	36473.9431387	1	derived_access_task_instance
82	56	1	224	11806.341026	1	whole_stage_divided_by_waves
83	57	0	896	36473.9431387	1	derived_access_task_instance
84	57	1	224	11806.341026	1	whole_stage_divided_by_waves
85	58	0	128	7168.95011316	1	derived_access_task_instance
86	59	0	256	116405.195119	1	derived_access_task_instance
87	59	1	64	3417.34743924	1	whole_stage_divided_by_waves
