runtime_stage	logical_stage	combine	tasks	price_task0_ns	active_ctas_per_sm	pricing
0	0	0	128	2206.65721255	1	derived_access_task_instance
1	1	0	128	4846.68904691	1	derived_access_task_instance
2	2	0	64	4846.68904691	1	derived_access_task_instance
3	3	0	64	4846.68904691	1	derived_access_task_instance
4	4	0	512	859.172515037	1	derived_access_task_instance
5	5	0	256	859.172515037	1	derived_access_task_instance
6	6	0	256	855.967386804	1	derived_access_task_instance
7	7	0	256	855.967386804	1	derived_access_task_instance
8	8	0	512	2118.70846894	1	derived_access_task_instance
9	9	0	128	4846.68904691	1	derived_access_task_instance
10	10	0	128	2206.65721255	1	derived_access_task_instance
11	11	0	256	4846.68904691	1	derived_access_task_instance
12	12	0	256	4846.68904691	1	derived_access_task_instance
13	13	0	128	1041.8648243	1	derived_access_task_instance
14	14	0	128	7539.78145384	1	derived_access_task_instance
15	15	0	128	2206.65721255	1	derived_access_task_instance
16	16	0	128	4846.68904691	1	derived_access_task_instance
17	17	0	64	4846.68904691	1	derived_access_task_instance
18	18	0	64	4846.68904691	1	derived_access_task_instance
19	19	0	512	859.172515037	1	derived_access_task_instance
20	20	0	256	859.172515037	1	derived_access_task_instance
21	21	0	256	855.967386804	1	derived_access_task_instance
22	22	0	256	855.967386804	1	derived_access_task_instance
23	23	0	512	2118.70846894	1	derived_access_task_instance
24	24	0	128	4846.68904691	1	derived_access_task_instance
25	25	0	128	2206.65721255	1	derived_access_task_instance
26	26	0	256	4846.68904691	1	derived_access_task_instance
27	27	0	256	4846.68904691	1	derived_access_task_instance
28	28	0	128	1041.8648243	1	derived_access_task_instance
29	29	0	128	7539.78145384	1	derived_access_task_instance
