model	seq	past	producer	consumer	wait_sum	fanout_sum	count	volume	old_wait_sum	changed
gqa2	4	0	1	4	16	16	16	128	16	0
gqa2	4	0	2	5	8	8	8	128	8	0
gqa2	4	0	5	6	8	8	8	128	8	0
gqa2	4	0	3	7	8	8	8	128	8	0
gqa2	4	0	4	8	16	16	16	128	16	0
gqa2	4	0	6	8	64	64	16	128	64	0
gqa2	4	0	7	8	64	64	16	128	64	0
gqa2	4	0	8	9	64	64	4	128	2048	1
gqa2	4	0	9	9	4	4	4	16384	4	0
gqa2	4	0	9	10	16	16	4	128	16	0
gqa2	4	0	10	11	32	32	8	512	1024	1
gqa2	4	0	10	12	32	32	8	512	1024	1
gqa2	4	0	11	13	32	32	4	128	32	0
gqa2	4	0	12	13	32	32	4	128	32	0
gqa2	4	0	13	14	16	16	4	1024	512	1
gqa2	4	0	14	14	4	4	4	16384	4	0
gqa2	4	0	9	14	4	4	4	16384	4	0
gqa2	4	0	14	15	16	16	4	128	16	0
gqa2	4	0	15	16	16	16	4	512	512	1
gqa2	4	0	15	17	8	8	2	512	256	1
gqa2	4	0	15	18	8	8	2	512	256	1
gqa2	4	0	16	19	16	16	16	128	16	0
gqa2	4	0	17	20	8	8	8	128	8	0
gqa2	4	0	20	21	8	8	8	128	8	0
gqa2	4	0	18	22	8	8	8	128	8	0
gqa2	4	0	19	23	16	16	16	128	16	0
gqa2	4	0	21	23	64	64	16	128	64	0
gqa2	4	0	22	23	64	64	16	128	64	0
gqa2	4	0	23	24	64	64	4	128	2048	1
gqa2	4	0	24	24	4	4	4	16384	4	0
gqa2	4	0	14	24	4	4	4	16384	4	0
gqa2	4	0	24	25	16	16	4	128	16	0
gqa2	4	0	25	26	32	32	8	512	1024	1
gqa2	4	0	25	27	32	32	8	512	1024	1
gqa2	4	0	26	28	32	32	4	128	32	0
gqa2	4	0	27	28	32	32	4	128	32	0
gqa2	4	0	28	29	16	16	4	1024	512	1
gqa2	4	0	29	29	4	4	4	16384	4	0
gqa2	4	0	24	29	4	4	4	16384	4	0
gqa2	128	0	0	1	512	512	4	512	512	0
gqa2	128	0	0	2	256	256	2	512	256	0
gqa2	128	0	0	3	256	256	2	512	256	0
gqa2	128	0	1	4	512	512	512	128	512	0
gqa2	128	0	2	5	256	256	256	128	256	0
gqa2	128	0	5	6	256	256	256	128	256	0
gqa2	128	0	3	7	256	256	256	128	256	0
gqa2	128	0	4	8	512	512	512	128	512	0
gqa2	128	0	6	8	65536	65536	512	128	65536	0
gqa2	128	0	7	8	65536	65536	512	128	65536	0
gqa2	128	0	8	9	2048	2048	4	128	2048	0
gqa2	128	0	9	9	4	4	4	16384	4	0
gqa2	128	0	9	10	512	512	128	128	512	0
gqa2	128	0	10	11	1024	1024	8	512	1024	0
gqa2	128	0	10	12	1024	1024	8	512	1024	0
gqa2	128	0	11	13	1024	1024	128	128	1024	0
gqa2	128	0	12	13	1024	1024	128	128	1024	0
gqa2	128	0	13	14	512	512	4	1024	512	0
gqa2	128	0	14	14	4	4	4	16384	4	0
gqa2	128	0	9	14	4	4	4	16384	4	0
gqa2	128	0	14	15	512	512	128	128	512	0
gqa2	128	0	15	16	512	512	4	512	512	0
gqa2	128	0	15	17	256	256	2	512	256	0
gqa2	128	0	15	18	256	256	2	512	256	0
gqa2	128	0	16	19	512	512	512	128	512	0
gqa2	128	0	17	20	256	256	256	128	256	0
gqa2	128	0	20	21	256	256	256	128	256	0
gqa2	128	0	18	22	256	256	256	128	256	0
gqa2	128	0	19	23	512	512	512	128	512	0
gqa2	128	0	21	23	65536	65536	512	128	65536	0
gqa2	128	0	22	23	65536	65536	512	128	65536	0
gqa2	128	0	23	24	2048	2048	4	128	2048	0
gqa2	128	0	24	24	4	4	4	16384	4	0
gqa2	128	0	14	24	4	4	4	16384	4	0
gqa2	128	0	24	25	512	512	128	128	512	0
gqa2	128	0	25	26	1024	1024	8	512	1024	0
gqa2	128	0	25	27	1024	1024	8	512	1024	0
gqa2	128	0	26	28	1024	1024	128	128	1024	0
gqa2	128	0	27	28	1024	1024	128	128	1024	0
gqa2	128	0	28	29	512	512	4	1024	512	0
gqa2	128	0	29	29	4	4	4	16384	4	0
gqa2	128	0	24	29	4	4	4	16384	4	0
gqa2	512	0	0	1	2048	2048	16	512	2048	0
gqa2	512	0	0	2	1024	1024	8	512	1024	0
gqa2	512	0	0	3	1024	1024	8	512	1024	0
gqa2	512	0	1	4	2048	2048	2048	128	2048	0
gqa2	512	0	2	5	1024	1024	1024	128	1024	0
gqa2	512	0	5	6	1024	1024	1024	128	1024	0
gqa2	512	0	3	7	1024	1024	1024	128	1024	0
gqa2	512	0	4	8	2048	2048	2048	128	2048	0
gqa2	512	0	6	8	1048576	1048576	2048	128	1048576	0
gqa2	512	0	7	8	1048576	1048576	2048	128	1048576	0
gqa2	512	0	8	9	8192	8192	16	128	8192	0
gqa2	512	0	9	9	16	16	16	16384	16	0
gqa2	512	0	9	10	2048	2048	512	128	2048	0
gqa2	512	0	10	11	4096	4096	32	512	4096	0
gqa2	512	0	10	12	4096	4096	32	512	4096	0
gqa2	512	0	11	13	4096	4096	512	128	4096	0
gqa2	512	0	12	13	4096	4096	512	128	4096	0
gqa2	512	0	13	14	2048	2048	16	1024	2048	0
gqa2	512	0	14	14	16	16	16	16384	16	0
gqa2	512	0	9	14	16	16	16	16384	16	0
gqa2	512	0	14	15	2048	2048	512	128	2048	0
gqa2	512	0	15	16	2048	2048	16	512	2048	0
gqa2	512	0	15	17	1024	1024	8	512	1024	0
gqa2	512	0	15	18	1024	1024	8	512	1024	0
gqa2	512	0	16	19	2048	2048	2048	128	2048	0
gqa2	512	0	17	20	1024	1024	1024	128	1024	0
gqa2	512	0	20	21	1024	1024	1024	128	1024	0
gqa2	512	0	18	22	1024	1024	1024	128	1024	0
gqa2	512	0	19	23	2048	2048	2048	128	2048	0
gqa2	512	0	21	23	1048576	1048576	2048	128	1048576	0
gqa2	512	0	22	23	1048576	1048576	2048	128	1048576	0
gqa2	512	0	23	24	8192	8192	16	128	8192	0
gqa2	512	0	24	24	16	16	16	16384	16	0
gqa2	512	0	14	24	16	16	16	16384	16	0
gqa2	512	0	24	25	2048	2048	512	128	2048	0
gqa2	512	0	25	26	4096	4096	32	512	4096	0
gqa2	512	0	25	27	4096	4096	32	512	4096	0
gqa2	512	0	26	28	4096	4096	512	128	4096	0
gqa2	512	0	27	28	4096	4096	512	128	4096	0
gqa2	512	0	28	29	2048	2048	16	1024	2048	0
gqa2	512	0	29	29	16	16	16	16384	16	0
gqa2	512	0	24	29	16	16	16	16384	16	0
gqa2	2048	0	0	1	8192	8192	64	512	8192	0
gqa2	2048	0	0	2	4096	4096	32	512	4096	0
gqa2	2048	0	0	3	4096	4096	32	512	4096	0
gqa2	2048	0	1	4	8192	8192	8192	128	8192	0
gqa2	2048	0	2	5	4096	4096	4096	128	4096	0
gqa2	2048	0	5	6	4096	4096	4096	128	4096	0
gqa2	2048	0	3	7	4096	4096	4096	128	4096	0
gqa2	2048	0	4	8	8192	8192	8192	128	8192	0
gqa2	2048	0	6	8	16777216	16777216	8192	128	16777216	0
gqa2	2048	0	7	8	16777216	16777216	8192	128	16777216	0
gqa2	2048	0	8	9	32768	32768	64	128	32768	0
gqa2	2048	0	9	9	64	64	64	16384	64	0
gqa2	2048	0	9	10	8192	8192	2048	128	8192	0
gqa2	2048	0	10	11	16384	16384	128	512	16384	0
gqa2	2048	0	10	12	16384	16384	128	512	16384	0
gqa2	2048	0	11	13	16384	16384	2048	128	16384	0
gqa2	2048	0	12	13	16384	16384	2048	128	16384	0
gqa2	2048	0	13	14	8192	8192	64	1024	8192	0
gqa2	2048	0	14	14	64	64	64	16384	64	0
gqa2	2048	0	9	14	64	64	64	16384	64	0
gqa2	2048	0	14	15	8192	8192	2048	128	8192	0
gqa2	2048	0	15	16	8192	8192	64	512	8192	0
