model	src	dst	seq	past	old_wait_sum	wait_sum	fanout_sum
llama	rmsnorm1	wq	1	0	32	32	32
llama	rmsnorm1	wq	1	3	32	32	32
llama	rmsnorm1	wq	1	512	32	32	32
llama	rmsnorm1	wq	4	0	32	32	32
llama	rmsnorm1	wq	4	3	32	32	32
llama	rmsnorm1	wq	4	512	32	32	32
llama	rmsnorm1	wq	128	0	32	32	32
llama	rmsnorm1	wq	128	3	32	32	32
llama	rmsnorm1	wq	128	512	32	32	32
llama	rmsnorm1	wq	512	0	128	128	128
llama	rmsnorm1	wq	512	3	128	128	128
llama	rmsnorm1	wq	512	512	128	128	128
llama	rmsnorm1	wq	2048	0	512	512	512
llama	rmsnorm1	wq	2048	3	512	512	512
llama	rmsnorm1	wq	2048	512	512	512	512
llama	rmsnorm1	wk	1	0	8	8	8
llama	rmsnorm1	wk	1	3	8	8	8
llama	rmsnorm1	wk	1	512	8	8	8
llama	rmsnorm1	wk	4	0	8	8	8
llama	rmsnorm1	wk	4	3	8	8	8
llama	rmsnorm1	wk	4	512	8	8	8
llama	rmsnorm1	wk	128	0	8	8	8
llama	rmsnorm1	wk	128	3	8	8	8
llama	rmsnorm1	wk	128	512	8	8	8
llama	rmsnorm1	wk	512	0	32	32	32
llama	rmsnorm1	wk	512	3	32	32	32
llama	rmsnorm1	wk	512	512	32	32	32
llama	rmsnorm1	wk	2048	0	128	128	128
llama	rmsnorm1	wk	2048	3	128	128	128
llama	rmsnorm1	wk	2048	512	128	128	128
llama	rmsnorm1	wv	1	0	8	8	8
llama	rmsnorm1	wv	1	3	8	8	8
llama	rmsnorm1	wv	1	512	8	8	8
llama	rmsnorm1	wv	4	0	8	8	8
llama	rmsnorm1	wv	4	3	8	8	8
llama	rmsnorm1	wv	4	512	8	8	8
llama	rmsnorm1	wv	128	0	8	8	8
llama	rmsnorm1	wv	128	3	8	8	8
llama	rmsnorm1	wv	128	512	8	8	8
llama	rmsnorm1	wv	512	0	32	32	32
llama	rmsnorm1	wv	512	3	32	32	32
llama	rmsnorm1	wv	512	512	32	32	32
llama	rmsnorm1	wv	2048	0	128	128	128
llama	rmsnorm1	wv	2048	3	128	128	128
llama	rmsnorm1	wv	2048	512	128	128	128
llama	wq	rope_q	1	0	32	32	32
llama	wq	rope_q	1	3	32	32	32
llama	wq	rope_q	1	512	32	32	32
llama	wq	rope_q	4	0	32	32	32
llama	wq	rope_q	4	3	32	32	32
