node	buffer	target	shape	elements	different	mismatch	max_abs	gpu389	cpu389
linear	2	aten.linear.default	(1, 4, 2048)	8192	1	0	0.0078125	0.7421875	0.7421875
linear_1	4	aten.linear.default	(1, 4, 512)	2048	1	0	1.1920928955078125e-07	0.00034332275390625	0.00034332275390625
linear_2	6	aten.linear.default	(1, 4, 512)	2048	1	0	0.001953125	-0.0498046875	-0.0498046875
cat	9	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	-0.2021484375	-0.2021484375
cat_1	11	aten.cat.default	(1, 8, 7, 64)	3584	1	0	0.001953125	0.291015625	0.291015625
matmul_1	13	aten.matmul.default	(1, 32, 4, 64)	8192	3	0	0.001953125	0.0303955078125	0.0303955078125
linear_3	15	aten.linear.default	(1, 4, 2048)	8192	351	0	0.00390625	-0.23828125	-0.2392578125
add_2	17	aten.add.Tensor	(1, 4, 2048)	8192	55	0	0.0078125	-1.796875	-1.8046875
linear_4	20	aten.linear.default	(1, 4, 8192)	32768	15	0	0.0078125	0.185546875	0.185546875
linear_5	22	aten.linear.default	(1, 4, 8192)	32768	8	0	0.0009765625	0.65625	0.65625
mul	23	aten.mul.Tensor	(1, 4, 8192)	32768	22	0	0.00390625	0.06640625	0.06640625
linear_6	25	aten.linear.default	(1, 4, 2048)	8192	357	0	0.001953125	0.00616455078125	0.00616455078125
add_3	26	aten.add.Tensor	(1, 4, 2048)	8192	88	0	0.0078125	-1.7890625	-1.796875
linear_7	29	aten.linear.default	(1, 4, 2048)	8192	3	0	0.0001220703125	0.52734375	0.52734375
linear_8	31	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	-0.2373046875	-0.2373046875
linear_9	33	aten.linear.default	(1, 4, 512)	2048	1	0	0.0001220703125	-0.46484375	-0.46484375
cat_2	36	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	0.443359375	0.443359375
cat_3	38	aten.cat.default	(1, 8, 7, 64)	3584	1	0	0.0001220703125	-0.8203125	-0.8203125
