wait_index	producer	group	event_index
349	15	200	878
350	15	201	879
351	15	202	880
352	15	203	881
353	22	0	1482
354	22	1	1483
355	22	2	1484
356	22	3	1485
357	28	4294967295	1872
358	37	216	2288
359	37	217	2289
360	37	218	2290
361	37	219	2291
362	44	0	2876
363	44	1	2877
364	44	2	2878
365	44	3	2879
366	50	4294967295	3266
367	59	232	3698
368	59	233	3699
369	59	234	3700
370	59	235	3701
371	66	0	4270
372	66	1	4271
373	66	2	4272
374	66	3	4273
375	74	2	4679
376	81	248	5108
377	81	249	5109
378	81	250	5110
379	81	251	5111
380	0	0	88
381	0	1	89
382	0	2	90
383	0	3	91
384	6	4294967295	478
385	15	204	882
386	15	205	883
387	15	206	884
388	15	207	885
389	22	0	1482
390	22	1	1483
391	22	2	1484
392	22	3	1485
393	28	4294967295	1872
394	37	220	2292
395	37	221	2293
396	37	222	2294
397	37	223	2295
398	44	0	2876
399	44	1	2877
400	44	2	2878
401	44	3	2879
402	50	4294967295	3266
403	59	236	3702
404	59	237	3703
405	59	238	3704
406	59	239	3705
407	66	0	4270
408	66	1	4271
409	66	2	4272
410	66	3	4273
411	74	3	4680
412	81	252	5112
413	81	253	5113
414	81	254	5114
415	81	255	5115
416	0	0	88
417	0	1	89
418	0	2	90
419	0	3	91
420	6	4294967295	478
421	15	208	886
422	15	209	887
423	15	210	888
424	15	211	889
425	22	0	1482
426	22	1	1483
427	22	2	1484
428	22	3	1485
429	28	4294967295	1872
430	37	224	2296
431	37	225	2297
432	37	226	2298
433	37	227	2299
434	44	0	2876
435	44	1	2877
436	44	2	2878
437	44	3	2879
438	52	0	3283
439	59	240	3706
440	59	241	3707
441	59	242	3708
442	59	243	3709
443	66	0	4270
444	66	1	4271
445	66	2	4272
446	66	3	4273
447	74	4	4681
448	80	0	4856
449	80	1	4857
450	80	2	4858
451	80	3	4859
452	0	0	88
453	0	1	89
454	0	2	90
455	0	3	91
456	6	4294967295	478
457	15	212	890
458	15	213	891
459	15	214	892
460	15	215	893
461	22	0	1482
462	22	1	1483
463	22	2	1484
464	22	3	1485
465	28	4294967295	1872
466	37	228	2300
467	37	229	2301
468	37	230	2302
469	37	231	2303
470	44	0	2876
471	44	1	2877
472	44	2	2878
473	44	3	2879
474	52	1	3284
475	59	244	3710
476	59	245	3711
477	59	246	3712
478	59	247	3713
479	66	0	4270
480	66	1	4271
481	66	2	4272
482	66	3	4273
483	74	5	4682
484	80	0	4856
485	80	1	4857
486	80	2	4858
487	80	3	4859
488	0	0	88
489	0	1	89
490	0	2	90
491	0	3	91
492	6	4294967295	478
493	15	216	894
494	15	217	895
495	15	218	896
496	15	219	897
497	22	0	1482
498	22	1	1483
499	22	2	1484
500	22	3	1485
501	28	4294967295	1872
502	37	232	2304
503	37	233	2305
504	37	234	2306
505	37	235	2307
506	44	0	2876
507	44	1	2877
508	44	2	2878
509	44	3	2879
510	52	2	3285
511	59	248	3714
512	59	249	3715
513	59	250	3716
514	59	251	3717
515	66	0	4270
516	66	1	4271
517	66	2	4272
518	66	3	4273
519	74	6	4683
520	80	0	4856
521	80	1	4857
522	80	2	4858
523	80	3	4859
524	0	0	88
525	0	1	89
526	0	2	90
527	0	3	91
528	6	4294967295	478
529	15	220	898
530	15	221	899
531	15	222	900
532	15	223	901
533	22	0	1482
534	22	1	1483
535	22	2	1484
536	22	3	1485
537	28	4294967295	1872
538	37	236	2308
539	37	237	2309
540	37	238	2310
541	37	239	2311
542	44	0	2876
543	44	1	2877
544	44	2	2878
545	44	3	2879
546	52	3	3286
547	59	252	3718
548	59	253	3719
549	59	254	3720
550	59	255	3721
551	66	0	4270
552	66	1	4271
553	66	2	4272
554	66	3	4273
555	74	7	4684
556	80	0	4856
557	80	1	4857
558	80	2	4858
559	80	3	4859
560	0	0	88
561	0	1	89
562	0	2	90
563	0	3	91
564	6	4294967295	478
565	15	224	902
566	15	225	903
567	15	226	904
568	15	227	905
569	22	0	1482
570	22	1	1483
571	22	2	1484
572	22	3	1485
573	30	0	1889
574	37	240	2312
575	37	241	2313
576	37	242	2314
577	37	243	2315
578	44	0	2876
579	44	1	2877
580	44	2	2878
581	44	3	2879
582	52	4	3287
583	58	0	3462
584	58	1	3463
585	58	2	3464
586	58	3	3465
587	66	0	4270
588	66	1	4271
589	66	2	4272
590	66	3	4273
591	74	8	4685
592	80	0	4856
593	80	1	4857
594	80	2	4858
595	80	3	4859
596	0	0	88
597	0	1	89
598	0	2	90
599	0	3	91
600	6	4294967295	478
601	15	228	906
602	15	229	907
603	15	230	908
604	15	231	909
605	22	0	1482
606	22	1	1483
607	22	2	1484
608	22	3	1485
609	30	1	1890
610	37	244	2316
611	37	245	2317
612	37	246	2318
613	37	247	2319
614	44	0	2876
615	44	1	2877
616	44	2	2878
617	44	3	2879
618	52	5	3288
619	58	0	3462
620	58	1	3463
621	58	2	3464
622	58	3	3465
623	66	0	4270
624	66	1	4271
625	66	2	4272
626	66	3	4273
627	74	9	4686
628	80	0	4856
629	80	1	4857
630	80	2	4858
631	80	3	4859
632	0	0	88
633	0	1	89
634	0	2	90
635	0	3	91
636	6	4294967295	478
637	15	232	910
638	15	233	911
639	15	234	912
640	15	235	913
641	22	0	1482
642	22	1	1483
643	22	2	1484
644	22	3	1485
645	30	2	1891
646	37	248	2320
647	37	249	2321
648	37	250	2322
649	37	251	2323
650	44	0	2876
651	44	1	2877
652	44	2	2878
653	44	3	2879
654	52	6	3289
655	58	0	3462
656	58	1	3463
657	58	2	3464
658	58	3	3465
659	66	0	4270
660	66	1	4271
661	66	2	4272
662	66	3	4273
663	74	10	4687
664	80	0	4856
665	80	1	4857
666	80	2	4858
667	80	3	4859
668	0	0	88
669	0	1	89
670	0	2	90
671	0	3	91
672	6	4294967295	478
673	15	236	914
674	15	237	915
675	15	238	916
676	15	239	917
677	22	0	1482
678	22	1	1483
679	22	2	1484
680	22	3	1485
681	30	3	1892
682	37	252	2324
683	37	253	2325
684	37	254	2326
685	37	255	2327
686	44	0	2876
687	44	1	2877
688	44	2	2878
689	44	3	2879
690	52	7	3290
691	58	0	3462
692	58	1	3463
693	58	2	3464
694	58	3	3465
695	66	0	4270
696	66	1	4271
697	66	2	4272
698	66	3	4273
699	74	11	4688
700	80	0	4856
701	80	1	4857
702	80	2	4858
703	80	3	4859
704	0	0	88
705	0	1	89
706	0	2	90
707	0	3	91
708	8	0	495
709	15	240	918
710	15	241	919
711	15	242	920
712	15	243	921
713	22	0	1482
714	22	1	1483
715	22	2	1484
716	22	3	1485
717	30	4	1893
718	36	0	2068
719	36	1	2069
720	36	2	2070
721	36	3	2071
722	44	0	2876
723	44	1	2877
724	44	2	2878
725	44	3	2879
726	52	8	3291
727	58	0	3462
728	58	1	3463
729	58	2	3464
730	58	3	3465
731	66	0	4270
732	66	1	4271
733	66	2	4272
734	66	3	4273
735	74	12	4689
736	80	0	4856
737	80	1	4857
738	80	2	4858
739	80	3	4859
740	0	0	88
741	0	1	89
742	0	2	90
743	0	3	91
744	8	1	496
745	15	244	922
746	15	245	923
747	15	246	924
748	15	247	925
749	22	0	1482
750	22	1	1483
751	22	2	1484
752	22	3	1485
753	30	5	1894
754	36	0	2068
755	36	1	2069
756	36	2	2070
757	36	3	2071
758	44	0	2876
759	44	1	2877
760	44	2	2878
761	44	3	2879
762	52	9	3292
763	58	0	3462
764	58	1	3463
765	58	2	3464
766	58	3	3465
767	66	0	4270
