seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	3	1	1	72	584	1057	72
4	3	1	1	72	1648	4008	72
128	3	1	1	72	48272	76004	220
512	3	1	1	72	193088	276520	780
2048	3	1	1	72	772352	1078432	3036
