seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	3	1	1	72	456	673	72
4	3	1	1	72	1136	2472	72
128	3	1	1	72	31888	51524	156
512	3	1	1	72	127552	178600	524
2048	3	1	1	72	510208	686752	2012
