seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	3	1	1	72	392	481	72
4	3	1	1	72	880	1704	72
128	3	1	1	72	23696	39284	124
512	3	1	1	72	94784	129640	396
2048	3	1	1	72	379136	490912	1500
