seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	3	1	1	36	258	501	36
4	3	1	1	36	776	1958	36
128	3	1	1	36	22848	37492	106
512	3	1	1	36	91392	138772	370
2048	3	1	1	36	365568	542788	1438
