candidate	placement	status	floor_ns	cp_ns	queue_lb_ns	predicted_ns	grid	kappa
32x16x64s2split16kappa1r1	wavefront	ok	255135	92515.8	254827	545118	128	1
32x16x64s2split16kappa1r1	eft	ok	263714	92515.8	261136	556886	128	1
32x16x64s2split16kappa1r1	rotate	ok	264521	92515.8	223350	596334	128	1
32x16x64s2split16kappa1r1	legacy_grid_stride	ok	271382	92515.8	271074	610252	128	1
32x16x64s2split16kappa1r1	chain	ok	283333	92515.8	225341	590872	128	1
32x16x64s2split16kappa1r1	balanced	ok	2.31234e+06	92515.8	332919	3.72329e+06	128	1
32x16x64s2split16kappa1r2	eft	ok	161489	100412	161489	401450	256	1
32x16x64s2split16kappa1r2	wavefront	ok	161489	100412	160873	406391	256	1
32x16x64s2split16kappa1r2	rotate	ok	173413	100412	116993	455849	256	1
32x16x64s2split16kappa1r2	legacy_grid_stride	ok	183890	100412	183275	479795	256	1
32x16x64s2split16kappa1r2	chain	ok	186212	100412	120012	434155	256	1
32x16x64s2split16kappa1r2	balanced	ok	2.24777e+06	100412	254408	3.65175e+06	256	1
32x16x64s2split16kappa1r3	wavefront	ok	152536	109655	151613	393787	384	1
32x16x64s2split16kappa1r3	eft	ok	156101	109655	156101	387468	384	1
32x16x64s2split16kappa1r3	rotate	ok	165839	109655	85447.8	425602	384	1
32x16x64s2split16kappa1r3	chain	ok	180221	109655	84420.4	426492	384	1
32x16x64s2split16kappa1r3	legacy_grid_stride	ok	199377	109655	198454	495282	384	1
32x16x64s2split16kappa1r3	balanced	ok	2.08734e+06	109655	268046	3.31706e+06	384	1
32x16x64s2split16kappa1r4	eft	ok	137813	118899	137492	356649	512	1
32x16x64s2split16kappa1r4	wavefront	ok	141121	118899	139890	368837	512	1
32x16x64s2split16kappa1r4	rotate	ok	151263	118899	68292.8	407274	512	1
32x16x64s2split16kappa1r4	chain	ok	166408	118899	68165.7	396613	512	1
32x16x64s2split16kappa1r4	legacy_grid_stride	ok	180454	118899	179223	463470	512	1
32x16x64s2split16kappa1r4	balanced	ok	2.03907e+06	118899	251003	3.18229e+06	512	1
32x16x64s2split16kappa1r5	eft	ok	147723	128142	147723	366379	640	1
32x16x64s2split16kappa1r5	rotate	ok	147723	128142	62957.3	367692	640	1
32x16x64s2split16kappa1r5	wavefront	ok	151416	128142	149878	379132	640	1
32x16x64s2split16kappa1r5	chain	ok	168873	128142	58118.8	397886	640	1
32x16x64s2split16kappa1r5	legacy_grid_stride	ok	194095	128142	192557	477111	640	1
32x16x64s2split16kappa1r5	balanced	ok	2.17066e+06	128142	264619	3.27049e+06	640	1
32x16x64s2split16kappa2r1	wavefront	ok	255135	92515.8	254827	549415	128	2
32x16x64s2split16kappa2r1	eft	ok	263714	92515.8	261136	575760	128	2
32x16x64s2split16kappa2r1	rotate	ok	264521	92515.8	223350	596334	128	2
32x16x64s2split16kappa2r1	legacy_grid_stride	ok	271382	92515.8	271074	625903	128	2
32x16x64s2split16kappa2r1	chain	ok	283333	92515.8	225341	605842	128	2
32x16x64s2split16kappa2r1	balanced	ok	2.31234e+06	92515.8	332919	3.88069e+06	128	2
32x16x64s2split16kappa2r2	eft	ok	161489	100412	161489	406391	256	2
32x16x64s2split16kappa2r2	wavefront	ok	161489	100412	160873	406391	256	2
32x16x64s2split16kappa2r2	rotate	ok	173413	100412	116993	455849	256	2
32x16x64s2split16kappa2r2	legacy_grid_stride	ok	183890	100412	183275	495446	256	2
32x16x64s2split16kappa2r2	chain	ok	186212	100412	120012	437861	256	2
32x16x64s2split16kappa2r2	balanced	ok	2.24777e+06	100412	254408	3.62019e+06	256	2
32x16x64s2split16kappa2r3	wavefront	ok	152536	109655	151613	393787	384	2
32x16x64s2split16kappa2r3	eft	ok	156101	109655	156101	398822	384	2
32x16x64s2split16kappa2r3	rotate	ok	165839	109655	85447.8	425602	384	2
32x16x64s2split16kappa2r3	chain	ok	180221	109655	84420.4	432169	384	2
32x16x64s2split16kappa2r3	legacy_grid_stride	ok	199377	109655	198454	510933	384	2
32x16x64s2split16kappa2r3	balanced	ok	2.08734e+06	109655	268046	3.35895e+06	384	2
32x16x64s2split16kappa2r4	eft	ok	137813	118899	137492	372944	512	2
32x16x64s2split16kappa2r4	wavefront	ok	141121	118899	139890	368837	512	2
32x16x64s2split16kappa2r4	rotate	ok	151263	118899	68292.8	407274	512	2
32x16x64s2split16kappa2r4	chain	ok	166408	118899	68165.7	408835	512	2
32x16x64s2split16kappa2r4	legacy_grid_stride	ok	180454	118899	179223	479120	512	2
32x16x64s2split16kappa2r4	balanced	ok	2.03907e+06	118899	251003	3.22875e+06	512	2
32x16x64s2split16kappa2r5	rotate	ok	147723	128142	62957.3	367692	640	2
32x16x64s2split16kappa2r5	eft	ok	147723	128142	147723	382675	640	2
32x16x64s2split16kappa2r5	wavefront	ok	151416	128142	149878	379132	640	2
32x16x64s2split16kappa2r5	chain	ok	168873	128142	58118.8	410108	640	2
32x16x64s2split16kappa2r5	legacy_grid_stride	ok	194095	128142	192557	492761	640	2
32x16x64s2split16kappa2r5	balanced	ok	2.17066e+06	128142	264619	3.35237e+06	640	2
32x16x64s2split16kappa4r1	wavefront	ok	255135	92515.8	254827	549415	128	4
32x16x64s2split16kappa4r1	eft	ok	263714	92515.8	261136	575760	128	4
32x16x64s2split16kappa4r1	rotate	ok	264521	92515.8	223350	596334	128	4
32x16x64s2split16kappa4r1	legacy_grid_stride	ok	271382	92515.8	271074	625903	128	4
32x16x64s2split16kappa4r1	chain	ok	283333	92515.8	225341	605842	128	4
32x16x64s2split16kappa4r1	balanced	ok	2.31234e+06	92515.8	332919	3.84187e+06	128	4
32x16x64s2split16kappa4r2	eft	ok	161489	100412	161489	406391	256	4
32x16x64s2split16kappa4r2	wavefront	ok	161489	100412	160873	406391	256	4
32x16x64s2split16kappa4r2	rotate	ok	173413	100412	116993	455849	256	4
32x16x64s2split16kappa4r2	legacy_grid_stride	ok	183890	100412	183275	495446	256	4
32x16x64s2split16kappa4r2	chain	ok	186212	100412	120012	437861	256	4
32x16x64s2split16kappa4r2	balanced	ok	2.24864e+06	100412	254408	3.58632e+06	256	4
32x16x64s2split16kappa4r3	wavefront	ok	152536	109655	151613	393787	384	4
32x16x64s2split16kappa4r3	eft	ok	156101	109655	156101	398822	384	4
32x16x64s2split16kappa4r3	rotate	ok	165839	109655	85447.8	425602	384	4
32x16x64s2split16kappa4r3	chain	ok	180221	109655	84420.4	432169	384	4
32x16x64s2split16kappa4r3	legacy_grid_stride	ok	199377	109655	198454	510933	384	4
32x16x64s2split16kappa4r3	balanced	ok	2.08734e+06	109655	268046	3.33777e+06	384	4
32x16x64s2split16kappa4r4	eft	ok	137813	118899	137492	372944	512	4
32x16x64s2split16kappa4r4	wavefront	ok	141121	118899	139890	368837	512	4
32x16x64s2split16kappa4r4	rotate	ok	151263	118899	68292.8	407274	512	4
32x16x64s2split16kappa4r4	chain	ok	166408	118899	68165.7	408835	512	4
32x16x64s2split16kappa4r4	legacy_grid_stride	ok	180454	118899	179223	479120	512	4
32x16x64s2split16kappa4r4	balanced	ok	2.03907e+06	118899	251003	3.2164e+06	512	4
32x16x64s2split16kappa4r5	rotate	ok	147723	128142	62957.3	367692	640	4
32x16x64s2split16kappa4r5	eft	ok	147723	128142	147723	382675	640	4
32x16x64s2split16kappa4r5	wavefront	ok	151416	128142	149878	379132	640	4
32x16x64s2split16kappa4r5	chain	ok	168873	128142	58118.8	410108	640	4
32x16x64s2split16kappa4r5	legacy_grid_stride	ok	194095	128142	192557	492761	640	4
32x16x64s2split16kappa4r5	balanced	ok	2.17066e+06	128142	264619	3.34708e+06	640	4
32x16x64s2split32kappa1r1	wavefront	ok	255135	92515.8	254827	545118	128	1
32x16x64s2split32kappa1r1	eft	ok	263714	92515.8	261136	556886	128	1
32x16x64s2split32kappa1r1	rotate	ok	264521	92515.8	223350	596334	128	1
