geometry	seq	placement	floor_ns	predicted_ns	error
32x16x64s2split8	1	wavefront	123964	351680	
32x16x64s2split8	2	wavefront	125079	352796	
32x16x64s2split8	3	wavefront	126195	353911	
32x16x64s2split8	4	wavefront	127310	355027	
32x16x64s2split8	5	wavefront	128426	356142	
32x16x64s2split8	6	wavefront	129541	357257	
32x16x64s2split8	7	wavefront	130656	358373	
32x16x64s2split8	8	eft	128143	344505	
32x16x64s2split8	9	eft	131127	348415	
32x16x64s2split8	10	eft	132022	349530	
32x16x64s2split8	11	eft	132916	350645	
32x16x64s2split8	12	eft	133810	351761	
32x16x64s2split8	13	eft	134704	352876	
32x16x64s2split8	14	eft	135599	353991	
32x16x64s2split8	15	eft	136493	355107	
32x16x64s2split8	16	eft	137387	356222	
32x16x64s2split16	1	wavefront	121313	349030	
32x16x64s2split16	2	wavefront	122634	350350	
32x16x64s2split16	3	wavefront	123954	351671	
32x16x64s2split16	4	wavefront	125275	352991	
32x16x64s2split16	5	wavefront	126595	354312	
32x16x64s2split16	6	wavefront	127916	355632	
32x16x64s2split16	7	wavefront	129236	356953	
32x16x64s2split16	8	eft	126928	343290	
32x16x64s2split16	9	eft	130118	347405	
32x16x64s2split16	10	eft	131217	348725	
32x16x64s2split16	11	eft	132317	350046	
32x16x64s2split16	12	eft	133416	351366	
32x16x64s2split16	13	eft	134515	352687	
32x16x64s2split16	14	eft	135615	354007	
32x16x64s2split16	15	eft	136714	355328	
32x16x64s2split16	16	eft	137813	356649	
32x16x64s2split32	1	wavefront	121313	349030	
32x16x64s2split32	2	wavefront	122634	350350	
32x16x64s2split32	3	wavefront	123954	351671	
32x16x64s2split32	4	wavefront	125275	352991	
32x16x64s2split32	5	wavefront	126595	354312	
32x16x64s2split32	6	wavefront	127916	355632	
32x16x64s2split32	7	wavefront	129236	356953	
32x16x64s2split32	8	eft	126928	343290	
32x16x64s2split32	9	eft	130118	347405	
32x16x64s2split32	10	eft	131217	348725	
32x16x64s2split32	11	eft	132317	350046	
32x16x64s2split32	12	eft	133416	351366	
32x16x64s2split32	13	eft	134515	352687	
32x16x64s2split32	14	eft	135615	354007	
32x16x64s2split32	15	eft	136714	355328	
32x16x64s2split32	16	eft	137813	356649	
32x16x32s2split16	1	wavefront	146887	387493	
32x16x32s2split16	2	wavefront	148823	389429	
32x16x32s2split16	3	wavefront	150759	391365	
32x16x32s2split16	4	eft	152695	388359	
32x16x32s2split16	5	eft	154631	390295	
32x16x32s2split16	6	eft	156567	392231	
32x16x32s2split16	7	eft	158503	394167	
32x16x32s2split16	8	eft	160439	396103	
32x16x32s2split16	9	eft	162374	398039	
32x16x32s2split16	10	eft	164310	399975	
32x16x32s2split16	11	eft	166246	401910	
32x16x32s2split16	12	eft	168182	403846	
32x16x32s2split16	13	eft	170118	405782	
32x16x32s2split16	14	eft	172054	407718	
32x16x32s2split16	15	eft	173990	409654	
32x16x32s2split16	16	eft	175926	411590	
