seq	placement	floor_ns	predicted_ns	error
1	wavefront	123964	351680	
1	rotate	127471	383482	
1	eft	131110	349472	
1	chain	147796	378300	
1	legacy_grid_stride	153345	436361	
1	balanced	2.9226e+06	4.36206e+06	
2	wavefront	125079	352796	
2	eft	125240	348014	
2	rotate	129029	385040	
2	chain	146298	374460	
2	legacy_grid_stride	155124	438140	
2	balanced	3.14296e+06	4.6138e+06	
3	wavefront	126195	353911	
3	eft	126576	349351	
3	rotate	130587	386598	
3	chain	150392	382037	
3	legacy_grid_stride	156903	439918	
3	balanced	2.99696e+06	4.3067e+06	
4	wavefront	127310	355027	
4	eft	127913	350687	
4	rotate	132144	388155	
4	chain	148750	376912	
4	legacy_grid_stride	158682	441697	
4	balanced	2.56838e+06	3.8625e+06	
5	wavefront	128426	356142	
5	eft	129249	352024	
5	rotate	133702	389713	
5	chain	152316	382089	
5	legacy_grid_stride	160461	443476	
5	balanced	2.37221e+06	3.60409e+06	
6	wavefront	129541	357257	
6	eft	130586	353361	
6	rotate	135260	391271	
6	chain	154651	386842	
6	legacy_grid_stride	162239	445255	
6	balanced	2.87763e+06	4.17155e+06	
7	wavefront	130656	358373	
7	eft	131922	354697	
7	rotate	136817	392828	
7	chain	155848	388068	
7	legacy_grid_stride	164018	447034	
7	balanced	2.63611e+06	4.02262e+06	
8	eft	128143	344505	
8	wavefront	131772	359488	
8	rotate	138375	394386	
8	chain	159168	388564	
8	legacy_grid_stride	165797	448813	
8	balanced	2.69818e+06	4.08481e+06	
9	eft	131127	348415	
9	wavefront	132887	360603	
9	rotate	139933	395944	
9	chain	159335	386128	
9	legacy_grid_stride	167576	450592	
9	balanced	2.86128e+06	4.35854e+06	
10	eft	132022	349530	
10	wavefront	134002	361719	
10	rotate	141490	397502	
10	chain	158737	387354	
10	legacy_grid_stride	169355	452370	
10	balanced	2.45082e+06	3.70437e+06	
11	eft	132916	350645	
11	wavefront	135118	362834	
11	rotate	143048	399059	
11	chain	159631	388469	
11	legacy_grid_stride	171134	454149	
11	balanced	2.31313e+06	3.44372e+06	
12	eft	133810	351761	
12	wavefront	136233	363950	
12	rotate	144606	400617	
12	chain	159462	390868	
12	legacy_grid_stride	172912	455928	
12	balanced	2.74758e+06	4.05902e+06	
13	eft	134704	352876	
13	wavefront	137349	365065	
13	rotate	146164	402175	
13	chain	160279	388936	
13	legacy_grid_stride	174691	457707	
13	balanced	2.49732e+06	3.74009e+06	
14	eft	135599	353991	
14	wavefront	138464	366180	
14	rotate	147721	403732	
14	chain	162123	395052	
14	legacy_grid_stride	176470	459486	
14	balanced	2.99044e+06	4.56274e+06	
15	eft	136493	355107	
15	wavefront	139579	367296	
15	rotate	149279	405290	
15	chain	163072	395672	
15	legacy_grid_stride	178249	461265	
15	balanced	2.56993e+06	3.95691e+06	
16	eft	137387	356222	
16	wavefront	140695	368411	
16	rotate	150837	406848	
16	chain	164584	399148	
16	legacy_grid_stride	180028	463043	
16	balanced	1.87802e+06	2.88329e+06	
