model	seq	variant	metric	rounds	median	ci_low	ci_high
gqa2	4	occ1	l1_ms	25	0.335424	0.335232	0.33568
gqa2	4	occ1	l2_ms	25	0.371104	0.370848	0.371968
gqa2	4	occ1	ratio	25	1.107539226942212	1.1052631578947367	1.109697781178271
gqa2	4	occ1	l05_ms	25	0.340032	0.339904	0.340096
gqa2	4	occ1	notify_ms	25	0.058528000000000024	0.057535999999999976	0.05923200000000001
gqa2	4	occ1	wait_ms	25	0.022751999999999994	0.020863999999999994	0.02435200000000004
gqa2	4	occ1	barrier_ms	25	0.03142400000000001	0.030207999999999957	0.03190399999999999
gqa2	4	occ1	loop_ms	25	-0.013888000000000011	-0.014112000000000013	-0.012896000000000019
gqa2	4	occ1	gap_ms	25	0.035968	0.03532799999999997	0.03673599999999999
gqa2	4	occ1	closure_us	25	0.0	0.0	0.0
gqa2	4	occ2	l1_ms	25	0.335584	0.334912	0.336224
gqa2	4	occ2	l2_ms	25	0.370784	0.370336	0.371552
gqa2	4	occ2	ratio	25	1.1040137286681284	1.100315578081668	1.105998278006314
gqa2	4	occ2	l05_ms	25	0.34	0.339808	0.340224
gqa2	4	occ2	notify_ms	25	0.058112	0.057120000000000004	0.059392
gqa2	4	occ2	wait_ms	25	0.021791999999999978	0.02041599999999999	0.022687999999999986
gqa2	4	occ2	barrier_ms	25	0.030976000000000004	0.030432000000000015	0.03200000000000003
gqa2	4	occ2	loop_ms	25	-0.013375999999999999	-0.014272000000000007	-0.012479999999999991
gqa2	4	occ2	gap_ms	25	0.034912	0.033856	0.03545599999999999
gqa2	4	occ2	closure_us	25	0.0	0.0	0.0
gqa2	128	occ1	l1_ms	25	0.534496	0.534144	0.53472
gqa2	128	occ1	l2_ms	25	0.571296	0.570976	0.571648
gqa2	128	occ1	ratio	25	1.068804594950341	1.0680035917390003	1.0696282105011077
gqa2	128	occ1	l05_ms	25	0.559712	0.559584	0.560064
gqa2	128	occ1	notify_ms	25	0.05344000000000004	0.052896000000000054	0.05497599999999997
gqa2	128	occ1	wait_ms	25	0.02585599999999999	0.024800000000000044	0.026527999999999996
gqa2	128	occ1	barrier_ms	25	0.03254400000000002	0.03145600000000004	0.033088000000000006
gqa2	128	occ1	loop_ms	25	-0.010143999999999986	-0.010655999999999999	-0.00947199999999998
gqa2	128	occ1	gap_ms	25	0.036800000000000055	0.03638399999999997	0.03721600000000003
gqa2	128	occ1	closure_us	25	0.0	0.0	0.0
