model	seq	variant	baseline	metric	rounds	delta_median	ci_low	ci_high	wilcoxon_p
gqa2	4	occ2	occ1	l1_ms	25	0.00019199999999996997	-0.0007359999999999589	0.0010560000000000014	0.3242733372309868
gqa2	4	occ2	occ1	l2_ms	25	-0.0007999999999999674	-0.0023360000000000047	0.00025599999999997847	0.037034818583714234
gqa2	4	occ2	occ1	ratio	25	-0.0050654614244241	-0.008548248120619162	-0.0010082130207955675	0.00513693793785796
gqa2	4	occ2	occ1	l05_ms	25	-6.40000000000085e-05	-0.00015999999999999348	0.00022400000000000198	0.795850024933793
gqa2	4	occ2	occ1	notify_ms	25	-0.00044800000000000395	-0.0022399999999999642	0.0016319999999999668	0.6668242662625201
gqa2	4	occ2	occ1	wait_ms	25	-0.0012480000000000269	-0.0025600000000000622	0.0005119999999999569	0.04950637439853126
gqa2	4	occ2	occ1	barrier_ms	25	-0.0007679999999999909	-0.0011200000000000099	0.0017280000000000073	0.8086459881289119
gqa2	4	occ2	occ1	loop_ms	25	0.0006079999999999974	-0.0007360000000000144	0.0019520000000000093	0.16176518497788717
gqa2	4	occ2	occ1	gap_ms	25	-0.0016320000000000778	-0.0028479999999999617	-0.00041600000000002746	0.005134924181685435
gqa2	4	occ2	occ1	closure_us	25	0.0	0.0	0.0	1.0
gqa2	128	occ2	occ1	l1_ms	25	0.000256000000000034	-0.00044800000000000395	0.0005760000000000209	0.40417406041541243
gqa2	128	occ2	occ1	l2_ms	25	0.00022400000000000198	-0.00022400000000000198	0.000512000000000068	0.21567521540628884
gqa2	128	occ2	occ1	ratio	25	-0.000453966760160629	-0.001698942432321715	0.0019798912189754603	0.8506035603712152
gqa2	128	occ2	occ1	l05_ms	25	-0.000128000000000017	-0.00047999999999992493	0.00031999999999998696	0.33939147871410613
gqa2	128	occ2	occ1	notify_ms	25	0.00038399999999999546	3.2000000000032e-05	0.0008000000000000229	0.2208106852105328
gqa2	128	occ2	occ1	wait_ms	25	-0.0006720000000000059	-0.0015680000000000138	0.0006080000000000529	0.5011554794782094
gqa2	128	occ2	occ1	barrier_ms	25	-0.0009279999999999289	-0.0017599999999999838	6.4000000000064e-05	0.0779878152214301
gqa2	128	occ2	occ1	loop_ms	25	-0.0008320000000000549	-0.0017280000000000628	-0.00015999999999993797	0.07575662574099051
gqa2	128	occ2	occ1	gap_ms	25	-0.00019199999999985895	-0.0008960000000000079	0.0010240000000000249	0.892979885505748
gqa2	128	occ2	occ1	closure_us	25	0.0	0.0	0.0	1.0
mha4	4	occ2	occ1	l1_ms	25	0.00015999999999993797	-0.00038400000000005097	0.0006400000000000849	0.6091728904475721
mha4	4	occ2	occ1	l2_ms	25	9.599999999998499e-05	-0.0022079999999999878	0.0015680000000000138	0.9892640758529487
mha4	4	occ2	occ1	ratio	25	-0.0007913526554255146	-0.0032005239420480613	0.003745152356399384	0.8717457062485989
mha4	4	occ2	occ1	l05_ms	25	-9.600000000009601e-05	-0.0011839999999999629	0.00035200000000001896	0.2086554646206867
mha4	4	occ2	occ1	notify_ms	25	3.2000000000032e-05	-0.0017919999999999048	0.0036800000000000166	0.892979885505748
mha4	4	occ2	occ1	wait_ms	25	0.0014720000000000288	-0.0015040000000000608	0.0030080000000000107	0.4750279923450822
mha4	4	occ2	occ1	barrier_ms	25	0.000288000000000066	-0.0022719999999998297	0.0012800000000000589	0.7163985808535397
mha4	4	occ2	occ1	loop_ms	25	-0.0014720000000000288	-0.0022080000000000988	0.0012800000000000589	0.15775077875886878
mha4	4	occ2	occ1	gap_ms	25	-0.000448000000000115	-0.0021120000000000028	0.0023999999999999577	0.9356582358466505
mha4	4	occ2	occ1	closure_us	25	0.0	0.0	0.0	1.0
mha4	128	occ2	occ1	l1_ms	25	-0.000512000000000068	-0.0018560000000000798	0.0006399999999999739	0.16172722134136022
mha4	128	occ2	occ1	l2_ms	25	-0.000128000000000128	-0.00044800000000000395	0.00022400000000000198	0.3912934284577193
mha4	128	occ2	occ1	ratio	25	0.00018110538233107043	-0.0006629364070300792	0.0014633120319003101	0.28180362857627694
mha4	128	occ2	occ1	l05_ms	25	-0.00015999999999993797	-0.000320000000000098	0.000608000000000164	0.6473114774396811
mha4	128	occ2	occ1	notify_ms	25	1.1102230246251565e-16	-0.0016320000000000778	0.0021120000000000028	0.9570815557220037
mha4	128	occ2	occ1	wait_ms	25	0.00019200000000019202	-0.0013440000000000119	0.0019839999999999858	0.41181834153942104
mha4	128	occ2	occ1	barrier_ms	25	-0.0018880000000001118	-0.0028480000000001837	0.0019839999999999858	0.6281556537099864
mha4	128	occ2	occ1	loop_ms	25	-0.00035200000000001896	-0.0022079999999999878	0.0008319999999999439	0.6186247389425152
mha4	128	occ2	occ1	gap_ms	25	0.000320000000000098	-0.0006719999999997839	0.0015680000000000138	0.3129483293204478
mha4	128	occ2	occ1	closure_us	25	0.0	0.0	0.0	1.0
