run	step	gpu_ms
1	0	8.16025639
1	1	6.42460823
1	2	7.069664
1	3	6.43788815
1	4	6.95516777
1	5	6.35686398
1	6	6.96112013
1	7	6.37337589
1	8	6.34883213
1	9	6.97136021
1	10	6.35391998
1	11	6.97958422
1	12	6.34880018
1	13	6.96432018
1	14	6.36406422
1	15	6.98163223
1	16	6.34060812
1	17	6.97344017
1	18	6.355968
1	19	6.79526377
1	20	6.02931213
1	21	6.64473581
1	22	6.03852797
1	23	6.0375042
1	24	6.637568
1	25	6.03136015
1	26	6.03852797
1	27	6.65907192
1	28	6.01907206
1	29	6.02828789
1	30	6.68364811
1	31	6.04876804
1	32	6.01804781
1	33	6.65804815
1	34	6.05183983
1	35	6.03136015
1	36	6.65087986
1	37	6.04160023
1	38	6.04483223
1	39	6.6486721
1	40	6.02316809
1	41	6.04057598
1	42	6.66111994
1	43	6.042624
1	44	6.01702404
1	45	6.65292788
1	46	6.04467201
1	47	6.04569578
1	48	6.63654423
1	49	6.03955221
1	50	6.04467201
1	51	6.67545605
1	52	6.03443193
1	53	6.05183983
1	54	6.69081593
1	55	6.0477438
1	56	6.02726412
1	57	6.66316795
1	58	6.04876804
1	59	6.05183983
1	60	6.65600014
1	61	6.04672003
1	62	6.05388784
1	63	6.66009617
1	64	6.03136015
1	65	6.05081606
1	66	6.67955208
1	67	6.07231998
1	68	6.0375042
1	69	6.66009617
1	70	6.05900812
1	71	6.06822395
1	72	6.66111994
1	73	6.03238392
1	74	6.05491209
1	75	6.68569613
1	76	6.04569578
1	77	6.04364777
1	78	6.67647982
1	79	6.07846403
1	80	6.03340816
1	81	6.66316795
1	82	6.07231998
1	83	6.67647982
1	84	6.05491209
1	85	6.04876804
1	86	6.68160009
1	87	6.07027197
1	88	6.03852797
1	89	6.65702391
1	90	6.06003189
1	91	6.06822395
1	92	6.65497589
1	93	6.04364777
1	94	6.06003189
1	95	6.68057585
1	96	6.04467201
1	97	6.05286407
1	98	6.67647982
1	99	6.06310415
1	100	6.03443193
1	101	6.66111994
1	102	6.06822395
1	103	6.06207991
1	104	6.65087986
1	105	6.05081606
1	106	6.05798388
1	107	6.69184017
1	108	6.03852797
1	109	6.04057598
1	110	6.68774414
