rotation	arm	poll_mode	spin_iters	backoff_ns	grow	cap_ns	consumers	rows	per_row	rounds	participants	hop_mean_ns	hop_se_ns	hop_p50_ns	hop_p90_ns	hop_max_ns	last_mean_ns	last_p90_ns	last_max_ns	inversions	hop_trim_mean_ns	hop_trim_se_ns	last_trim_mean_ns
0	literal64	rmw	0	64	1	64	1	1	1	4096	2	1229.5	6.41	1024.0	2048.0	2048.0	1229.5	2048.0	2048.0	0	1228.7	6.40	1228.7
0	literal64	rmw	0	64	1	64	16	1	16	4096	17	1239.1	1.63	1024.0	2048.0	2048.0	1251.5	2048.0	2048.0	0	1238.3	1.63	1250.7
0	literal64	rmw	0	64	1	64	64	1	64	4096	65	1241.3	0.82	1024.0	2048.0	2048.0	1257.8	2048.0	2048.0	0	1240.5	0.82	1257.0
0	literal64	rmw	0	64	1	64	256	1	256	4096	257	1238.0	0.41	1024.0	2048.0	2048.0	1259.2	2048.0	2048.0	0	1237.2	0.41	1258.5
0	literal64	rmw	0	64	1	64	16	16	1	4096	32	1222.5	1.58	1024.0	2048.0	2048.0	1222.5	2048.0	2048.0	0	1221.7	1.58	1221.7
0	literal64	rmw	0	64	1	64	64	16	4	4096	80	1221.2	0.79	1024.0	2048.0	2048.0	1227.2	2048.0	2048.0	0	1220.4	0.79	1226.4
0	literal64	rmw	0	64	1	64	256	16	16	4096	272	1238.5	0.41	1024.0	2048.0	2048.0	1250.8	2048.0	2048.0	0	1237.7	0.41	1250.0
0	spin	rmw	0	0	1	0	1	1	1	4096	2	365.5	7.67	0.0	1024.0	1024.0	365.5	1024.0	1024.0	0	364.9	7.67	364.9
0	spin	rmw	0	0	1	0	16	1	16	4096	17	340.0	1.88	0.0	1024.0	1024.0	405.5	1024.0	1024.0	0	339.3	1.88	404.9
0	spin	rmw	0	0	1	0	64	1	64	4096	65	363.7	0.96	0.0	1024.0	1024.0	441.8	1024.0	1024.0	0	363.0	0.96	441.2
0	spin	rmw	0	0	1	0	256	1	256	4096	257	360.3	0.48	0.0	1024.0	1024.0	432.2	1024.0	1024.0	0	359.7	0.48	431.7
0	spin	rmw	0	0	1	0	16	16	1	4096	32	326.0	1.86	0.0	1024.0	1024.0	326.0	1024.0	1024.0	0	325.3	1.86	325.3
0	spin	rmw	0	0	1	0	64	16	4	4096	80	337.4	0.94	0.0	1024.0	1024.0	378.7	1024.0	1024.0	0	336.7	0.94	378.0
0	spin	rmw	0	0	1	0	256	16	16	4096	272	364.8	0.48	0.0	1024.0	1024.0	430.2	1024.0	1024.0	0	364.1	0.48	429.7
0	bo64	rmw	0	64	1	64	1	1	1	4096	2	1213.2	6.21	1024.0	2048.0	2048.0	1213.2	2048.0	2048.0	0	1212.4	6.20	1212.4
0	bo64	rmw	0	64	1	64	16	1	16	4096	17	1217.1	1.56	1024.0	2048.0	2048.0	1228.8	2048.0	2048.0	0	1216.3	1.56	1227.9
0	bo64	rmw	0	64	1	64	64	1	64	4096	65	1220.6	0.79	1024.0	2048.0	2048.0	1234.2	2048.0	2048.0	0	1219.8	0.79	1233.5
0	bo64	rmw	0	64	1	64	256	1	256	4096	257	1222.3	0.40	1024.0	2048.0	2048.0	1246.8	2048.0	2048.0	0	1221.5	0.39	1246.0
0	bo64	rmw	0	64	1	64	16	16	1	4096	32	1207.9	1.54	1024.0	2048.0	2048.0	1207.9	2048.0	2048.0	0	1207.1	1.53	1207.1
0	bo64	rmw	0	64	1	64	64	16	4	4096	80	1204.8	0.76	1024.0	2048.0	2048.0	1211.1	2048.0	2048.0	0	1203.9	0.76	1210.3
0	bo64	rmw	0	64	1	64	256	16	16	4096	272	1221.4	0.39	1024.0	2048.0	2048.0	1234.3	2048.0	2048.0	0	1220.6	0.39	1233.5
0	bo16	rmw	0	16	1	16	1	1	1	4096	2	1215.5	6.24	1024.0	2048.0	2048.0	1215.5	2048.0	2048.0	0	1214.7	6.23	1214.7
0	bo16	rmw	0	16	1	16	16	1	16	4096	17	1215.9	1.56	1024.0	2048.0	2048.0	1227.0	2048.0	2048.0	0	1215.1	1.56	1226.2
0	bo16	rmw	0	16	1	16	64	1	64	4096	65	1218.8	0.78	1024.0	2048.0	2048.0	1232.5	2048.0	2048.0	0	1218.0	0.78	1231.7
0	bo16	rmw	0	16	1	16	256	1	256	4096	257	1227.6	0.40	1024.0	2048.0	2048.0	1249.8	2048.0	2048.0	0	1226.8	0.40	1249.0
0	bo16	rmw	0	16	1	16	16	16	1	4096	32	1203.6	1.52	1024.0	2048.0	2048.0	1203.6	2048.0	2048.0	0	1202.8	1.52	1202.8
0	bo16	rmw	0	16	1	16	64	16	4	4096	80	1203.1	0.76	1024.0	2048.0	2048.0	1209.3	2048.0	2048.0	0	1202.3	0.76	1208.5
0	bo16	rmw	0	16	1	16	256	16	16	4096	272	1217.5	0.39	1024.0	2048.0	2048.0	1230.0	2048.0	2048.0	0	1216.6	0.39	1229.2
0	spin64_bo64	rmw	64	64	1	64	1	1	1	4096	2	365.5	7.67	0.0	1024.0	1024.0	365.5	1024.0	1024.0	0	364.9	7.67	364.9
0	spin64_bo64	rmw	64	64	1	64	16	1	16	4096	17	334.1	1.88	0.0	1024.0	2048.0	434.2	1024.0	2048.0	0	332.8	1.87	432.7
0	spin64_bo64	rmw	64	64	1	64	64	1	64	4096	65	217.5	0.84	0.0	1024.0	2048.0	479.8	1024.0	2048.0	0	215.7	0.83	478.2
0	spin64_bo64	rmw	64	64	1	64	256	1	256	4096	257	243.9	0.43	0.0	1024.0	2048.0	636.5	1024.0	2048.0	0	242.1	0.43	635.1
0	spin64_bo64	rmw	64	64	1	64	16	16	1	4096	32	196.0	1.61	0.0	1024.0	2048.0	196.0	1024.0	2048.0	0	194.2	1.59	194.2
0	spin64_bo64	rmw	64	64	1	64	64	16	4	4096	80	195.1	0.79	0.0	1024.0	2048.0	255.7	1024.0	2048.0	0	193.2	0.79	254.0
0	spin64_bo64	rmw	64	64	1	64	256	16	16	4096	272	266.5	0.44	0.0	1024.0	2048.0	438.2	1024.0	2048.0	0	264.7	0.44	436.6
0	spin256_bo64	rmw	256	64	1	64	1	1	1	4096	2	361.8	7.65	0.0	1024.0	1024.0	361.8	1024.0	1024.0	0	361.1	7.65	361.1
0	spin256_bo64	rmw	256	64	1	64	16	1	16	4096	17	343.2	1.89	0.0	1024.0	1024.0	407.0	1024.0	1024.0	0	342.6	1.89	406.4
0	spin256_bo64	rmw	256	64	1	64	64	1	64	4096	65	354.7	0.95	0.0	1024.0	1024.0	427.5	1024.0	1024.0	0	354.0	0.95	426.9
0	spin256_bo64	rmw	256	64	1	64	256	1	256	4096	257	346.9	0.47	0.0	1024.0	1024.0	423.0	1024.0	1024.0	0	346.2	0.47	422.4
0	spin256_bo64	rmw	256	64	1	64	16	16	1	4096	32	339.8	1.88	0.0	1024.0	1024.0	339.8	1024.0	1024.0	0	339.1	1.88	339.1
0	spin256_bo64	rmw	256	64	1	64	64	16	4	4096	80	312.1	0.92	0.0	1024.0	1024.0	350.0	1024.0	1024.0	0	311.4	0.92	349.3
0	spin256_bo64	rmw	256	64	1	64	256	16	16	4096	272	341.6	0.47	0.0	1024.0	1024.0	407.2	1024.0	1024.0	0	340.9	0.47	406.6
0	spin64_bo16	rmw	64	16	1	16	1	1	1	4096	2	364.0	7.66	0.0	1024.0	1024.0	364.0	1024.0	1024.0	0	363.4	7.66	363.4
0	spin64_bo16	rmw	64	16	1	16	16	1	16	4096	17	338.7	1.89	0.0	1024.0	2048.0	441.8	1024.0	2048.0	0	337.5	1.88	440.2
0	spin64_bo16	rmw	64	16	1	16	64	1	64	4096	65	224.1	0.85	0.0	1024.0	2048.0	491.0	1024.0	2048.0	0	222.2	0.84	489.5
