rotation	arm	poll_mode	spin_iters	backoff_ns	grow	cap_ns	consumers	rows	per_row	rounds	participants	hop_mean_ns	hop_se_ns	hop_p50_ns	hop_p90_ns	hop_max_ns	last_mean_ns	last_p90_ns	last_max_ns	inversions	hop_trim_mean_ns	hop_trim_se_ns	last_trim_mean_ns
2	bo64	rmw	0	64	1	64	1	1	1	4096	2	1212.5	6.20	1024.0	2048.0	2048.0	1212.5	2048.0	2048.0	0	1211.7	6.19	1211.7
2	bo64	rmw	0	64	1	64	16	1	16	4096	17	1225.6	1.59	1024.0	2048.0	2048.0	1235.2	2048.0	2048.0	0	1224.7	1.59	1234.5
2	bo64	rmw	0	64	1	64	64	1	64	4096	65	1221.4	0.79	1024.0	2048.0	2048.0	1236.0	2048.0	2048.0	0	1220.5	0.79	1235.2
2	bo64	rmw	0	64	1	64	256	1	256	4096	257	1218.4	0.39	1024.0	2048.0	2048.0	1242.5	2048.0	2048.0	0	1217.6	0.39	1241.7
2	bo64	rmw	0	64	1	64	16	16	1	4096	32	1204.3	1.52	1024.0	2048.0	2048.0	1204.3	2048.0	2048.0	0	1203.5	1.52	1203.5
2	bo64	rmw	0	64	1	64	64	16	4	4096	80	1206.1	0.76	1024.0	2048.0	2048.0	1212.5	2048.0	2048.0	0	1205.3	0.76	1211.6
2	bo64	rmw	0	64	1	64	256	16	16	4096	272	1217.8	0.39	1024.0	2048.0	2048.0	1230.0	2048.0	2048.0	0	1216.9	0.39	1229.1
2	bo16	rmw	0	16	1	16	1	1	1	4096	2	1211.0	6.18	1024.0	2048.0	2048.0	1211.0	2048.0	2048.0	0	1210.2	6.17	1210.2
2	bo16	rmw	0	16	1	16	16	1	16	4096	17	1216.9	1.56	1024.0	2048.0	2048.0	1226.0	2048.0	2048.0	0	1216.0	1.56	1225.2
2	bo16	rmw	0	16	1	16	64	1	64	4096	65	1222.1	0.79	1024.0	2048.0	2048.0	1236.0	2048.0	2048.0	0	1221.3	0.79	1235.2
2	bo16	rmw	0	16	1	16	256	1	256	4096	257	1220.7	0.39	1024.0	2048.0	2048.0	1243.5	2048.0	2048.0	0	1219.9	0.39	1242.7
2	bo16	rmw	0	16	1	16	16	16	1	4096	32	1207.1	1.53	1024.0	2048.0	2048.0	1207.1	2048.0	2048.0	0	1206.3	1.53	1206.3
2	bo16	rmw	0	16	1	16	64	16	4	4096	80	1204.7	0.76	1024.0	2048.0	2048.0	1211.1	2048.0	2048.0	0	1203.9	0.76	1210.3
2	bo16	rmw	0	16	1	16	256	16	16	4096	272	1218.2	0.39	1024.0	2048.0	2048.0	1231.0	2048.0	2048.0	0	1217.3	0.39	1230.2
2	spin64_bo64	rmw	64	64	1	64	1	1	1	4096	2	355.0	7.61	0.0	1024.0	1024.0	355.0	1024.0	1024.0	0	354.3	7.62	354.3
2	spin64_bo64	rmw	64	64	1	64	16	1	16	4096	17	341.9	1.89	0.0	1024.0	2048.0	437.2	1024.0	2048.0	0	340.7	1.89	435.7
2	spin64_bo64	rmw	64	64	1	64	64	1	64	4096	65	215.1	0.83	0.0	1024.0	2048.0	475.5	1024.0	2048.0	0	213.3	0.83	474.0
2	spin64_bo64	rmw	64	64	1	64	256	1	256	4096	257	238.9	0.43	0.0	1024.0	2048.0	624.8	1024.0	2048.0	0	237.1	0.43	623.4
2	spin64_bo64	rmw	64	64	1	64	16	16	1	4096	32	194.8	1.60	0.0	1024.0	2048.0	194.8	1024.0	2048.0	0	193.0	1.59	193.0
