node	worker	slot
0	0	0
1	16	0
2	17	0
3	18	0
4	19	0
5	20	0
6	21	0
7	22	0
8	23	0
9	24	0
10	25	0
11	26	0
12	27	0
13	28	0
14	29	0
15	30	0
16	31	0
17	32	0
18	33	0
19	34	0
20	35	0
21	36	0
22	37	0
23	38	0
24	39	0
25	40	0
26	41	0
27	42	0
28	43	0
29	44	0
30	45	0
31	46	0
32	47	0
33	0	1
34	1	0
35	2	0
36	3	0
37	4	0
38	5	0
39	6	0
40	7	0
41	8	0
42	9	0
43	10	0
44	11	0
45	12	0
46	13	0
47	14	0
48	15	0
49	48	0
50	49	0
51	50	0
52	51	0
53	52	0
54	53	0
55	54	0
56	55	0
57	56	0
58	57	0
59	58	0
60	59	0
61	60	0
62	61	0
63	62	0
64	63	0
65	2	1
66	3	1
67	4	1
68	5	1
69	0	2
70	1	1
71	0	3
72	1	2
73	6	1
74	7	1
75	0	4
76	1	3
77	2	2
78	3	2
79	0	5
80	1	4
81	2	3
82	3	3
83	4	2
84	5	2
85	6	2
86	7	2
87	8	1
88	9	1
89	10	1
90	11	1
91	12	1
92	13	1
93	14	1
94	15	1
95	16	1
96	17	1
97	18	1
98	19	1
99	20	1
100	21	1
101	22	1
102	23	1
103	24	1
104	25	1
105	26	1
106	27	1
107	28	1
108	29	1
109	30	1
110	31	1
111	0	6
112	0	7
113	1	5
114	2	4
115	3	4
116	4	3
117	5	3
118	6	3
119	7	3
120	8	2
121	9	2
122	10	2
123	11	2
124	12	2
125	13	2
126	14	2
127	15	2
128	16	2
129	17	2
130	18	2
131	19	2
132	20	2
133	21	2
134	22	2
135	23	2
136	24	2
137	25	2
138	26	2
139	27	2
140	28	2
141	29	2
142	30	2
143	31	2
144	32	1
145	33	1
146	34	1
147	35	1
148	36	1
149	37	1
150	38	1
151	39	1
152	40	1
153	41	1
154	42	1
155	43	1
156	44	1
157	45	1
158	46	1
159	47	1
160	48	1
161	49	1
162	50	1
163	51	1
164	52	1
165	53	1
166	54	1
167	55	1
168	56	1
169	57	1
170	58	1
171	59	1
172	60	1
173	61	1
174	62	1
175	63	1
176	64	0
