key	placement	status	simulated	makespan_ns	floor_ns
32x16x16s2k1_k1_r2	chain	ok	1	311709.438395	131036
32x16x32s2k1_k1_r2	chain	ok	1	311709.438395	131036
32x16x64s2k1_k1_r2	chain	ok	1	311709.438395	131036
32x16x16s2k1_k2_r2	chain	ok	1	311709.438395	131036
32x16x32s2k1_k2_r2	chain	ok	1	311709.438395	131036
32x16x64s2k1_k2_r2	chain	ok	1	311709.438395	131036
32x16x16s2k1_k4_r2	chain	ok	1	311709.438395	131036
32x16x32s2k1_k4_r2	chain	ok	1	311709.438395	131036
32x16x64s2k1_k4_r2	chain	ok	1	311709.438395	131036
32x16x16s2k1_k2_r1	chain	ok	1	312329.070184	131036
32x16x32s2k1_k2_r1	chain	ok	1	312329.070184	131036
32x16x64s2k1_k2_r1	chain	ok	1	312329.070184	131036
32x16x16s2k1_k4_r1	chain	ok	1	312329.070184	131036
32x16x32s2k1_k4_r1	chain	ok	1	312329.070184	131036
32x16x64s2k1_k4_r1	chain	ok	1	312329.070184	131036
128x128x16s3k1_k1_r1	eft	ok	1	594554.794512	451968
128x128x16s3k1_k1_r2	eft	ok	1	594554.794512	451968
128x128x16s3k1_k1_r2	chain	ok	1	594554.794512	451968
128x128x16s3k1_k1_r1	chain	ok	1	608663.236358	451968
128x128x16s3k1_k1_r1	rotate	ok	1	610850.428171	451968
128x128x16s3k1_k1_r1	wavefront	ok	1	610850.428171	451968
128x128x16s3k1_k1_r2	rotate	ok	1	610850.428171	451968
128x128x16s3k1_k1_r2	wavefront	ok	1	610850.428171	451968
128x128x16s3k1_k2_r1	eft	ok	1	610850.428171	451968
128x128x16s3k1_k2_r1	rotate	ok	1	610850.428171	451968
128x128x16s3k1_k2_r1	wavefront	ok	1	610850.428171	451968
128x128x16s3k1_k2_r2	eft	ok	1	610850.428171	451968
128x128x16s3k1_k2_r2	chain	ok	1	610850.428171	451968
128x128x16s3k1_k2_r2	rotate	ok	1	610850.428171	451968
128x128x16s3k1_k2_r2	wavefront	ok	1	610850.428171	451968
128x128x16s3k1_k4_r1	eft	ok	1	610850.428171	451968
128x128x16s3k1_k4_r1	rotate	ok	1	610850.428171	451968
128x128x16s3k1_k4_r1	wavefront	ok	1	610850.428171	451968
128x128x16s3k1_k4_r2	eft	ok	1	610850.428171	451968
128x128x16s3k1_k4_r2	chain	ok	1	610850.428171	451968
128x128x16s3k1_k4_r2	rotate	ok	1	610850.428171	451968
128x128x16s3k1_k4_r2	wavefront	ok	1	610850.428171	451968
128x128x16s3k1_k2_r1	chain	ok	1	616811.053187	451968
128x128x16s3k1_k4_r1	chain	ok	1	616811.053187	451968
128x128x16s3k1_k1_r1	balanced	ok	1	1115435.54035	451968
128x128x16s3k1_k1_r2	balanced	ok	1	1115435.54035	451968
128x128x16s3k1_k2_r1	balanced	ok	1	1199209.95914	451968
128x128x16s3k1_k2_r2	balanced	ok	1	1199209.95914	451968
128x128x16s3k1_k4_r1	balanced	ok	1	1199209.95914	451968
128x128x16s3k1_k4_r2	balanced	ok	1	1199209.95914	451968
32x16x16s2k1_k1_r1	legacy_grid_stride	ok	0	180124	180124
32x16x16s2k1_k1_r2	legacy_grid_stride	ok	0	180124	180124
32x16x16s2k1_k1_r5	legacy_grid_stride	ok	0	180124	180124
32x16x32s2k1_k1_r1	legacy_grid_stride	ok	0	180124	180124
32x16x32s2k1_k1_r2	legacy_grid_stride	ok	0	180124	180124
32x16x32s2k1_k1_r5	legacy_grid_stride	ok	0	180124	180124
32x16x64s2k1_k1_r1	legacy_grid_stride	ok	0	180124	180124
32x16x64s2k1_k1_r2	legacy_grid_stride	ok	0	180124	180124
32x16x16s2k1_k2_r1	legacy_grid_stride	ok	0	180124	180124
32x16x16s2k1_k2_r2	legacy_grid_stride	ok	0	180124	180124
32x16x16s2k1_k2_r5	legacy_grid_stride	ok	0	180124	180124
32x16x32s2k1_k2_r1	legacy_grid_stride	ok	0	180124	180124
32x16x32s2k1_k2_r2	legacy_grid_stride	ok	0	180124	180124
32x16x32s2k1_k2_r5	legacy_grid_stride	ok	0	180124	180124
32x16x64s2k1_k2_r1	legacy_grid_stride	ok	0	180124	180124
32x16x64s2k1_k2_r2	legacy_grid_stride	ok	0	180124	180124
32x16x16s2k1_k4_r1	legacy_grid_stride	ok	0	180124	180124
32x16x16s2k1_k4_r2	legacy_grid_stride	ok	0	180124	180124
32x16x16s2k1_k4_r5	legacy_grid_stride	ok	0	180124	180124
32x16x32s2k1_k4_r1	legacy_grid_stride	ok	0	180124	180124
32x16x32s2k1_k4_r2	legacy_grid_stride	ok	0	180124	180124
32x16x32s2k1_k4_r5	legacy_grid_stride	ok	0	180124	180124
32x16x64s2k1_k4_r1	legacy_grid_stride	ok	0	180124	180124
32x16x64s2k1_k4_r2	legacy_grid_stride	ok	0	180124	180124
32x16x16s2k1_k1_r1	balanced	ok	0	226960	226960
32x16x16s2k1_k1_r2	balanced	ok	0	226960	226960
32x16x16s2k1_k1_r5	balanced	ok	0	226960	226960
32x16x32s2k1_k1_r1	balanced	ok	0	226960	226960
32x16x32s2k1_k1_r2	balanced	ok	0	226960	226960
32x16x32s2k1_k1_r5	balanced	ok	0	226960	226960
32x16x64s2k1_k1_r1	balanced	ok	0	226960	226960
32x16x64s2k1_k1_r2	balanced	ok	0	226960	226960
32x16x16s2k1_k2_r1	balanced	ok	0	226960	226960
32x16x16s2k1_k2_r2	balanced	ok	0	226960	226960
32x16x16s2k1_k2_r5	balanced	ok	0	226960	226960
32x16x32s2k1_k2_r1	balanced	ok	0	226960	226960
32x16x32s2k1_k2_r2	balanced	ok	0	226960	226960
32x16x32s2k1_k2_r5	balanced	ok	0	226960	226960
32x16x64s2k1_k2_r1	balanced	ok	0	226960	226960
32x16x64s2k1_k2_r2	balanced	ok	0	226960	226960
32x16x16s2k1_k4_r1	balanced	ok	0	226960	226960
32x16x16s2k1_k4_r2	balanced	ok	0	226960	226960
32x16x16s2k1_k4_r5	balanced	ok	0	226960	226960
32x16x32s2k1_k4_r1	balanced	ok	0	226960	226960
32x16x32s2k1_k4_r2	balanced	ok	0	226960	226960
32x16x32s2k1_k4_r5	balanced	ok	0	226960	226960
32x16x64s2k1_k4_r1	balanced	ok	0	226960	226960
32x16x64s2k1_k4_r2	balanced	ok	0	226960	226960
128x128x16s3k1_k1_r1	legacy_grid_stride	ok	0	693632	693632
128x128x16s3k1_k1_r2	legacy_grid_stride	ok	0	693632	693632
128x128x16s3k1_k2_r1	legacy_grid_stride	ok	0	693632	693632
128x128x16s3k1_k2_r2	legacy_grid_stride	ok	0	693632	693632
128x128x16s3k1_k4_r1	legacy_grid_stride	ok	0	693632	693632
128x128x16s3k1_k4_r2	legacy_grid_stride	ok	0	693632	693632
