rank	key	flow_ns	residency	kappa	error
56	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k1;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4174866.7333892821	6	1	
57	32x16x32s2k2;32x16x32s2k4;32x16x32s2k1;32x16x32s2k1;32x16x32s2k2;32x16x32s2k1;kappa=1;residency=4	4175516.6300738356	4	1	
58	32x16x32s2k32;32x16x32s2k4;32x16x32s2k4;32x16x32s2k1;32x16x32s2k4;32x16x32s2k1;kappa=1;residency=4	4180034.9912821446	4	1	
59	32x16x32s2k2;32x16x32s2k1;32x16x32s2k2;32x16x32s2k1;32x16x32s2k2;32x16x32s2k1;kappa=1;residency=4	4181507.7058199337	4	1	
60	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k1;kappa=1;residency=6	4181514.7791086822	6	1	
61	32x16x32s2k2;32x16x32s2k16;32x16x32s2k2;32x16x32s2k1;32x16x32s2k2;32x16x32s2k1;kappa=1;residency=4	4189356.6397571908	4	1	
62	32x16x32s2k8;32x16x32s2k32;32x16x32s2k4;32x16x32s2k2;32x16x32s2k4;32x16x32s2k1;kappa=1;residency=6	4197379.9163896414	6	1	
63	32x16x32s2k16;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;32x16x32s2k2;32x16x32s2k1;kappa=1;residency=4	4200249.098968856	4	1	
64	32x16x32s2k2;32x16x32s2k4;32x16x32s2k4;32x16x32s2k1;32x16x32s2k32;32x16x32s2k1;kappa=1;residency=4	4200388.7675998192	4	1	
65	32x16x32s2k8;32x16x32s2k1;32x16x32s2k4;32x16x32s2k2;32x16x32s2k4;32x16x32s2k1;kappa=1;residency=6	4213619.9631407205	6	1	
66	32x16x32s2k8;32x16x32s2k4;32x16x32s2k1;32x16x32s2k2;32x16x32s2k4;32x16x32s2k1;kappa=1;residency=6	4218688.8282111082	6	1	
67	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k2;32x16x32s2k16;32x16x32s2k4;kappa=1;residency=6	4243179.4803115558	6	1	
68	32x16x32s2k2;32x16x32s2k4;32x16x32s2k4;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;kappa=1;residency=4	4245286.3969239173	4	1	
69	32x16x32s2k2;32x16x32s2k4;32x16x32s2k4;32x16x32s2k1;32x16x32s2k4;32x16x32s2k8;kappa=1;residency=4	4248324.7098082844	4	1	
70	32x16x32s2k1;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;32x16x32s2k2;32x16x32s2k1;kappa=1;residency=5	4248504.6605098657	5	1	
71	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k2;32x16x32s2k8;32x16x32s2k4;kappa=1;residency=6	4263538.0615256252	6	1	
72	32x16x32s2k2;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k1;kappa=1;residency=4	4264429.5533711361	4	1	
73	32x16x32s2k2;32x16x32s2k4;32x16x32s2k16;32x16x32s2k1;32x16x32s2k2;32x16x32s2k1;kappa=1;residency=4	4264704.5160377538	4	1	
74	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k2;32x16x32s2k4;32x16x32s2k8;kappa=1;residency=6	4272904.9537418354	6	1	
75	32x16x32s2k1;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;32x16x32s2k2;32x16x32s2k2;kappa=1;residency=3	4275487.1325824438	3	1	
76	32x16x32s2k2;32x16x32s2k32;32x16x32s2k2;32x16x32s2k1;32x16x32s2k2;32x16x32s2k1;kappa=1;residency=4	4282383.4403281352	4	1	
77	32x16x32s2k1;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;32x16x32s2k2;32x16x32s2k1;kappa=1;residency=2	4283658.2672132552	2	1	
78	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k2;32x16x32s2k32;32x16x32s2k1;kappa=1;residency=6	4284591.6191281378	6	1	
79	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;kappa=1;residency=6	4296381.7978276694	6	1	
80	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4315803.2186071211	6	1	
