index	candidate	phase
0		bridge_and_plan
1		import
2	64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;kappa=1;residency=3	resource_probe
3	64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;kappa=1;residency=3	instantiate
4	64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;kappa=1;residency=3	cache_hit
5	64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;kappa=1;residency=3	cache_miss
6	64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;kappa=1;residency=3	derive
7	64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;kappa=1;residency=3	prepare_relations
8	64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;kappa=1;residency=3	piece_pricing_and_release
9	64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;kappa=1;residency=3	flow
10	64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;64x128x16s2k32;kappa=1;residency=3	resource_probe
11	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=1	resource_probe
12	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=1	instantiate_and_derive
13	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=1	piece_pricing_and_release
14	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=1	flow
15	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=2	resource_probe
16	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=2	instantiate_and_derive
17	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=2	piece_pricing_and_release
18	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=2	flow
19	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=3	resource_probe
20	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=3	instantiate_and_derive
21	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=3	piece_pricing_and_release
22	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=3	flow
23	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=4	resource_probe
24	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=4	instantiate_and_derive
25	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=4	piece_pricing_and_release
26	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=4	flow
27	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=5	resource_probe
28	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=5	instantiate_and_derive
29	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=5	piece_pricing_and_release
30	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=5	flow
31	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=6	resource_probe
32	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=6	instantiate_and_derive
33	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=6	piece_pricing_and_release
34	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=6	flow
35	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=2;residency=1	resource_probe
36	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=2;residency=1	instantiate_and_derive
37	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=2;residency=1	piece_pricing_and_release
38	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=2;residency=1	flow
39	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=2;residency=2	resource_probe
40	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=2;residency=2	instantiate_and_derive
41	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=2;residency=2	piece_pricing_and_release
42	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=2;residency=2	flow
43	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=2;residency=3	resource_probe
44	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=2;residency=3	instantiate_and_derive
