node	stage	task	worker	slot	start_ns	end_ns	attention
0	0	0	0	0	0	3280.7856152256199	0
1	0	1	1	0	0	3280.7856152256199	0
2	0	2	2	0	0	3280.7856152256199	0
3	0	3	3	0	0	3280.7856152256199	0
4	1	0	4	0	4516.1974162256201	12888.667093100494	0
5	1	1	5	0	4516.1974162256201	12888.667093100494	0
6	1	2	22	0	4516.1974162256201	12888.667093100494	0
7	1	3	23	0	4516.1974162256201	12888.667093100494	0
8	1	4	24	0	4516.1974162256201	12888.667093100494	0
9	1	5	25	0	4516.1974162256201	12888.667093100494	0
10	1	6	26	0	4516.1974162256201	12888.667093100494	0
11	1	7	27	0	4516.1974162256201	12888.667093100494	0
12	1	8	28	0	4516.1974162256201	12888.667093100494	0
13	1	9	29	0	4516.1974162256201	12888.667093100494	0
14	1	10	30	0	4516.1974162256201	12888.667093100494	0
15	1	11	31	0	4516.1974162256201	12888.667093100494	0
16	1	12	32	0	4516.1974162256201	12888.667093100494	0
17	1	13	33	0	4516.1974162256201	12888.667093100494	0
18	1	14	18	0	4516.1974162256201	12888.667093100494	0
19	1	15	19	0	4516.1974162256201	12888.667093100494	0
20	1	16	20	0	4516.1974162256201	12888.667093100494	0
21	1	17	21	0	4516.1974162256201	12888.667093100494	0
22	1	18	38	0	4516.1974162256201	12888.667093100494	0
23	1	19	39	0	4516.1974162256201	12888.667093100494	0
24	1	20	40	0	4516.1974162256201	12888.667093100494	0
25	1	21	41	0	4516.1974162256201	12888.667093100494	0
26	1	22	42	0	4516.1974162256201	12888.667093100494	0
27	1	23	43	0	4516.1974162256201	12888.667093100494	0
28	1	24	44	0	4516.1974162256201	12888.667093100494	0
29	1	25	45	0	4516.1974162256201	12888.667093100494	0
30	1	26	46	0	4516.1974162256201	12888.667093100494	0
31	1	27	47	0	4516.1974162256201	12888.667093100494	0
32	1	28	48	0	4516.1974162256201	12888.667093100494	0
33	1	29	49	0	4516.1974162256201	12888.667093100494	0
34	1	30	34	0	4516.1974162256201	12888.667093100494	0
35	1	31	35	0	4516.1974162256201	12888.667093100494	0
36	2	0	0	1	4516.1974162256201	11412.971775840484	0
37	2	1	1	1	4516.1974162256201	11412.971775840484	0
38	2	2	6	0	4516.1974162256201	11412.971775840484	0
39	2	3	7	0	4516.1974162256201	11412.971775840484	0
40	2	4	8	0	4516.1974162256201	11412.971775840484	0
41	2	5	9	0	4516.1974162256201	11412.971775840484	0
42	2	6	10	0	4516.1974162256201	11412.971775840484	0
43	2	7	11	0	4516.1974162256201	11412.971775840484	0
44	2	8	12	0	4516.1974162256201	11412.971775840484	0
45	2	9	13	0	4516.1974162256201	11412.971775840484	0
46	2	10	14	0	4516.1974162256201	11412.971775840484	0
47	2	11	15	0	4516.1974162256201	11412.971775840484	0
48	2	12	16	0	4516.1974162256201	11412.971775840484	0
49	2	13	17	0	4516.1974162256201	11412.971775840484	0
50	2	14	2	1	4516.1974162256201	11412.971775840484	0
51	2	15	3	1	4516.1974162256201	11412.971775840484	0
52	3	0	36	0	4516.1974162256201	11412.971775840484	0
53	3	1	37	0	4516.1974162256201	11412.971775840484	0
54	3	2	54	0	4516.1974162256201	11412.971775840484	0
55	3	3	55	0	4516.1974162256201	11412.971775840484	0
56	3	4	56	0	4516.1974162256201	11412.971775840484	0
57	3	5	57	0	4516.1974162256201	11412.971775840484	0
58	3	6	58	0	4516.1974162256201	11412.971775840484	0
59	3	7	59	0	4516.1974162256201	11412.971775840484	0
60	3	8	60	0	4516.1974162256201	11412.971775840484	0
61	3	9	61	0	4516.1974162256201	11412.971775840484	0
62	3	10	62	0	4516.1974162256201	11412.971775840484	0
63	3	11	63	0	4516.1974162256201	11412.971775840484	0
64	3	12	64	0	4516.1974162256201	11412.971775840484	0
65	3	13	65	0	4516.1974162256201	11412.971775840484	0
66	3	14	50	0	4516.1974162256201	11412.971775840484	0
67	3	15	51	0	4516.1974162256201	11412.971775840484	0
68	4	0	4	1	14124.078894100494	16747.619620106496	0
69	4	1	5	1	14124.078894100494	16747.619620106496	0
70	4	2	14	2	16342.847577284549	18966.388303290554	0
71	4	3	15	2	16342.847577284549	18966.388303290554	0
72	4	4	16	2	16342.847577284549	18966.388303290554	0
73	4	5	17	2	16342.847577284549	18966.388303290554	0
74	4	6	2	3	16342.847577284549	18966.388303290554	0
75	4	7	3	3	16342.847577284549	18966.388303290554	0
76	4	8	20	1	14124.078894100494	16747.619620106496	0
77	4	9	21	1	14124.078894100494	16747.619620106496	0
78	4	10	22	1	14124.078894100494	16747.619620106496	0
79	4	11	23	1	14124.078894100494	16747.619620106496	0
80	4	12	24	1	14124.078894100494	16747.619620106496	0
81	4	13	25	1	14124.078894100494	16747.619620106496	0
82	4	14	26	1	14124.078894100494	16747.619620106496	0
83	4	15	27	1	14124.078894100494	16747.619620106496	0
84	5	0	0	2	12648.383576840484	15271.924302846488	0
85	5	1	1	2	12648.383576840484	15271.924302846488	0
86	5	2	6	1	12648.383576840484	15271.924302846488	0
87	5	3	7	1	12648.383576840484	15271.924302846488	0
88	5	4	8	1	12648.383576840484	15271.924302846488	0
89	5	5	9	1	12648.383576840484	15271.924302846488	0
90	5	6	10	1	12648.383576840484	15271.924302846488	0
91	5	7	11	1	12648.383576840484	15271.924302846488	0
92	6	0	0	3	15271.924302846488	17202.020092321483	0
93	6	1	1	3	15271.924302846488	17202.020092321483	0
94	6	2	6	2	15271.924302846488	17202.020092321483	0
95	6	3	7	2	15271.924302846488	17202.020092321483	0
96	6	4	8	2	15271.924302846488	17202.020092321483	0
97	6	5	9	2	15271.924302846488	17202.020092321483	0
98	6	6	10	2	15271.924302846488	17202.020092321483	0
99	6	7	11	2	15271.924302846488	17202.020092321483	0
100	7	0	12	1	12648.383576840484	16342.847577284549	0
101	7	1	13	1	12648.383576840484	16342.847577284549	0
102	7	2	14	1	12648.383576840484	16342.847577284549	0
103	7	3	15	1	12648.383576840484	16342.847577284549	0
104	7	4	16	1	12648.383576840484	16342.847577284549	0
105	7	5	17	1	12648.383576840484	16342.847577284549	0
106	7	6	2	2	12648.383576840484	16342.847577284549	0
107	7	7	3	2	12648.383576840484	16342.847577284549	0
108	8	0	4	2	18437.431893321482	22599.765174185304	1
109	8	1	5	2	18437.431893321482	22599.765174185304	1
110	8	2	14	3	18966.388303290554	23128.72158415438	1
111	8	3	15	3	18966.388303290554	23128.72158415438	1
112	8	4	16	3	18966.388303290554	23135.131840619815	1
113	8	5	17	3	18966.388303290554	23135.131840619815	1
114	8	6	2	4	18966.388303290554	23135.131840619815	1
115	8	7	3	4	18966.388303290554	23135.131840619815	1
116	8	8	20	2	18437.431893321482	22612.58568711617	1
117	8	9	21	2	18437.431893321482	22612.58568711617	1
118	8	10	22	2	18437.431893321482	22612.58568711617	1
119	8	11	23	2	18437.431893321482	22612.58568711617	1
120	8	12	24	2	18437.431893321482	22618.995943581605	1
121	8	13	25	2	18437.431893321482	22618.995943581605	1
122	8	14	26	2	18437.431893321482	22618.995943581605	1
123	8	15	27	2	18437.431893321482	22618.995943581605	1
124	9	0	12	2	24370.543641619814	31267.318001234678	0
125	9	1	13	2	24370.543641619814	31267.318001234678	0
126	9	2	14	4	24370.543641619814	31267.318001234678	0
127	9	3	15	4	24370.543641619814	31267.318001234678	0
128	9	4	0	4	24370.543641619814	31267.318001234678	0
129	9	5	1	4	24370.543641619814	31267.318001234678	0
130	9	6	2	5	24370.543641619814	31267.318001234678	0
131	9	7	3	5	24370.543641619814	31267.318001234678	0
132	9	8	4	3	24370.543641619814	31267.318001234678	0
133	9	9	5	3	24370.543641619814	31267.318001234678	0
134	9	10	6	3	24370.543641619814	31267.318001234678	0
135	9	11	7	3	24370.543641619814	31267.318001234678	0
136	9	12	8	3	24370.543641619814	31267.318001234678	0
137	9	13	9	3	24370.543641619814	31267.318001234678	0
138	9	14	10	3	24370.543641619814	31267.318001234678	0
139	9	15	11	3	24370.543641619814	31267.318001234678	0
140	9	16	24	3	24370.543641619814	31267.318001234678	0
141	9	17	25	3	24370.543641619814	31267.318001234678	0
142	9	18	30	1	24370.543641619814	31267.318001234678	0
143	9	19	31	1	24370.543641619814	31267.318001234678	0
144	9	20	16	4	24370.543641619814	31267.318001234678	0
145	9	21	17	4	24370.543641619814	31267.318001234678	0
146	9	22	18	1	24370.543641619814	31267.318001234678	0
147	9	23	19	1	24370.543641619814	31267.318001234678	0
148	9	24	20	3	24370.543641619814	31267.318001234678	0
149	9	25	21	3	24370.543641619814	31267.318001234678	0
150	9	26	22	3	24370.543641619814	31267.318001234678	0
151	9	27	23	3	24370.543641619814	31267.318001234678	0
152	9	28	40	1	24370.543641619814	31267.318001234678	0
153	9	29	41	1	24370.543641619814	31267.318001234678	0
154	9	30	26	3	24370.543641619814	31267.318001234678	0
155	9	31	27	3	24370.543641619814	31267.318001234678	0
156	10	0	12	3	32502.729802234677	37547.883628429365	0
157	10	1	13	3	32502.729802234677	37547.883628429365	0
158	10	2	14	5	32502.729802234677	37547.883628429365	0
159	10	3	15	5	32502.729802234677	37547.883628429365	0
160	11	0	0	5	38783.295429429367	45680.069789044232	0
161	11	1	1	5	38783.295429429367	45680.069789044232	0
162	11	2	2	6	38783.295429429367	45680.069789044232	0
163	11	3	3	6	38783.295429429367	45680.069789044232	0
164	11	4	4	4	38783.295429429367	45680.069789044232	0
165	11	5	5	4	38783.295429429367	45680.069789044232	0
166	11	6	6	4	38783.295429429367	45680.069789044232	0
167	11	7	7	4	38783.295429429367	45680.069789044232	0
168	11	8	8	4	38783.295429429367	45680.069789044232	0
169	11	9	9	4	38783.295429429367	45680.069789044232	0
170	11	10	10	4	38783.295429429367	45680.069789044232	0
171	11	11	11	4	38783.295429429367	45680.069789044232	0
172	11	12	12	4	38783.295429429367	45680.069789044232	0
173	11	13	13	4	38783.295429429367	45680.069789044232	0
174	11	14	14	6	38783.295429429367	45680.069789044232	0
175	11	15	15	6	38783.295429429367	45680.069789044232	0
176	11	16	16	5	38783.295429429367	45680.069789044232	0
177	11	17	17	5	38783.295429429367	45680.069789044232	0
178	11	18	18	2	38783.295429429367	45680.069789044232	0
179	11	19	19	2	38783.295429429367	45680.069789044232	0
180	11	20	20	4	38783.295429429367	45680.069789044232	0
181	11	21	21	4	38783.295429429367	45680.069789044232	0
182	11	22	22	4	38783.295429429367	45680.069789044232	0
183	11	23	23	4	38783.295429429367	45680.069789044232	0
184	11	24	24	4	38783.295429429367	45680.069789044232	0
185	11	25	25	4	38783.295429429367	45680.069789044232	0
186	11	26	26	4	38783.295429429367	45680.069789044232	0
187	11	27	27	4	38783.295429429367	45680.069789044232	0
188	11	28	28	1	38783.295429429367	45680.069789044232	0
189	11	29	29	1	38783.295429429367	45680.069789044232	0
190	11	30	30	2	38783.295429429367	45680.069789044232	0
191	11	31	31	2	38783.295429429367	45680.069789044232	0
192	11	32	32	1	38783.295429429367	45680.069789044232	0
193	11	33	33	1	38783.295429429367	45680.069789044232	0
194	11	34	34	1	38783.295429429367	45680.069789044232	0
195	11	35	35	1	38783.295429429367	45680.069789044232	0
196	11	36	36	1	38783.295429429367	45680.069789044232	0
197	11	37	37	1	38783.295429429367	45680.069789044232	0
198	11	38	38	1	38783.295429429367	45680.069789044232	0
199	11	39	39	1	38783.295429429367	45680.069789044232	0
200	11	40	40	2	38783.295429429367	45680.069789044232	0
201	11	41	41	2	38783.295429429367	45680.069789044232	0
202	11	42	42	1	38783.295429429367	45680.069789044232	0
203	11	43	43	1	38783.295429429367	45680.069789044232	0
204	11	44	44	1	38783.295429429367	45680.069789044232	0
