solver	model	seq	phase	count	total_ms
skeleton	gqa2	4	bridge_and_plan	1	4.94714
skeleton	gqa2	4	cache_hit	894486	0
skeleton	gqa2	4	cache_miss	2586	0
skeleton	gqa2	4	derive	19	253.266
skeleton	gqa2	4	flow	28812	2715.33
skeleton	gqa2	4	flow_report	18	3.14815
skeleton	gqa2	4	import	1	2.43339
skeleton	gqa2	4	instantiate	19	1.81627
skeleton	gqa2	4	instantiate_and_derive	28811	65165.5
skeleton	gqa2	4	materialize	18	14.3287
skeleton	gqa2	4	megakernel_compile	3	89653.7
skeleton	gqa2	4	piece_pricing_and_release	28830	788677
skeleton	gqa2	4	prepare_relations	19	11379.8
skeleton	gqa2	4	price_cache_hit	14704	0
skeleton	gqa2	4	release_cache_hit	1255330	0
skeleton	gqa2	4	resource_probe	30048	21042.5
skeleton	gqa2	4	search_evaluations	28807	0
skeleton	gqa2	4	search_rounds	3	0
skeleton	gqa2	4	simulate	18	3.54573
skeleton	gqa2	4	skeleton	18	1948.79
skeleton	gqa2	4	total	1	988144
