tile_m	tile_n	tile_k	stages	split_k	l05_ms	l1_ms	l2_ms	status	l05_hash	smem	ctas_per_sm	grid
128	128	16	3	1	2.192384	2.159616	2.229248	25/25	fd15fa2e89cdb915	49536	1	128
16	64	16	2	16	0.324608	0.325344	0.360192	25/25	472fe4e8596656af	10496	2	256
16	64	16	3	16	0.328704	0.324608	0.362304	25/25	472fe4e8596656af	15744	2	256
16	64	16	4	16	0.333824	0.325632	0.364608	25/25	472fe4e8596656af	20992	2	256
16	64	16	5	16	0.329728	0.325600	0.367616	25/25	472fe4e8596656af	26240	2	256
16	64	32	3	16	0.330752	0.329984	0.370688	25/25	472fe4e8596656af	31488	2	256
16	64	32	4	16	0.334848	0.315392	0.373600	25/25	472fe4e8596656af	41984	2	256
16	64	32	5	16	0.342880	0.314368	0.382944	25/25	472fe4e8596656af	52480	1	128
32	32	16	2	8	0.348160	0.322560	0.391168	25/25	118f8e253b29f694	8448	2	256
32	32	16	3	8	0.350048	0.322496	0.390144	25/25	118f8e253b29f694	12672	2	256
32	32	32	2	8	0.347136	0.324256	0.391168	25/25	118f8e253b29f694	16896	2	256
32	64	16	3	16	0.334848	0.345344	0.371712	25/25	472fe4e8596656af	18816	2	256
32	64	16	4	16	0.336704	0.348160	0.371712	25/25	472fe4e8596656af	25088	2	256
