config	smem	ctas_per_sm	l1_registers
16x32x16s2k1	6400	3	72
16x32x16s2k2	6400	3	72
16x32x16s2k4	6400	3	72
16x32x16s2k8	6400	3	72
16x32x16s2k16	6400	3	72
16x32x16s3k1	9600	3	72
16x32x16s3k2	9600	3	72
16x32x16s3k4	9600	3	72
16x32x16s3k8	9600	3	72
16x32x16s3k16	9600	3	72
16x32x16s4k1	12800	3	72
16x32x16s4k2	12800	3	72
16x32x16s4k4	12800	3	72
16x32x16s4k8	12800	3	72
16x32x16s4k16	12800	3	72
16x32x16s5k1	16000	3	72
16x32x16s5k2	16000	3	72
16x32x16s5k4	16000	3	72
16x32x16s5k8	16000	3	72
16x32x16s5k16	16000	3	72
16x32x32s2k1	12800	3	78
16x32x32s2k2	12800	3	78
16x32x32s2k4	12800	3	78
16x32x32s2k8	12800	3	78
16x32x32s2k16	12800	3	78
16x32x32s3k1	19200	3	76
16x32x32s3k2	19200	3	76
16x32x32s3k4	19200	3	76
16x32x32s3k8	19200	3	76
16x32x32s3k16	19200	3	76
16x32x32s4k1	25600	3	78
16x32x32s4k2	25600	3	78
16x32x32s4k4	25600	3	78
16x32x32s4k8	25600	3	78
16x32x32s4k16	25600	3	78
16x32x32s5k1	32000	3	80
16x32x32s5k2	32000	3	80
16x32x32s5k4	32000	3	80
16x32x32s5k8	32000	3	80
16x32x32s5k16	32000	3	80
16x64x16s2k1	10496	2	88
16x64x16s2k2	10496	2	88
16x64x16s2k4	10496	2	88
16x64x16s2k8	10496	2	88
16x64x16s2k16	10496	2	88
16x64x16s3k1	15744	2	89
16x64x16s3k2	15744	2	89
16x64x16s3k4	15744	2	89
16x64x16s3k8	15744	2	89
16x64x16s3k16	15744	2	89
16x64x16s4k1	20992	2	95
16x64x16s4k2	20992	2	95
16x64x16s4k4	20992	2	95
16x64x16s4k8	20992	2	95
16x64x16s4k16	20992	2	95
16x64x16s5k1	26240	2	95
16x64x16s5k2	26240	2	95
16x64x16s5k4	26240	2	95
16x64x16s5k8	26240	2	95
16x64x16s5k16	26240	2	95
16x64x32s2k1	20992	2	128
16x64x32s2k2	20992	2	128
16x64x32s2k4	20992	2	128
16x64x32s2k8	20992	2	128
16x64x32s2k16	20992	2	128
16x64x32s3k1	31488	2	124
16x64x32s3k2	31488	2	124
16x64x32s3k4	31488	2	124
16x64x32s3k8	31488	2	124
16x64x32s3k16	31488	2	124
16x64x32s4k1	41984	2	122
16x64x32s4k2	41984	2	122
16x64x32s4k4	41984	2	122
16x64x32s4k8	41984	2	122
16x64x32s4k16	41984	2	122
16x64x32s5k1	52480	1	120
16x64x32s5k2	52480	1	120
16x64x32s5k4	52480	1	120
16x64x32s5k8	52480	1	120
16x64x32s5k16	52480	1	120
16x128x16s2k1	18688	2	96
16x128x16s2k2	18688	2	96
16x128x16s2k4	18688	2	96
16x128x16s2k8	18688	2	96
16x128x16s2k16	18688	2	96
16x128x16s3k1	28032	2	96
16x128x16s3k2	28032	2	96
16x128x16s3k4	28032	2	96
16x128x16s3k8	28032	2	96
16x128x16s3k16	28032	2	96
16x128x16s4k1	37376	2	96
16x128x16s4k2	37376	2	96
16x128x16s4k4	37376	2	96
16x128x16s4k8	37376	2	96
16x128x16s4k16	37376	2	96
16x128x16s5k1	46720	2	96
16x128x16s5k2	46720	2	96
16x128x16s5k4	46720	2	96
16x128x16s5k8	46720	2	96
16x128x16s5k16	46720	2	96
16x128x32s2k1	37376	2	128
16x128x32s2k2	37376	2	128
16x128x32s2k4	37376	2	128
16x128x32s2k8	37376	2	128
16x128x32s2k16	37376	2	128
16x128x32s3k1	56064	1	128
16x128x32s3k2	56064	1	128
16x128x32s3k4	56064	1	128
16x128x32s3k8	56064	1	128
16x128x32s3k16	56064	1	128
16x128x32s4k1	74752	1	128
16x128x32s4k2	74752	1	128
16x128x32s4k4	74752	1	128
16x128x32s4k8	74752	1	128
16x128x32s4k16	74752	1	128
16x128x32s5k1	93440	1	160
16x128x32s5k2	93440	1	160
16x128x32s5k4	93440	1	160
16x128x32s5k8	93440	1	160
16x128x32s5k16	93440	1	160
16x256x16s2k1	35072	2	126
16x256x16s2k2	35072	2	126
16x256x16s2k4	35072	2	126
16x256x16s2k8	35072	2	126
16x256x16s2k16	35072	2	126
16x256x16s3k1	52608	1	122
16x256x16s3k2	52608	1	122
16x256x16s3k4	52608	1	122
16x256x16s3k8	52608	1	122
16x256x16s3k16	52608	1	122
16x256x16s4k1	70144	1	128
16x256x16s4k2	70144	1	128
16x256x16s4k4	70144	1	128
16x256x16s4k8	70144	1	128
16x256x16s4k16	70144	1	128
16x256x16s5k1	87680	1	128
16x256x16s5k2	87680	1	128
16x256x16s5k4	87680	1	128
16x256x16s5k8	87680	1	128
16x256x16s5k16	87680	1	128
16x256x32s2k1	70144	1	248
16x256x32s2k2	70144	1	248
16x256x32s2k4	70144	1	248
16x256x32s2k8	70144	1	248
16x256x32s2k16	70144	1	248
32x16x16s2k1	6400	3	71
32x16x16s2k2	6400	3	71
32x16x16s2k4	6400	3	71
32x16x16s2k8	6400	3	71
32x16x16s2k16	6400	3	71
32x16x16s3k1	9600	3	80
32x16x16s3k2	9600	3	80
32x16x16s3k4	9600	3	80
32x16x16s3k8	9600	3	80
32x16x16s3k16	9600	3	80
32x16x16s4k1	12800	3	80
32x16x16s4k2	12800	3	80
32x16x16s4k4	12800	3	80
32x16x16s4k8	12800	3	80
32x16x16s4k16	12800	3	80
32x16x16s5k1	16000	3	80
32x16x16s5k2	16000	3	80
32x16x16s5k4	16000	3	80
32x16x16s5k8	16000	3	80
32x16x16s5k16	16000	3	80
32x16x32s2k1	12800	3	80
32x16x32s2k2	12800	3	80
32x16x32s2k4	12800	3	80
32x16x32s2k8	12800	3	80
32x16x32s2k16	12800	3	80
32x16x32s3k1	19200	3	80
32x16x32s3k2	19200	3	80
32x16x32s3k4	19200	3	80
32x16x32s3k8	19200	3	80
32x16x32s3k16	19200	3	80
32x16x32s4k1	25600	3	80
32x16x32s4k2	25600	3	80
32x16x32s4k4	25600	3	80
32x16x32s4k8	25600	3	80
32x16x32s4k16	25600	3	80
32x16x32s5k1	32000	3	80
32x16x32s5k2	32000	3	80
32x16x32s5k4	32000	3	80
32x16x32s5k8	32000	3	80
32x16x32s5k16	32000	3	80
32x32x8s2k1	4224	3	72
32x32x8s2k2	4224	3	72
32x32x8s2k4	4224	3	72
32x32x8s2k8	4224	3	72
32x32x8s2k16	4224	3	72
32x32x8s3k1	6336	3	72
32x32x8s3k2	6336	3	72
32x32x8s3k4	6336	3	72
32x32x8s3k8	6336	3	72
32x32x8s3k16	6336	3	72
32x32x8s4k1	8448	3	72
32x32x8s4k2	8448	3	72
32x32x8s4k4	8448	3	72
32x32x8s4k8	8448	3	72
32x32x8s4k16	8448	3	72
32x32x8s5k1	10560	3	72
32x32x8s5k2	10560	3	72
32x32x8s5k4	10560	3	72
32x32x8s5k8	10560	3	72
