tile_m	tile_n	tile_k	stages	split_k	l05_ms	l1_ms	l2_ms	status	l05_hash	smem	ctas_per_sm	grid
16	32	16	2	1	0.535552	0.518144	0.526336	PASS	5245714bc5d3ab4d	6400	3	384
16	32	16	2	2	0.362304	0.359424	0.367424	PASS	784ee21438927111	6400	3	384
16	32	16	2	4	0.248832	0.247808	0.261120	PASS	84c6e7738cd9a7d7	6400	3	384
16	32	16	2	8	0.203776	0.211968	0.214208	PASS	b37a2e7f0ec44cb5	6400	3	384
16	32	16	2	16	0.197632	0.195456	0.200736	PASS	8a737188b958a2ae	6400	3	384
16	32	16	3	1	0.507104	0.500672	0.509952	PASS	5245714bc5d3ab4d	9600	3	384
16	32	16	3	2	0.346016	0.345088	0.361216	PASS	784ee21438927111	9600	3	384
16	32	16	3	4	0.243936	0.239616	0.256864	PASS	84c6e7738cd9a7d7	9600	3	384
16	32	16	3	8	0.198656	0.204800	0.211968	PASS	b37a2e7f0ec44cb5	9600	3	384
16	32	16	3	16	0.196608	0.196384	0.202752	PASS	8a737188b958a2ae	9600	3	384
16	32	16	4	1	0.506720	0.500736	0.513024	PASS	5245714bc5d3ab4d	12800	3	384
16	32	16	4	2	0.345088	0.348160	0.361472	PASS	784ee21438927111	12800	3	384
16	32	16	4	4	0.245760	0.245472	0.260096	PASS	84c6e7738cd9a7d7	12800	3	384
16	32	16	4	8	0.202592	0.212864	0.212992	PASS	b37a2e7f0ec44cb5	12800	3	384
16	32	16	4	16	0.196608	0.195584	0.207872	PASS	8a737188b958a2ae	12800	3	384
16	32	16	5	1	0.511008	0.500736	0.513024	PASS	5245714bc5d3ab4d	16000	3	384
16	32	16	5	2	0.349184	0.347136	0.362304	PASS	784ee21438927111	16000	3	384
16	32	16	5	4	0.248832	0.247808	0.259072	PASS	84c6e7738cd9a7d7	16000	3	384
16	32	16	5	8	0.206848	0.213728	0.215232	PASS	b37a2e7f0ec44cb5	16000	3	384
16	32	16	5	16	0.193760	0.198656	0.206848	PASS	8a737188b958a2ae	16000	3	384
16	32	32	2	1	0.491392	0.485376	0.493568	PASS	5245714bc5d3ab4d	12800	3	384
16	32	32	2	2	0.336864	0.343072	0.351072	PASS	784ee21438927111	12800	3	384
16	32	32	2	4	0.241664	0.231424	0.252832	PASS	84c6e7738cd9a7d7	12800	3	384
16	32	32	2	8	0.195584	0.206784	0.207872	PASS	b37a2e7f0ec44cb5	12800	3	384
16	32	32	2	16	0.188416	0.192512	0.200576	PASS	8a737188b958a2ae	12800	3	384
16	32	32	3	1	0.486400	0.497664	0.497664	PASS	5245714bc5d3ab4d	19200	3	384
16	32	32	3	2	0.335744	0.341728	0.352256	PASS	784ee21438927111	19200	3	384
16	32	32	3	4	0.238592	0.239616	0.252640	PASS	84c6e7738cd9a7d7	19200	3	384
16	32	32	3	8	0.197632	0.211968	0.211968	PASS	b37a2e7f0ec44cb5	19200	3	384
16	32	32	3	16	0.192192	0.198656	0.202752	PASS	8a737188b958a2ae	19200	3	384
16	32	32	4	1	0.494592	0.490496	0.495776	PASS	5245714bc5d3ab4d	25600	3	384
16	32	32	4	2	0.338816	0.341984	0.355136	PASS	784ee21438927111	25600	3	384
16	32	32	4	4	0.243712	0.242688	0.252928	PASS	84c6e7738cd9a7d7	25600	3	384
16	32	32	4	8	0.197632	0.211968	0.209920	PASS	b37a2e7f0ec44cb5	25600	3	384
16	32	32	4	16	0.197632	0.200704	0.208960	PASS	8a737188b958a2ae	25600	3	384
16	32	32	5	1	0.495808	0.497664	0.506880	PASS	5245714bc5d3ab4d	32000	3	384
16	32	32	5	2	0.340832	0.345984	0.360448	PASS	784ee21438927111	32000	3	384
16	32	32	5	4	0.247712	0.245568	0.260096	PASS	84c6e7738cd9a7d7	32000	3	384
16	32	32	5	8	0.203552	0.209920	0.217440	PASS	b37a2e7f0ec44cb5	32000	3	384
16	32	32	5	16	0.204704	0.201728	0.213120	PASS	8a737188b958a2ae	32000	3	384
16	64	16	2	1	0.441344	0.425312	0.449248	PASS	5245714bc5d3ab4d	10496	2	256
16	64	16	2	2	0.308224	0.289056	0.323584	PASS	784ee21438927111	10496	2	256
16	64	16	2	4	0.225024	0.207872	0.235520	PASS	84c6e7738cd9a7d7	10496	2	256
16	64	16	2	8	0.187392	0.171808	0.197632	PASS	b37a2e7f0ec44cb5	10496	2	256
16	64	16	2	16	0.174016	0.165856	0.185344	PASS	8a737188b958a2ae	10496	2	256
16	64	16	3	1	0.433088	0.422912	0.441344	PASS	5245714bc5d3ab4d	15744	2	256
16	64	16	3	2	0.307200	0.286336	0.320512	PASS	784ee21438927111	15744	2	256
16	64	16	3	4	0.223232	0.204032	0.233472	PASS	84c6e7738cd9a7d7	15744	2	256
16	64	16	3	8	0.186368	0.169280	0.197632	PASS	b37a2e7f0ec44cb5	15744	2	256
16	64	16	3	16	0.171904	0.165088	0.185344	PASS	8a737188b958a2ae	15744	2	256
