config	status	l1_registers	l2_registers	smem	l1_ctas_per_sm	l2_ctas_per_sm
128x128x16s2k1	PASS	168	168	33024	1	1
128x128x16s2k16	PASS	168	168	33024	1	1
128x128x16s2k2	PASS	168	168	33024	1	1
128x128x16s2k4	PASS	168	168	33024	1	1
128x128x16s2k8	PASS	168	168	33024	1	1
128x128x16s3k1	PASS	168	168	49536	1	1
128x128x16s3k16	PASS	168	168	49536	1	1
128x128x16s3k2	PASS	168	168	49536	1	1
128x128x16s3k4	PASS	168	168	49536	1	1
128x128x16s3k8	PASS	168	168	49536	1	1
128x128x16s4k1	PASS	168	168	66048	1	1
128x128x16s4k16	PASS	168	168	66048	1	1
128x128x16s4k2	PASS	168	168	66048	1	1
128x128x16s4k4	PASS	168	168	66048	1	1
128x128x16s4k8	PASS	168	168	66048	1	1
128x128x16s5k1	PASS	168	168	82560	1	1
128x128x16s5k16	PASS	168	168	82560	1	1
128x128x16s5k2	PASS	168	168	82560	1	1
128x128x16s5k4	PASS	168	168	82560	1	1
128x128x16s5k8	PASS	168	168	82560	1	1
128x128x32s2k1	PASS	112	110	66048	1	1
128x128x32s2k16	PASS	112	110	66048	1	1
128x128x32s2k2	PASS	112	110	66048	1	1
128x128x32s2k4	PASS	112	110	66048	1	1
128x128x32s2k8	PASS	112	110	66048	1	1
128x128x32s3k1	PASS	112	110	99072	1	1
128x128x32s3k16	PASS	112	110	99072	1	1
128x128x32s3k2	PASS	112	110	99072	1	1
128x128x32s3k4	PASS	112	110	99072	1	1
128x128x32s3k8	PASS	112	110	99072	1	1
128x128x8s2k1	PASS	168	168	16512	1	1
128x128x8s2k16	PASS	168	168	16512	1	1
128x128x8s2k2	PASS	168	168	16512	1	1
128x128x8s2k4	PASS	168	168	16512	1	1
128x128x8s2k8	PASS	168	168	16512	1	1
128x128x8s3k1	PASS	168	168	24768	1	1
128x128x8s3k16	PASS	168	168	24768	1	1
128x128x8s3k2	PASS	168	168	24768	1	1
128x128x8s3k4	PASS	168	168	24768	1	1
128x128x8s3k8	PASS	168	168	24768	1	1
128x128x8s4k1	PASS	168	168	33024	1	1
128x128x8s4k16	PASS	168	168	33024	1	1
128x128x8s4k2	PASS	168	168	33024	1	1
128x128x8s4k4	PASS	168	168	33024	1	1
128x128x8s4k8	PASS	168	168	33024	1	1
128x128x8s5k1	PASS	168	168	41280	1	1
128x128x8s5k16	PASS	168	168	41280	1	1
128x128x8s5k2	PASS	168	168	41280	1	1
128x128x8s5k4	PASS	168	168	41280	1	1
128x128x8s5k8	PASS	168	168	41280	1	1
128x16x16s2k1	PASS	96	96	18688	2	2
