16x32x16s2k1	PASS	72	71	6400
16x32x16s2k2	PASS	72	71	6400
16x32x16s2k4	PASS	72	71	6400
16x32x16s2k8	PASS	72	71	6400
16x32x16s2k16	PASS	72	71	6400
16x32x16s3k1	PASS	72	72	9600
16x32x16s3k2	PASS	72	72	9600
16x32x16s3k4	PASS	72	72	9600
16x32x16s3k8	PASS	72	72	9600
16x32x16s3k16	PASS	72	72	9600
16x32x16s4k1	PASS	72	72	12800
16x32x16s4k2	PASS	72	72	12800
16x32x16s4k4	PASS	72	72	12800
16x32x16s4k8	PASS	72	72	12800
16x32x16s4k16	PASS	72	72	12800
16x32x16s5k1	PASS	72	72	16000
16x32x16s5k2	PASS	72	72	16000
16x32x16s5k4	PASS	72	72	16000
16x32x16s5k8	PASS	72	72	16000
16x32x16s5k16	PASS	72	72	16000
16x32x32s2k1	PASS	78	78	12800
16x32x32s2k2	PASS	78	78	12800
16x32x32s2k4	PASS	78	78	12800
16x32x32s2k8	PASS	78	78	12800
16x32x32s2k16	PASS	78	78	12800
16x32x32s3k1	PASS	76	76	19200
16x32x32s3k2	PASS	76	76	19200
16x32x32s3k4	PASS	76	76	19200
16x32x32s3k8	PASS	76	76	19200
16x32x32s3k16	PASS	76	76	19200
16x32x32s4k1	PASS	78	78	25600
16x32x32s4k2	PASS	78	78	25600
16x32x32s4k4	PASS	78	78	25600
16x32x32s4k8	PASS	78	78	25600
16x32x32s4k16	PASS	78	78	25600
16x32x32s5k1	PASS	80	80	32000
16x32x32s5k2	PASS	80	80	32000
16x32x32s5k4	PASS	80	80	32000
16x32x32s5k8	PASS	80	80	32000
16x32x32s5k16	PASS	80	80	32000
16x64x16s2k1	PASS	88	90	10496
16x64x16s2k2	PASS	88	90	10496
16x64x16s2k4	PASS	88	90	10496
16x64x16s2k8	PASS	88	90	10496
16x64x16s2k16	PASS	88	90	10496
16x64x16s3k1	PASS	89	88	15744
16x64x16s3k2	PASS	89	88	15744
16x64x16s3k4	PASS	89	88	15744
16x64x16s3k8	PASS	89	88	15744
16x64x16s3k16	PASS	89	88	15744
16x64x16s4k1	PASS	95	95	20992
16x64x16s4k2	PASS	95	95	20992
16x64x16s4k4	PASS	95	95	20992
16x64x16s4k8	PASS	95	95	20992
16x64x16s4k16	PASS	95	95	20992
16x64x16s5k1	PASS	95	95	26240
16x64x16s5k2	PASS	95	95	26240
16x64x16s5k4	PASS	95	95	26240
16x64x16s5k8	PASS	95	95	26240
16x64x16s5k16	PASS	95	95	26240
16x64x32s2k1	PASS	128	122	20992
16x64x32s2k2	PASS	128	122	20992
16x64x32s2k4	PASS	128	122	20992
16x64x32s2k8	PASS	128	122	20992
16x64x32s2k16	PASS	128	122	20992
16x64x32s3k1	PASS	124	120	31488
16x64x32s3k2	PASS	124	120	31488
16x64x32s3k4	PASS	124	120	31488
16x64x32s3k8	PASS	124	120	31488
16x64x32s3k16	PASS	124	120	31488
16x64x32s4k1	PASS	122	118	41984
16x64x32s4k2	PASS	122	118	41984
16x64x32s4k4	PASS	122	118	41984
16x64x32s4k8	PASS	122	118	41984
16x64x32s4k16	PASS	122	118	41984
16x64x32s5k1	PASS	120	117	52480
16x64x32s5k2	PASS	120	117	52480
16x64x32s5k4	PASS	120	117	52480
16x64x32s5k8	PASS	120	117	52480
16x64x32s5k16	PASS	120	117	52480
16x128x16s2k1	PASS	96	96	18688
16x128x16s2k2	PASS	96	96	18688
16x128x16s2k4	PASS	96	96	18688
16x128x16s2k8	PASS	96	96	18688
16x128x16s2k16	PASS	96	96	18688
16x128x16s3k1	PASS	96	96	28032
16x128x16s3k2	PASS	96	96	28032
16x128x16s3k4	PASS	96	96	28032
16x128x16s3k8	PASS	96	96	28032
16x128x16s3k16	PASS	96	96	28032
16x128x16s4k1	PASS	96	96	37376
16x128x16s4k2	PASS	96	96	37376
16x128x16s4k4	PASS	96	96	37376
16x128x16s4k8	PASS	96	96	37376
16x128x16s4k16	PASS	96	96	37376
16x128x16s5k1	PASS	96	106	46720
16x128x16s5k2	PASS	96	106	46720
16x128x16s5k4	PASS	96	106	46720
