tile_m	tile_n	tile_k	stages	split_k	l05_ms	l1_ms	l2_ms	status	l05_hash	smem	ctas_per_sm	grid
128	128	16	3	1	1.106944	1.083264	1.119520	25/25	5245714bc5d3ab4d	49536	1	128
16	64	16	2	16	0.183296	0.168960	0.185344	25/25	8a737188b958a2ae	10496	2	256
16	64	16	3	16	0.188416	0.167168	0.186368	25/25	8a737188b958a2ae	15744	2	256
16	64	16	4	16	0.183392	0.166816	0.184384	25/25	8a737188b958a2ae	20992	2	256
16	64	16	5	16	0.184416	0.166656	0.187392	25/25	8a737188b958a2ae	26240	2	256
16	64	32	2	16	0.184256	0.171008	0.189472	25/25	8a737188b958a2ae	20992	2	256
16	64	32	3	16	0.181248	0.173024	0.189632	25/25	8a737188b958a2ae	31488	2	256
16	64	32	5	16	0.184224	0.161664	0.194560	25/25	8a737188b958a2ae	52480	1	128
32	32	16	3	16	0.198496	0.185344	0.198656	25/25	8a737188b958a2ae	12672	2	256
32	32	16	3	8	0.191488	0.166912	0.195584	25/25	b37a2e7f0ec44cb5	12672	2	256
32	32	16	4	8	0.195456	0.167584	0.195392	25/25	b37a2e7f0ec44cb5	16896	2	256
32	32	16	5	8	0.200704	0.169984	0.197632	25/25	b37a2e7f0ec44cb5	21120	2	256
32	32	32	2	8	0.200704	0.167936	0.196608	25/25	b37a2e7f0ec44cb5	16896	2	256
32	32	32	3	8	0.195584	0.168960	0.195584	25/25	b37a2e7f0ec44cb5	25344	2	256
32	32	32	4	8	0.187392	0.167712	0.195584	25/25	b37a2e7f0ec44cb5	33792	2	256
