model	mode	configs	predicted_ms	ctas_per_sm	measured_rank	band	measured_ms	best_ms	solve_ms	transitions
gqa2	uniform	1	0.0922252	6	232	23	0.241664	0.176096	28535.6	0
gqa2	per_gemm_split	1	0.0922252	6	0	23	0	0.176096	28492.8	0
gqa2	per_operator	3	0.061996	2	0	23	0	0.176096	24469.7	16113175
gqa2	per_operator_separable	3	0.061996	2	0	23	0	0.176096	20626.8	0
mha4	uniform	1	0.18445	6	145	13	0.475136	0.340992	52444.1	0
mha4	per_gemm_split	1	0.18445	6	0	13	0	0.340992	39436.1	0
mha4	per_operator	3	0.122384	2	0	13	0	0.340992	39403.3	33465825
mha4	per_operator_separable	3	0.122384	2	0	13	0	0.340992	38845.8	0
